Format Version,1.23,Take Name,ear2ear2_shake_006,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-13 01.34.53.776 PM,Total Frames in Take,479,Total Exported Frames,479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-1.749862,-4.166677,-1.945692,72.672729,153.171906,73.844536,0.075717,121.464851,175.935150,133.443863,0.910806,191.439682,146.517151,53.298508,0.974943,155.296997,131.927277,-0.000432,0.879488,13.558243,171.171036,126.978638,0.886864,68.559494,166.869232,139.385574,0.949968,-31.795397,150.980789,65.073814,0.927938,-9.814784,128.802780,-1.268208,0.855876,57.780415,61.734482,-40.291389,-9.849012,116.921577,33.244946,0.114623,-120.320442,183.841171,-50.038784,0.964202,-145.660446,172.773407,-0.292968,0.955485,-90.276917,239.896027,-19.925793,0.969851,-126.094971,196.424545,-16.436615,0.961403,-126.394867,207.453003,15.347969,0.955565,-9.841654,116.918991,33.247635,0.000000,121.486145,176.294998,133.467728,191.423080,146.611816,53.274269,155.210724,131.449509,-0.000087,13.556008,170.740265,127.145943,68.532433,167.061890,139.316071,-31.832088,150.705139,65.140015,-9.667101,129.339752,-1.432160,,,,-120.325920,183.686096,-50.048012,-145.677856,172.942154,-0.334357,-90.336853,239.982651,-19.858101,-126.107353,196.390045,-16.589853,-126.299622,207.387161,15.484167,,,
7,0.116667,-1.748377,-4.166167,-1.947516,72.674866,153.170685,73.847839,0.075600,121.468178,175.930679,133.447403,0.909683,191.441452,146.512711,53.300678,0.975223,155.297882,131.925491,0.001602,0.878624,13.561368,171.170212,126.982910,0.884467,68.562592,166.866302,139.389313,0.948351,-31.793400,150.983154,65.077888,0.928539,-9.814016,128.806320,-1.264945,0.854863,57.700573,61.788597,-40.260639,-9.757101,116.984009,33.198566,0.112748,-120.315079,183.723679,-50.114693,0.961138,-145.630371,172.678055,-0.351362,0.956347,-90.315224,239.834274,-20.062017,0.968698,-126.091629,196.332581,-16.522446,0.960610,-126.392662,207.389999,15.252069,0.955309,-9.749741,116.981430,33.201256,0.000000,121.489700,176.290558,133.471085,191.424622,146.607834,53.276455,155.212585,131.446487,0.001099,13.560194,170.739059,127.150131,68.534119,167.060349,139.322357,-31.828787,150.705765,65.143188,-9.668419,129.344727,-1.429409,,,,-120.331154,183.571716,-50.133766,-145.641174,172.837341,-0.388143,-90.362640,239.920853,-20.004259,-126.083481,196.308533,-16.662762,-126.326561,207.320160,15.390479,,,
8,0.133333,-1.748078,-4.165943,-1.948080,72.679817,153.170395,73.851288,0.075574,121.473572,175.929550,133.450821,0.909772,191.446243,146.511368,53.303661,0.975493,155.302353,131.924820,0.004634,0.879174,13.566703,171.170181,126.986679,0.884825,68.567917,166.865646,139.392838,0.948370,-31.788498,150.983948,65.081703,0.928678,-9.809561,128.807297,-1.261339,0.855467,57.623260,61.800804,-40.194244,-9.757169,116.960876,33.186787,0.112459,-120.317604,183.620865,-50.186916,0.957839,-145.645020,172.579605,-0.428788,0.961130,-90.354790,239.755524,-20.142208,0.970177,-126.111832,196.238068,-16.600828,0.965225,-126.429169,207.305756,15.169937,0.958618,-9.749807,116.958305,33.189480,0.000000,121.495010,176.288925,133.476318,191.429306,146.604980,53.280064,155.215744,131.449341,0.004851,13.567510,170.739609,127.150551,68.540543,167.058640,139.324631,-31.824764,150.708435,65.146278,-9.664659,129.342896,-1.423713,,,,-120.349030,183.455566,-50.197948,-145.654037,172.726074,-0.480206,-90.395332,239.849380,-20.080660,-126.095131,196.226624,-16.738453,-126.364883,207.242172,15.308558,,,
9,0.150000,-1.747259,-4.166292,-1.949186,72.677681,153.171692,73.848686,0.075557,121.471466,175.928986,133.448898,0.909176,191.444122,146.510712,53.301750,0.975329,155.300293,131.925705,0.002258,0.878995,13.564553,171.171768,126.983971,0.883963,68.565598,166.865997,139.390427,0.948704,-31.790600,150.987366,65.078369,0.928789,-9.811669,128.811325,-1.264863,0.855287,57.561127,61.812733,-40.141552,-9.757005,116.943047,33.173500,0.104059,-120.323387,183.535049,-50.246693,0.959140,-145.658997,172.497055,-0.491995,0.963329,-90.391190,239.690155,-20.209703,0.973207,-126.131355,196.159058,-16.665518,0.965541,-126.461327,207.235352,15.102126,0.957749,-9.749642,116.940475,33.176193,0.000000,121.496330,176.290680,133.472198,191.427200,146.604858,53.277557,155.215027,131.449265,0.006018,13.565846,170.738708,127.151001,68.540993,167.057938,139.322174,-31.835310,150.712402,65.137772,-9.666346,129.348007,-1.425870,,,,-120.349792,183.373825,-50.251163,-145.668655,172.632462,-0.547565,-90.435600,239.771408,-20.155752,-126.115501,196.167175,-16.802198,-126.396759,207.171936,15.244857,,,
10,0.166667,-1.747789,-4.166581,-1.949387,72.676598,153.171417,73.848030,0.075481,121.470161,175.929077,133.448303,0.909817,191.443146,146.509857,53.301765,0.975309,155.299515,131.924500,0.002213,0.879257,13.563250,171.172180,126.982849,0.884106,68.564232,166.866333,139.389633,0.948322,-31.791664,150.987366,65.077194,0.928847,-9.812452,128.810654,-1.265734,0.855482,57.474300,61.789280,-40.084850,-9.817913,116.899750,33.226040,0.123841,-120.326767,183.448471,-50.304871,0.961744,-145.693970,172.444870,-0.558648,0.957016,-90.407715,239.620087,-20.285629,0.969256,-126.154152,196.094635,-16.735409,0.957721,-126.502602,207.191376,15.024904,0.953907,-9.810553,116.897179,33.228741,0.000000,121.493179,176.288223,133.473206,191.425507,146.603500,53.275787,155.212891,131.449371,0.006380,13.564110,170.739883,127.150253,68.542961,167.060699,139.322571,-31.837479,150.712524,65.135170,-9.664989,129.345810,-1.427103,,,,-120.346542,183.297104,-50.294216,-145.715607,172.606674,-0.612544,-90.456902,239.718674,-20.231052,-126.143143,196.053268,-16.899010,-126.423134,207.123856,15.177000,,,
11,0.183333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.490150,176.297714,133.461136,191.424103,146.609268,53.269257,155.211609,131.450058,-0.002832,13.564115,170.744583,127.142563,68.534889,167.066605,139.313263,-31.836182,150.697861,65.137993,-9.668930,129.339493,-1.432410,,,,-120.327599,183.223297,-50.366425,-145.632492,172.526291,-0.663424,-90.436478,239.689697,-20.307878,-126.129074,196.015594,-16.971216,-126.415718,207.113297,15.101888,,,
12,0.200000,-1.755052,-4.164688,-1.948452,72.674576,153.179611,73.836388,0.076448,121.469788,175.945648,133.432098,0.911348,191.440536,146.517227,53.286991,0.974816,155.295349,131.924500,-0.009492,0.879476,13.562728,171.186264,126.970886,0.887456,68.564194,166.882858,139.376373,0.949822,-31.793945,150.992859,65.069336,0.927663,-9.816639,128.807999,-1.271516,0.855565,57.402672,61.790707,-40.079453,-9.719588,116.889778,33.148983,0.126437,-120.229385,183.335953,-50.462185,0.960490,-145.597305,172.389282,-0.703812,0.961416,-90.313599,239.543900,-20.507828,0.972503,-126.058174,196.021042,-16.907669,0.960443,-126.407890,207.154831,14.839671,0.959648,-9.712228,116.887215,33.151688,0.000000,121.490273,176.299057,133.453033,191.421478,146.613083,53.262535,155.209106,131.450180,-0.009430,13.561564,170.773499,127.150566,68.536461,167.068542,139.305405,-31.830534,150.712311,65.129982,-9.666397,129.340637,-1.437357,,,,-120.261772,183.181503,-50.453636,-145.579468,172.533447,-0.755934,-90.339539,239.632141,-20.447521,-126.071228,196.002594,-17.064278,-126.354156,207.095169,14.979696,,,
13,0.216667,-1.756859,-4.163599,-1.949546,72.680077,153.181549,73.831551,0.075144,121.476845,175.948425,133.425690,0.911089,191.445526,146.516235,53.280167,0.975400,155.299072,131.922592,-0.015199,0.879644,13.569568,171.190979,126.966599,0.886486,68.571175,166.886856,139.371201,0.948690,-31.788647,150.996582,65.066490,0.927245,-9.812981,128.809296,-1.274086,0.855297,57.249271,61.681412,-39.967510,-9.755671,116.797058,33.291004,0.120976,-120.040497,183.285278,-50.583424,0.959000,-145.510452,172.414307,-0.860546,0.958943,-90.116692,239.488800,-20.628695,0.973583,-125.915886,196.008926,-17.051626,0.959853,-126.310677,207.173477,14.684372,0.956866,-9.748319,116.794487,33.293724,0.000000,121.495796,176.302887,133.447754,191.427109,146.609680,53.255447,155.213730,131.448792,-0.013966,13.570095,170.773773,127.145782,68.544449,167.077911,139.301163,-31.822369,150.713867,65.126694,-9.668173,129.343933,-1.442058,,,,-120.062431,183.122757,-50.583805,-145.491272,172.569641,-0.910257,-90.161514,239.560089,-20.564857,-125.931084,196.011795,-17.211468,-126.247879,207.106537,14.830466,,,
14,0.233333,-1.760328,-4.163794,-1.948869,72.683174,153.183716,73.822296,0.074367,121.479485,175.954819,133.415192,0.911033,191.448746,146.518539,53.271683,0.975435,155.302643,131.921188,-0.022896,0.880099,13.572283,171.195679,126.956047,0.886773,68.573906,166.892990,139.361084,0.948638,-31.785511,150.996948,65.057045,0.927177,-9.809375,128.805847,-1.282089,0.855323,57.167629,61.511925,-39.979168,-9.860336,116.656639,33.413013,0.120508,-119.848389,183.289764,-50.735645,0.961043,-145.421356,172.563309,-1.034282,0.952270,-89.827438,239.465179,-20.825453,0.970826,-125.742348,196.082092,-17.233255,0.962995,-126.156967,207.298584,14.484163,0.953988,-9.852995,116.654053,33.415749,0.000000,121.498230,176.309357,133.439468,191.427216,146.611130,53.246777,155.218124,131.449097,-0.019073,13.572225,170.777863,127.130821,68.552193,167.083344,139.286896,-31.822954,150.715073,65.120209,-9.662792,129.340195,-1.449063,,,,-119.849686,183.134277,-50.745770,-145.417603,172.745407,-1.091605,-89.897568,239.532349,-20.760706,-125.768616,196.051437,-17.375689,-126.063110,207.235458,14.629310,,,
15,0.250000,-1.760443,-4.164461,-1.952502,72.687813,153.186157,73.812737,0.074828,121.484749,175.954041,133.406342,0.910949,191.453278,146.513565,53.263718,0.975206,155.306946,131.918640,-0.031397,0.879486,13.577331,171.201706,126.945747,0.884616,68.578522,166.895523,139.351517,0.948154,-31.780899,151.005981,65.046066,0.928873,-9.805255,128.813675,-1.292832,0.855931,57.148464,61.389271,-40.031864,-9.835794,116.559044,33.435829,0.123966,-119.621307,183.319778,-50.876030,0.960824,-145.255341,172.702271,-1.182735,0.950256,-89.509621,239.468094,-21.006197,0.971508,-125.515671,196.162384,-17.392963,0.963798,-125.932518,207.415939,14.311321,0.951095,-9.828461,116.556450,33.438572,0.000000,121.503838,176.309052,133.428421,191.435608,146.608170,53.239780,155.220016,131.444504,-0.027914,13.575919,170.777893,127.128479,68.558205,167.088058,139.277191,-31.820181,150.729950,65.102722,-9.658692,129.345505,-1.459459,,,,-119.632675,183.163498,-50.877678,-145.263718,172.890610,-1.246377,-89.579445,239.544891,-20.959133,-125.501007,196.137177,-17.534803,-125.857559,207.332260,14.471464,,,
