Format Version,1.23,Take Name,NZIZ2_noshake_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-13 01.30.44.542 PM,Total Frames in Take,325,Total Exported Frames,325,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-0.532100,-3.122185,0.013261,69.920929,155.530670,128.142014,0.140281,119.058090,178.814255,187.254883,0.949966,188.427475,153.295044,105.268089,0.967693,151.777069,138.489624,52.376842,0.924869,11.267834,170.514557,182.704117,0.949787,66.610786,167.849091,194.001434,0.959101,-34.564079,149.961884,121.272606,0.958283,-13.130680,129.790314,54.116123,0.000000,87.450912,-2.079166,40.667908,66.124763,182.771927,178.919052,0.124878,111.472069,327.583618,203.240860,0.947009,69.105965,332.780243,165.592926,0.943196,62.984898,319.964539,253.664047,0.959784,75.419312,330.378113,199.610184,0.972003,41.880661,328.181152,198.090714,0.966121,66.123634,182.763779,178.919830,0.000000,119.191902,178.823074,187.403442,188.476364,153.347153,105.375763,151.476654,138.490982,52.369198,11.275031,170.698044,182.622757,66.703835,167.727036,193.944794,-34.546658,149.838211,121.161949,,,,111.538918,327.545807,203.043304,69.084938,332.874878,165.798431,62.850975,320.049744,253.637939,75.503258,330.360321,199.682144,41.884827,328.056915,198.036774,,,
7,0.116667,-0.530806,-3.121625,0.011832,69.928650,155.525513,128.147934,0.140521,119.066956,178.806458,187.260880,0.949190,188.434921,153.287460,105.272820,0.967877,151.783646,138.484222,52.381577,0.925051,11.276443,170.509552,182.710953,0.950427,66.619438,167.842422,194.007675,0.958733,-34.556561,149.959503,121.279388,0.958792,-13.124317,129.788986,54.122208,0.000000,87.455856,-2.062133,40.616890,66.148285,182.771393,178.915207,0.124229,111.480240,327.591858,203.213257,0.946585,69.078850,332.782043,165.604156,0.943493,63.040531,319.954376,253.679245,0.959856,75.423500,330.377533,199.615417,0.971899,41.884052,328.172119,198.125961,0.966590,66.147148,182.763260,178.915985,0.000000,119.200279,178.818192,187.413834,188.483444,153.339066,105.380020,151.483963,138.484711,52.373215,11.285424,170.689957,182.629135,66.712669,167.720215,193.947495,-34.541039,149.837540,121.169601,,,,111.553978,327.555969,203.015961,69.055557,332.875366,165.808685,62.905796,320.038330,253.655106,75.506355,330.357147,199.688599,41.885418,328.050842,198.069809,,,
8,0.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.203049,178.840805,187.428116,188.486786,153.336243,105.385696,151.490768,138.479446,52.370239,11.285022,170.695511,182.637451,66.719521,167.714951,193.953735,-34.538578,149.843979,121.173637,,,,111.566124,327.554871,202.994873,69.034264,332.876862,165.824539,62.967854,320.031921,253.680145,75.517097,330.355225,199.698654,41.892609,328.047882,198.105515,,,
9,0.150000,-0.530578,-3.121355,0.011552,69.936211,155.527847,128.163330,0.140677,119.074905,178.808304,187.276154,0.949190,188.442383,153.289322,105.287666,0.967877,151.790771,138.486481,52.396530,0.925051,11.284329,170.511948,182.726700,0.950427,66.627365,167.844498,194.023163,0.958733,-34.549065,149.962387,121.295258,0.958792,-13.117231,129.792038,54.137901,0.000000,87.450714,-2.046348,40.510628,66.163437,182.767029,178.945328,0.123410,111.512665,327.596802,203.155487,0.946585,69.040253,332.777954,165.625381,0.943493,63.168587,319.951172,253.711884,0.959856,75.448753,330.375427,199.624817,0.971899,41.907013,328.163544,198.197906,0.966590,66.162308,182.758896,178.946121,0.000000,119.207245,178.837280,187.437790,188.489624,153.334625,105.394485,151.496307,138.485611,52.377075,11.289477,170.690689,182.647934,66.722824,167.711868,193.964935,-34.534782,149.842865,121.183273,,,,111.582588,327.561066,202.960876,69.017876,332.874268,165.831253,63.038544,320.036469,253.691406,75.532120,330.350586,199.695602,41.906189,328.042389,198.136475,,,
10,0.166667,-0.527880,-3.122396,0.012825,69.932907,155.525238,128.175217,0.143785,119.070007,178.804077,187.289978,0.947274,188.439514,153.290405,105.301567,0.968680,151.789185,138.489166,52.409103,0.926224,11.279724,170.505524,182.738205,0.951152,66.622604,167.838791,194.035522,0.956630,-34.552105,149.957764,121.305000,0.958898,-13.118609,129.790970,54.147110,0.000000,87.451866,-2.044318,40.462296,66.172409,182.761658,178.951874,0.124695,111.542351,327.590118,203.131058,0.947536,69.038292,332.773193,165.637039,0.942902,63.240925,319.942047,253.727798,0.960785,75.475479,330.368988,199.630951,0.971963,41.932541,328.157257,198.232239,0.966042,66.171280,182.753525,178.952682,0.000000,119.203751,178.834213,187.451248,188.486877,153.331696,105.411354,151.486389,138.493378,52.395527,11.288717,170.682907,182.655411,66.721474,167.707184,193.973587,-34.538300,149.836288,121.192207,,,,111.608116,327.564423,202.933578,69.011665,332.872162,165.838379,63.110001,320.027679,253.713257,75.575157,330.321655,199.710281,41.924583,328.045502,198.163528,,,
11,0.183333,-0.530804,-3.121190,0.013343,69.931145,155.530182,128.169525,0.142615,119.069290,178.812500,187.282059,0.947084,188.437302,153.295212,105.293488,0.968377,151.785965,138.490952,52.402565,0.924215,11.278979,170.512772,182.732971,0.951010,66.622124,167.847092,194.029266,0.956031,-34.553967,149.961426,121.301811,0.958415,-13.121724,129.791382,54.144501,0.000000,87.463890,-2.040578,40.430534,66.175827,182.769028,178.949722,0.125319,111.553345,327.593781,203.136917,0.947568,69.028229,332.783752,165.667755,0.943524,63.280373,319.932098,253.758789,0.960723,75.484413,330.371979,199.657516,0.966024,41.940792,328.159180,198.276962,0.967142,66.174698,182.760895,178.950516,0.000000,119.204765,178.841858,187.445129,188.488266,153.338852,105.398987,151.483444,138.492569,52.390411,11.286200,170.687027,182.649612,66.717308,167.717331,193.968369,-34.540272,149.842316,121.189644,,,,111.618355,327.566223,202.939194,69.001289,332.887115,165.871353,63.150429,320.020721,253.744843,75.584679,330.323120,199.737061,41.932308,328.043762,198.205429,,,
12,0.200000,-0.531578,-3.121395,0.015322,69.922600,155.531784,128.158554,0.142780,119.059753,178.816711,187.270874,0.946631,188.428925,153.300552,105.282936,0.968259,151.778275,138.494186,52.392117,0.924849,11.269730,170.513184,182.721588,0.952169,66.612946,167.849594,194.018097,0.956922,-34.562313,149.959305,121.290588,0.959076,-13.129160,129.788971,54.133659,0.000000,87.479271,-2.042253,40.390736,66.145950,182.777039,178.958221,0.124432,111.548866,327.591949,203.156433,0.947304,68.998146,332.795441,165.718246,0.942775,63.310505,319.918335,253.809448,0.960795,75.477707,330.373352,199.702820,0.965572,41.933014,328.162964,198.344833,0.965836,66.144821,182.768890,178.959015,0.000000,119.195572,178.845139,187.433105,188.479630,153.347351,105.389503,151.478027,138.492752,52.377796,11.275805,170.686859,182.641556,66.708336,167.719849,193.956787,-34.550087,149.841629,121.177467,,,,111.612587,327.565491,202.957260,68.973381,332.898651,165.921051,63.179955,320.005127,253.805222,75.582855,330.324219,199.776947,41.919392,328.048553,198.271347,,,
13,0.216667,-0.529083,-3.121662,0.014667,69.919151,155.534546,128.158081,0.141844,119.056290,178.816299,187.271652,0.947146,188.425537,153.302979,105.282936,0.968268,151.775009,138.499374,52.391277,0.925114,11.266210,170.514191,182.721497,0.951603,66.609322,167.849503,194.018158,0.956588,-34.565762,149.963577,121.289368,0.959244,-13.132520,129.795959,54.131649,0.000000,87.496971,-2.021343,40.329685,66.147125,182.779144,178.950760,0.119982,111.530136,327.600128,203.150177,0.946815,68.937347,332.803070,165.759766,0.943286,63.348942,319.893585,253.852600,0.960022,75.454384,330.371216,199.736481,0.966214,41.908943,328.150635,198.413956,0.965062,66.146004,182.771011,178.951553,0.000000,119.191475,178.844330,187.431763,188.478043,153.349823,105.388580,151.475754,138.498413,52.377972,11.270314,170.690506,182.641663,66.704147,167.717438,193.957138,-34.553200,149.845444,121.177727,,,,111.597954,327.572174,202.950485,68.909607,332.911377,165.957169,63.215614,319.981750,253.857498,75.556519,330.320465,199.809006,41.900139,328.033112,198.338821,,,
14,0.233333,-0.527338,-3.122000,0.014928,69.916138,155.529709,128.166275,0.143384,119.052826,178.809906,187.280853,0.946545,188.422684,153.299377,105.291756,0.968001,151.772491,138.497208,52.399441,0.925003,11.262800,170.507446,182.729797,0.951924,66.605865,167.842651,194.026718,0.957033,-34.568726,149.958466,121.296783,0.959144,-13.134978,129.792953,54.138584,0.000000,87.498840,-1.997234,40.255409,66.151665,182.774353,178.981262,0.123505,111.513718,327.609955,203.132416,0.947169,68.870003,332.800293,165.798370,0.941670,63.401932,319.881989,253.897461,0.959351,75.432510,330.368195,199.766312,0.966093,41.886173,328.135498,198.487640,0.964477,66.150543,182.766220,178.982056,0.000000,119.188812,178.840439,187.443008,188.472122,153.344574,105.400826,151.473007,138.496658,52.382320,11.272118,170.680969,182.647430,66.700516,167.711990,193.967514,-34.558651,149.840363,121.184280,,,,111.582535,327.579407,202.934967,68.842644,332.913544,166.000519,63.268871,319.975220,253.891403,75.535011,330.315430,199.837753,41.875294,328.012390,198.417526,,,
15,0.250000,-0.518751,-3.120977,0.012089,69.919380,155.519699,128.184097,0.143620,119.058243,178.788437,187.301361,0.947012,188.425385,153.286972,105.307175,0.967328,151.773575,138.494690,52.413239,0.924316,11.267733,170.492004,182.750931,0.950843,66.610863,167.822754,194.046463,0.958047,-34.565887,149.954681,121.315567,0.958402,-13.134323,129.798370,54.153927,0.000000,87.500893,-1.968809,40.199242,66.145035,182.750931,179.045700,0.130934,111.465630,327.605377,203.161606,0.945648,68.782242,332.778992,165.870575,0.939395,63.408150,319.852051,253.974197,0.958519,75.379829,330.347534,199.831772,0.962524,41.833237,328.099731,198.586502,0.962910,66.143913,182.742783,179.046494,0.000000,119.197800,178.809906,187.459442,188.475586,153.334854,105.417938,151.471207,138.495346,52.398125,11.275150,170.670959,182.669769,66.702522,167.695694,193.986313,-34.552361,149.832748,121.203148,,,,111.536400,327.574097,202.958435,68.748535,332.892365,166.082184,63.274963,319.949097,253.954803,75.485840,330.293091,199.922699,41.823364,327.975037,198.506729,,,
