Format Version,1.23,Take Name,NZIZ2_shake_003,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-13 01.32.15.206 PM,Total Frames in Take,547,Total Exported Frames,547,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,0.184951,-2.348802,-0.201644,67.402184,154.952362,114.714302,0.167342,117.420456,177.300201,173.448120,0.950231,185.580521,152.569183,90.214958,0.959297,148.164337,138.573425,37.640400,0.917181,9.547390,169.458084,170.249252,0.957507,65.026665,166.444321,180.763184,0.000000,-37.186600,149.858200,109.187126,0.966485,-16.737499,130.463165,41.497082,0.000000,95.754509,-1.657922,45.563385,66.896942,172.105225,169.850174,0.129779,108.419067,311.961884,218.165466,0.947380,69.347488,322.485443,178.141403,0.937203,55.912964,297.334015,262.670410,0.960495,72.776138,315.283173,211.893051,0.963152,39.513786,313.361481,207.213364,0.967168,66.895836,172.097061,169.849716,0.000000,117.518478,177.317337,173.620544,185.738785,152.537506,90.193596,147.848465,138.628448,37.723759,9.627594,169.510818,170.108978,,,,-37.207214,149.765015,109.092987,,,,,,,,,,108.497910,311.976318,217.970856,69.312752,322.571503,178.374817,55.792049,297.434845,262.656799,72.853394,315.176422,211.959076,39.513512,313.267090,207.122040,,,
7,0.116667,0.182187,-2.356144,-0.188186,67.322960,154.942490,114.713554,0.148256,117.328430,177.305435,173.452530,0.947225,185.505005,152.585587,90.229584,0.983312,148.098892,138.578003,37.651016,0.922615,9.457614,169.437866,170.240189,0.950583,64.936234,166.437698,180.761459,0.000000,-37.263924,149.823502,109.173195,0.965018,-16.801537,130.429337,41.486904,0.000000,95.746384,-1.645913,45.530106,66.827660,172.112488,169.822632,0.125512,108.339355,311.986267,218.097336,0.948374,69.242706,322.494385,178.093704,0.935735,55.861942,297.349945,262.633301,0.962137,72.692070,315.297241,211.844330,0.974756,39.427628,313.366089,207.183395,0.966883,66.826561,172.104324,169.822174,0.000000,117.474174,177.335617,173.602219,185.526154,152.550308,90.282166,147.800018,138.638168,37.704586,9.577137,169.476486,170.087555,,,,-37.251434,149.729782,109.070030,,,,,,,,,,108.420021,311.989655,217.907272,69.220535,322.573975,178.337128,55.746479,297.447235,262.621307,72.741463,315.219757,211.886185,39.435230,313.263214,207.100281,,,
8,0.133333,0.171687,-2.353838,-0.162537,67.252357,154.938858,114.671211,0.153677,117.250099,177.336029,173.403732,0.947225,185.434509,152.629883,90.183105,0.983312,148.032608,138.594986,37.608826,0.922615,9.382676,169.419556,170.197189,0.950583,64.863052,166.446335,180.716904,0.000000,-37.332439,149.771973,109.135948,0.965018,-16.864010,130.373322,41.452766,0.000000,95.735886,-1.611239,45.511711,66.744942,172.107346,169.788666,0.127304,108.180412,312.015839,218.028275,0.948374,69.066750,322.492188,178.032913,0.935735,55.723816,297.353973,262.580353,0.962137,72.529388,315.303131,211.783936,0.974756,39.264980,313.350037,207.131943,0.966883,66.743835,172.099167,169.788193,0.000000,117.399788,177.365753,173.555023,185.446579,152.595749,90.238327,147.729324,138.654770,37.662575,9.510618,169.462204,170.052521,,,,-37.318836,149.673950,109.020340,,,,,,,,,,108.264450,312.024841,217.837341,69.046326,322.574310,178.275909,55.612171,297.455475,262.560730,72.573814,315.207794,211.836853,39.268520,313.252533,207.046387,,,
9,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.312103,177.417892,173.492188,185.359863,152.643768,90.180519,147.638138,138.657089,37.601662,9.403624,169.466660,169.979538,,,,-37.388760,149.596619,108.948311,,,,,,,,,,108.078720,312.092224,217.733627,68.816719,322.573975,178.191147,55.444935,297.470215,262.480255,72.382187,315.234589,211.742767,39.056236,313.241089,206.960098,,,
10,0.166667,0.117524,-2.351583,-0.101602,67.079651,154.940582,114.522881,0.163982,117.055687,177.448944,173.231369,0.946276,185.263306,152.732986,90.032684,0.983493,147.874451,138.606339,37.473679,0.921561,9.196620,169.414688,170.036667,0.950556,64.680504,166.510803,180.557266,0.000000,-37.499817,149.657074,108.996628,0.961955,-17.013222,130.213257,41.331902,0.000000,95.720200,-1.463153,45.464535,66.666084,172.163925,169.599747,0.133772,107.757141,312.194092,217.780945,0.947800,68.593399,322.556488,177.804932,0.935672,55.364632,297.404358,262.366180,0.961964,72.094040,315.385162,211.555801,0.970564,38.832321,313.342651,206.922958,0.967558,66.665001,172.155746,169.599274,0.000000,117.222870,177.475296,173.385010,185.274719,152.696640,90.103409,147.551559,138.670181,37.514004,9.304639,169.469803,169.891937,,,,-37.463604,149.548111,108.876732,,,,,,,,,,107.841621,312.216034,217.585052,68.559265,322.636017,178.044739,55.239834,297.505432,262.339233,72.161621,315.269989,211.619385,38.839268,313.255432,206.842422,,,
11,0.183333,0.089042,-2.350595,-0.081695,66.991570,154.956650,114.426979,0.166349,116.960747,177.512375,173.123093,0.942853,185.175568,152.777573,89.935944,0.979916,147.790726,138.611084,37.384800,0.917103,9.104442,169.439041,169.934311,0.952794,64.589500,166.559814,180.455460,0.000000,-37.586132,149.634018,108.905174,0.958499,-17.093904,130.162720,41.250072,0.000000,95.681755,-1.424530,45.447083,66.508278,172.199905,169.519180,0.128047,107.512505,312.290771,217.597809,0.946386,68.332092,322.599213,177.624191,0.936266,55.140892,297.493866,262.205200,0.959288,71.845711,315.452728,211.378983,0.963020,38.584343,313.383820,206.755356,0.970267,66.507202,172.191742,169.518738,0.000000,117.133621,177.549652,173.267715,185.194717,152.745102,90.012253,147.465866,138.667801,37.427254,9.214236,169.473038,169.794052,,,,-37.563087,149.538452,108.782005,,,,,,,,,,107.602379,312.309204,217.410217,68.308830,322.674408,177.864029,55.027626,297.591217,262.180878,71.890770,315.346588,211.432312,38.586010,313.299286,206.673996,,,
12,0.200000,0.053441,-2.345066,-0.054926,66.911682,154.965912,114.329391,0.165857,116.875946,177.582550,173.006241,0.942636,185.094345,152.826309,89.828400,0.977531,147.711105,138.608704,37.289932,0.916562,9.023115,169.456818,169.833008,0.955667,64.510513,166.610245,180.350662,0.000000,-37.664040,149.590912,108.821045,0.962582,-17.169222,130.085861,41.176460,0.000000,95.641327,-1.384474,45.419525,66.405762,172.222122,169.411957,0.127604,107.325516,312.376709,217.376587,0.948394,68.121094,322.628326,177.411911,0.935430,54.983181,297.571838,262.015686,0.962795,71.653839,315.507843,211.170197,0.968163,38.392139,313.411072,206.561630,0.969770,66.404694,172.213959,169.411514,0.000000,117.050659,177.630188,173.147141,185.116592,152.791122,89.908058,147.384521,138.663864,37.331139,9.127491,169.475571,169.690872,,,,-37.638771,149.504562,108.701431,,,,,,,,,,107.414001,312.395081,217.190994,68.097618,322.706604,177.656921,54.872181,297.669434,261.998383,71.699173,315.397583,211.215027,38.392838,313.327057,206.474655,,,
13,0.216667,0.019709,-2.346712,-0.041245,66.836266,154.984436,114.217056,0.164110,116.793442,177.648117,172.881805,0.940334,185.020142,152.858368,89.720757,0.979125,147.641830,138.600403,37.189720,0.916467,8.942630,169.494751,169.710327,0.954410,64.430412,166.667694,180.231277,0.000000,-37.738026,149.581192,108.708908,0.961088,-17.236576,130.040527,41.076591,0.000000,95.603035,-1.318474,45.392349,66.406281,172.280136,169.264633,0.127360,107.176025,312.514923,217.122482,0.952435,67.945061,322.693481,177.165146,0.936336,54.867397,297.677002,261.790100,0.962511,71.498405,315.599426,210.926834,0.965705,38.237579,313.459930,206.331604,0.968564,66.405220,172.271973,169.264191,0.000000,116.970001,177.690063,173.036819,185.045380,152.828033,89.794350,147.314163,138.652786,37.228828,9.050504,169.523773,169.566177,,,,-37.719990,149.488220,108.585388,,,,,,,,,,107.241325,312.527283,216.944199,67.911743,322.778900,177.402725,54.759556,297.779022,261.768890,71.567635,315.491180,210.974823,38.244408,313.368530,206.245529,,,
14,0.233333,-0.011834,-2.347452,-0.029810,66.772179,155.003998,114.113350,0.158975,116.724068,177.710419,172.766068,0.938313,184.956787,152.887802,89.619774,0.982998,147.582001,138.593048,37.096241,0.917747,8.874934,169.533768,169.597748,0.953064,64.363136,166.723663,180.120987,0.000000,-37.800961,149.576828,108.606880,0.961292,-17.294735,130.002472,40.985764,0.000000,95.540169,-1.313728,45.377331,66.278618,172.319031,169.173798,0.131627,107.045296,312.610382,216.868286,0.946568,67.803139,322.741089,176.909790,0.935923,54.749565,297.815552,261.565308,0.959696,71.365784,315.684265,210.678284,0.976907,38.104019,313.536163,206.093811,0.966548,66.277557,172.310852,169.173355,0.000000,116.903847,177.740402,172.932404,184.983856,152.864868,89.677795,147.260208,138.642960,37.143234,8.976400,169.575119,169.445297,,,,-37.787441,149.478516,108.488037,,,,,,,,,,107.134964,312.607178,216.674301,67.773239,322.812775,177.154053,54.623211,297.911835,261.537720,71.422569,315.631470,210.728500,38.113842,313.424377,206.020935,,,
15,0.250000,-0.093804,-2.326059,-0.022127,66.703407,154.974823,114.003754,0.196713,116.674164,177.772110,172.605164,0.929578,184.879150,152.839233,89.469086,0.963120,147.486679,138.464066,36.980083,0.906292,8.824937,169.576538,169.488861,0.955770,64.317451,166.788956,179.995422,0.000000,-37.871056,149.525787,108.544151,0.958213,-17.387480,129.857086,40.943542,0.000000,95.505272,-1.266307,45.374134,66.230255,172.371597,169.054565,0.128438,106.879433,312.725677,216.664749,0.948072,67.629875,322.799500,176.699158,0.938892,54.594894,297.914642,261.369507,0.964538,71.197540,315.766174,210.472031,0.970797,37.937679,313.587738,205.888077,0.969418,66.229202,172.363434,169.054153,0.000000,116.841476,177.793945,172.830719,184.937515,152.893951,89.593025,147.120651,138.431274,36.906212,8.936702,169.613464,169.356781,,,,-37.842518,149.445114,108.400566,,,,,,,,,,106.960533,312.740936,216.474136,67.608025,322.863739,176.933990,54.480339,297.998047,261.362793,71.264214,315.685822,210.524368,37.926510,313.505432,205.798248,,,
