Format Version,1.23,Take Name,circum_21_10_2023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.30.571 AM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
196,1.633333,90.174370,53.206944,48.619629,48.426960,193.987839,105.229126,0.313998,-67.952690,291.630493,109.717941,0.902218,-61.895664,263.039185,193.953491,0.920504,-62.004093,288.942017,143.666473,0.961956,-81.349358,262.079651,137.483093,0.803358,-37.318970,314.230591,151.893860,0.838676,48.576912,193.938187,105.182472,0.900910,-68.180519,291.881073,109.913666,-61.679756,263.243195,194.066910,-61.984772,289.022034,143.794464,-81.704536,261.645447,136.931747,-36.821754,313.831390,151.795013,48.427284,194.237030,105.395554,,,
197,1.641667,89.448257,53.346954,49.149372,47.828384,193.886810,105.041168,0.313086,-68.812904,291.263275,108.373688,0.902218,-63.151577,263.130127,192.790833,0.920504,-63.045464,288.767944,142.368179,0.961956,-82.290466,261.825684,136.219864,0.803358,-38.468159,314.160461,150.598206,0.838676,47.978710,193.837280,104.995598,0.900910,-69.041954,291.521912,108.564972,-62.938652,263.340942,192.915695,-63.023678,288.847809,142.507095,-82.616470,261.362885,135.648071,-37.993191,313.791351,150.510361,47.823608,194.118744,105.198799,,,
198,1.650000,88.890556,53.391762,49.519970,47.110741,193.789978,104.803253,0.200137,-69.623215,291.081757,107.244637,0.921000,-64.263550,263.337036,191.809891,0.958864,-63.984604,288.745697,141.272049,0.980166,-83.183441,261.759521,135.172256,0.923774,-39.460232,314.196167,149.481049,0.853739,47.261284,193.740372,104.758492,0.912340,-69.862946,291.249298,107.364273,-64.155144,263.455261,191.846573,-64.026833,288.713257,141.330856,-83.253937,261.670166,134.889389,-39.086826,313.759430,149.371094,47.131836,194.013290,104.936539,,,
199,1.658333,88.250259,53.555946,50.008305,46.548199,193.804977,104.645241,0.206157,-70.485977,290.755554,106.082047,0.921000,-65.467072,263.392517,190.792465,0.958864,-65.010864,288.583435,140.147003,0.980166,-84.098396,261.513580,134.068436,0.923774,-40.603836,314.142578,148.367966,0.853739,46.699112,193.755630,104.601440,0.912340,-70.723793,290.924835,106.191643,-65.355339,263.520599,190.834366,-65.049538,288.548248,140.211594,-84.165596,261.424194,133.779755,-40.229710,313.683258,148.261536,46.557011,194.042236,104.780464,,,
200,1.666667,87.739494,53.658451,50.362190,45.863297,193.722961,104.383423,0.206207,-71.360153,290.453156,105.016769,0.923818,-66.594299,263.433746,189.852036,0.949389,-66.003677,288.425812,139.109512,0.979130,-85.017502,261.295563,133.069214,0.916175,-41.675282,314.064026,147.317245,0.857374,46.014462,193.673737,104.340370,0.911519,-71.576141,290.640564,105.122086,-66.484589,263.592468,189.913269,-66.047043,288.381714,139.165588,-85.067894,261.159851,132.766785,-41.323666,313.622559,147.233856,45.862915,193.948868,104.503456,,,
201,1.675000,87.293350,53.771278,50.727978,45.266052,193.743134,104.135078,0.211895,-72.164360,290.224060,104.080498,0.923818,-67.654327,263.438629,189.003906,0.949389,-66.929504,288.298004,138.197983,0.979130,-85.863144,261.111450,132.159393,0.916175,-42.686138,314.009735,146.427536,0.857374,45.417477,193.694122,104.092712,0.911519,-72.383614,290.396301,104.190422,-67.538132,263.585510,189.050156,-66.966064,288.256866,138.245712,-85.925018,261.021515,131.874863,-42.335011,313.533142,146.337769,45.267941,193.982574,104.263130,,,
202,1.683333,86.940285,53.759125,51.040924,44.467007,193.592255,103.844193,0.189614,-72.957558,290.078400,103.240234,0.935690,-68.723694,263.442047,188.224686,0.957153,-67.833183,288.212067,137.377792,0.977426,-86.748627,261.015778,131.325745,0.914122,-43.615242,313.937042,145.640564,0.905937,44.618565,193.543152,103.802406,0.921267,-73.153587,290.216858,103.332840,-68.608803,263.556213,188.280716,-67.847260,288.134338,137.421555,-86.768120,260.861725,131.019333,-43.328060,313.695892,145.609955,44.446171,193.763382,103.947189,,,
203,1.691667,86.624969,53.757103,51.343361,43.706673,193.431946,103.559288,0.182397,-73.728752,289.900604,102.469002,0.935690,-69.756180,263.370697,187.499374,0.957153,-68.710579,288.077545,136.624695,0.977426,-87.603333,260.871063,130.547592,0.914122,-44.522064,313.816223,144.930862,0.905937,43.858372,193.382813,103.518028,0.921267,-73.924347,290.010284,102.560806,-69.647903,263.463318,187.553009,-68.713425,288.005676,136.672577,-87.597305,260.745972,130.246521,-44.263138,313.602142,144.899567,43.683590,193.591385,103.657272,,,
204,1.700000,86.362198,53.753960,51.647858,42.963688,193.309402,103.255135,0.186953,-74.480934,289.761536,101.767189,0.939334,-70.771706,263.257721,186.817581,0.955674,-69.569778,287.949371,135.939011,0.973194,-88.439613,260.738495,129.810806,0.914520,-45.410973,313.693909,144.313339,0.910499,43.115520,193.260269,103.214371,0.923454,-74.666374,289.895233,101.848587,-70.651665,263.376556,186.871445,-69.604744,287.866028,135.996689,-88.436722,260.591217,129.502258,-45.139526,313.461578,144.290909,42.941452,193.470840,103.352608,,,
205,1.708333,86.185593,53.718338,51.918110,42.171833,193.119919,102.896828,0.184168,-75.225861,289.624786,101.146782,0.939334,-71.768494,263.058044,186.188156,0.955674,-70.412056,287.785858,135.331024,0.973194,-89.276405,260.587708,129.129898,0.914520,-46.265724,313.513702,143.792130,0.910499,42.323757,193.070755,102.856453,0.923454,-75.416481,289.735474,101.234085,-71.664597,263.164856,186.246307,-70.439522,287.704102,135.379105,-89.250282,260.469360,128.829147,-45.997662,313.279694,143.764175,42.143703,193.287308,102.991760,,,
206,1.716667,86.043961,53.692657,52.105289,41.381432,192.900772,102.505997,0.192838,-75.982079,289.443085,100.541458,0.943184,-72.699783,262.861572,185.585159,0.952915,-71.235863,287.597107,134.734772,0.977180,-90.096611,260.405884,128.492310,0.906448,-47.098030,313.315948,143.247299,0.921710,41.533417,192.851578,102.465912,0.922844,-76.153847,289.565735,100.625763,-72.579262,262.987610,185.656326,-71.255943,287.521698,134.782089,-90.073051,260.229248,128.163284,-46.856575,313.116608,143.244736,41.339695,193.054413,102.594673,,,
207,1.725000,85.861839,53.690933,52.361694,40.672573,192.740311,102.154083,0.190736,-76.700584,289.265106,99.920349,0.943184,-73.639069,262.647705,184.961060,0.952915,-72.044525,287.405243,134.125290,0.977180,-90.884430,260.213745,127.821358,0.906448,-47.933350,313.124237,142.712662,0.921710,40.824673,192.691147,102.114380,0.922844,-76.874207,289.384369,100.013275,-73.537712,262.775940,185.013977,-72.059143,287.330505,134.180420,-90.862091,260.045105,127.510666,-47.681831,312.912628,142.696899,40.638031,192.898422,102.239548,,,
208,1.733333,85.689415,53.681461,52.549282,39.928009,192.529526,101.783875,0.183310,-77.438416,289.056000,99.285927,0.946245,-74.542984,262.470123,184.342331,0.956845,-72.848961,287.208771,133.500580,0.975066,-91.677177,260.015350,127.170074,0.916174,-48.753975,312.930420,142.125305,0.919931,40.080185,192.480362,101.744492,0.922268,-77.605942,289.166351,99.363327,-74.433731,262.583099,184.413712,-72.872551,287.123993,133.547501,-91.639168,259.883392,126.864166,-48.518005,312.714447,142.109100,39.888145,192.689621,101.870987,,,
209,1.741667,85.507118,53.677128,52.747719,39.195763,192.302170,101.379440,0.196578,-78.173164,288.817963,98.603004,0.946245,-75.450035,262.265625,183.675552,0.956845,-73.653763,286.984497,132.827698,0.975066,-92.466728,259.787048,126.469238,0.916174,-49.578598,312.711517,141.491776,0.919931,39.348022,192.252975,101.340385,0.922268,-78.361984,288.928345,98.676491,-75.341370,262.394623,183.736267,-73.666458,286.897034,132.879074,-92.431381,259.634125,126.151474,-49.325195,312.500031,141.495712,39.152206,192.465607,101.468620,,,
210,1.750000,85.315567,53.656975,52.937859,38.429867,192.051971,100.966385,0.183697,-78.914581,288.588531,97.892006,0.946225,-76.365723,262.092621,182.987534,0.958026,-74.463593,286.777069,132.126831,0.978651,-93.269127,259.579010,125.749199,0.911913,-50.400707,312.505249,140.821518,0.921553,38.582199,192.002747,100.927666,0.923820,-79.077583,288.702698,97.973640,-76.274368,262.212036,183.062256,-74.478813,286.708679,132.175659,-93.231186,259.408295,125.443306,-50.159344,312.305389,140.805298,38.389744,192.207962,101.044716,,,
211,1.758333,85.110077,53.641312,53.107964,37.683765,191.806992,100.548622,0.204238,-79.642799,288.354401,97.150375,0.948336,-77.248436,261.959900,182.281906,0.952555,-75.252831,286.583344,131.395218,0.973090,-94.050484,259.379974,125.016693,0.905509,-51.202198,312.318848,140.101883,0.923952,37.836155,191.757675,100.510231,0.918659,-79.793709,288.465057,97.238098,-77.142555,262.101898,182.350128,-75.265144,286.489075,131.445663,-94.019188,259.193756,124.689301,-50.963066,312.130920,140.105301,37.623108,191.973633,100.627869,,,
212,1.766667,84.879517,53.651711,53.326019,36.990398,191.621002,100.118134,0.197559,-80.364655,288.120667,96.365479,0.948336,-78.150352,261.808746,181.527466,0.952555,-76.050453,286.384094,130.621704,0.973090,-94.823578,259.167542,124.227364,0.905509,-52.028984,312.137054,139.357315,0.923952,37.142891,191.571732,100.080124,0.918659,-80.512238,288.235443,96.456329,-78.044411,261.946899,181.585648,-76.081390,286.279144,130.665710,-94.797073,259.016327,123.922974,-51.783066,311.920776,139.349258,36.942959,191.791260,100.199638,,,
213,1.775000,84.669754,53.621342,53.479950,36.226089,191.330551,99.644096,0.196020,-81.085594,287.869232,95.555130,0.944317,-79.020592,261.684052,180.759888,0.952839,-76.828064,286.182373,129.820908,0.974159,-95.601143,258.963440,123.436630,0.904707,-52.811016,311.939240,138.557205,0.923266,36.378628,191.281158,99.606415,0.920434,-81.249489,287.991913,95.642876,-78.920685,261.823151,180.839020,-76.850616,286.092926,129.867569,-95.540718,258.778259,123.108978,-52.575077,311.742920,138.554901,36.168873,191.490356,99.722740,,,
214,1.783333,84.432106,53.579533,53.663132,35.491463,191.052643,99.168625,0.194859,-81.759109,287.648682,94.698021,0.944317,-79.875229,261.596588,179.947784,0.952839,-77.569572,286.013428,128.974686,0.974159,-96.345055,258.794708,122.596504,0.904707,-53.555580,311.770935,137.717468,0.923266,35.644047,191.003113,99.131325,0.920434,-81.909874,287.767792,94.777985,-79.782516,261.732635,180.016830,-77.587173,285.893127,129.021255,-96.280746,258.626892,122.291069,-53.327244,311.589966,137.714447,35.426975,191.217331,99.244293,,,
215,1.791667,84.144768,53.566940,53.931316,34.828335,190.889755,98.733307,0.220353,-82.414749,287.473145,93.815224,0.897308,-80.767044,261.527649,179.102386,0.947130,-78.320686,285.880951,128.105469,0.952545,-97.076775,258.653168,121.708961,0.897530,-54.332592,311.650787,136.882965,0.922374,34.981026,190.840179,98.696495,0.925701,-82.554558,287.799774,94.021362,-80.641876,261.682922,179.172729,-78.362488,285.695892,128.099762,-97.032082,258.388824,121.398918,-54.131580,311.436493,136.782516,34.791767,191.021805,98.836212,,,
216,1.800000,83.763474,53.617878,54.131409,34.209980,190.646027,98.326981,0.226541,-83.129189,287.080017,92.807121,0.897308,-81.620995,261.464355,178.196457,0.947130,-79.100937,285.624146,127.111214,0.952545,-97.814453,258.351257,120.782600,0.897530,-55.158512,311.454071,135.836670,0.922374,34.362801,190.596481,98.290657,0.925701,-83.268044,287.393250,93.028549,-81.498413,261.618896,178.259933,-79.130836,285.455200,127.100960,-97.755371,258.092224,120.472267,-54.966263,311.219482,135.731354,34.157635,190.791336,98.431740,,,
217,1.808333,83.377472,53.665821,54.331108,33.616779,190.427307,97.899956,0.226482,-83.813400,286.713654,91.771400,0.898750,-82.445595,261.435272,177.263565,0.948937,-79.850914,285.396881,126.088753,0.952537,-98.523094,258.079346,119.830780,0.899775,-55.953022,311.286377,134.759476,0.921207,33.769718,190.377777,97.864128,0.920662,-83.947426,287.026550,91.990868,-82.330269,261.595673,177.315430,-79.886238,285.210358,126.084908,-98.452538,257.823273,119.530533,-55.760525,311.059631,134.655319,33.560753,190.573746,98.000648,,,
218,1.816667,82.995796,53.681168,54.511238,32.989059,190.148193,97.483101,0.227484,-84.476311,286.350800,90.743690,0.898750,-83.251747,261.426239,176.341888,0.948937,-80.575600,285.177643,125.073341,0.952537,-99.223167,257.825378,118.894318,0.899775,-56.706017,311.114471,133.680481,0.921207,33.142090,190.098587,97.447754,0.920662,-84.606987,286.686432,90.961784,-83.125854,261.584961,176.425278,-80.606972,284.980774,125.062599,-99.159897,257.556213,118.575172,-56.521763,310.892731,133.570831,32.930733,190.292145,97.585915,,,
219,1.825000,82.693665,53.671024,54.612244,32.278725,189.833740,96.962776,0.225692,-85.174866,286.014771,89.728500,0.900498,-84.042053,261.420135,175.423325,0.948081,-81.310532,284.973724,124.066513,0.949973,-99.952866,257.598663,117.973183,0.897624,-57.448841,310.942474,132.598907,0.929894,32.431789,189.784012,96.927788,0.920410,-85.305626,286.318390,89.950172,-83.935135,261.588501,175.481140,-81.335579,284.775574,124.053780,-99.844955,257.343933,117.671242,-57.285690,310.733154,132.508347,32.209694,189.974365,97.053436,,,
220,1.833333,82.307251,53.774181,54.840576,31.815685,189.765839,96.549194,0.234097,-85.823067,285.674286,88.728539,0.900498,-84.819405,261.384674,174.511902,0.948081,-82.028915,284.762543,123.078064,0.949973,-100.601128,257.327118,117.042389,0.897624,-58.239548,310.811188,131.568695,0.929894,31.968925,189.716293,96.514702,0.920410,-85.956100,285.987427,88.951141,-84.703003,261.559631,174.576859,-82.060608,284.577393,123.061890,-100.535446,257.054352,116.729630,-58.039352,310.574951,131.478607,31.751394,189.922241,96.646278,,,
221,1.841667,81.992134,53.777317,54.990398,31.145514,189.498276,96.058800,0.233525,-86.506378,285.348145,87.733856,0.898429,-85.627052,261.349792,173.600525,0.945835,-82.764343,284.553894,122.092010,0.955075,-101.320114,257.093201,116.121117,0.891921,-58.994770,310.637543,130.530487,0.926978,31.298820,189.448654,96.024704,0.917004,-86.639359,285.660736,87.956718,-85.493797,261.500092,173.681747,-82.786446,284.376648,122.072243,-101.249741,256.819122,115.794258,-58.815960,310.427124,130.435242,31.071424,189.647461,96.162468,,,
222,1.850000,81.774940,53.739220,55.095440,30.431227,189.211304,95.466110,0.226338,-87.162300,285.100952,86.782249,0.898429,-86.395264,261.300781,172.705124,0.945835,-83.460716,284.384247,121.146477,0.955075,-102.023453,256.919189,115.217438,0.891921,-59.687809,310.475342,129.552399,0.926978,30.584547,189.161545,95.432304,0.917004,-87.274681,285.444611,86.975220,-86.265030,261.466644,172.785431,-83.487305,284.173370,121.129402,-101.939270,256.642181,114.922043,-59.532215,310.256439,129.460114,30.353428,189.358734,95.563736,,,
223,1.858333,81.571785,53.730343,55.215153,29.817953,188.979477,94.881195,0.237236,-87.767021,284.849609,85.872459,0.898679,-87.106415,261.209412,171.840363,0.945001,-84.108231,284.196960,120.242554,0.951302,-102.662888,256.720428,114.341522,0.891028,-60.346447,310.304352,128.629486,0.926828,29.971319,188.929642,94.847672,0.917053,-87.892784,285.165100,86.093605,-86.990570,261.384094,171.907135,-84.138176,284.005432,120.223572,-102.580490,256.428101,114.028870,-60.158463,310.095734,128.546982,29.740692,189.131943,94.974045,,,
224,1.866667,81.383667,53.661663,55.320782,29.111429,188.685593,94.288651,0.235900,-88.363838,284.659576,84.959717,0.898679,-87.835449,261.173340,170.970764,0.945001,-84.748894,284.065002,119.335526,0.951302,-103.324265,256.596863,113.460533,0.891028,-60.970909,310.163086,127.705421,0.926828,29.264786,188.635544,94.255409,0.917053,-88.478683,284.978088,85.173622,-87.710655,261.348328,171.051147,-84.774200,283.857635,119.312981,-103.248444,256.328522,113.147629,-60.798168,309.936066,127.619637,29.031456,188.844925,94.382523,,,
225,1.875000,81.012161,53.722267,55.554989,28.604069,188.555283,93.829155,0.245914,-88.985481,284.332214,83.932312,0.891422,-88.615936,261.121094,170.018829,0.943863,-85.446457,283.852386,118.317780,0.945066,-103.969864,256.339325,112.489128,0.890385,-61.724098,310.010742,126.657326,0.921065,28.757568,188.505356,93.796425,0.909863,-89.126801,284.687531,84.138260,-88.475533,261.280609,170.091385,-85.471222,283.634705,118.301186,-103.907402,256.040253,112.174637,-61.516636,309.792358,126.562607,28.513193,188.725555,93.944016,,,
226,1.883333,80.539162,53.817860,55.816109,28.115780,188.400330,93.460442,0.250248,-89.648010,283.885681,82.844269,0.887014,-89.436607,261.069611,169.036865,0.942520,-86.190392,283.570587,117.239944,0.949473,-104.642693,255.992584,111.493210,0.885512,-62.542370,309.816254,125.516113,0.916838,28.269461,188.350555,93.428299,0.913833,-89.807304,284.243408,83.069923,-89.306770,261.249207,169.098053,-86.219513,283.371155,117.224937,-104.570656,255.677200,111.169083,-62.324562,309.581207,125.426796,28.038143,188.563232,93.569931,,,
227,1.891667,80.298187,53.792336,55.891407,27.415760,188.088104,92.848389,0.238548,-90.309357,283.575958,81.833092,0.887014,-90.177368,261.031036,168.097137,0.942520,-86.880684,283.367981,116.232460,0.949473,-105.336746,255.777710,110.556999,0.885512,-63.231438,309.632172,124.445915,0.916838,27.569452,188.038193,92.816536,0.913833,-90.435776,283.905609,82.041756,-90.036697,261.203796,168.169968,-86.893608,283.136658,116.217079,-105.286110,255.525650,110.241821,-63.053288,309.397736,124.360863,27.339161,188.253647,92.950760,,,
228,1.900000,80.035614,53.809715,56.053967,26.911997,187.924072,92.283249,0.249852,-90.851013,283.317322,80.860756,0.884930,-90.843887,260.970306,167.176407,0.943287,-87.477257,283.190216,115.265968,0.945786,-105.908134,255.576218,109.624306,0.891793,-63.856514,309.487091,123.456932,0.910563,27.065769,187.874161,92.251755,0.910913,-91.020546,283.686859,81.076561,-90.708733,261.138367,167.246780,-87.492897,282.975494,115.239998,-105.858208,255.282883,109.309990,-63.626461,309.230408,123.361160,26.835859,188.101410,92.401711,,,
229,1.908333,79.767326,53.783142,56.137119,26.345284,187.656372,91.714874,0.248104,-91.377724,283.044800,79.848473,0.884930,-91.457291,261.001038,166.242035,0.943287,-88.035820,283.037476,114.257019,0.945786,-106.469971,255.409485,108.695290,0.891793,-64.414551,309.355774,122.377480,0.910563,26.499069,187.606323,91.683701,0.910913,-91.544357,283.417725,80.065018,-91.305595,261.154022,166.300323,-88.049881,282.809723,114.222076,-106.461876,255.149307,108.397690,-64.179283,309.087311,122.276962,26.284576,187.836884,91.842056,,,
230,1.916667,79.453041,53.771748,56.250137,25.797874,187.393112,91.156830,0.249717,-91.912209,282.732605,78.779915,0.881761,-92.093658,261.025421,165.258499,0.944916,-88.611000,282.859344,113.192162,0.945464,-107.038231,255.209564,107.716263,0.899291,-64.999672,309.209442,121.237991,0.900681,25.951696,187.342941,91.126030,0.912909,-92.094543,283.106293,79.005302,-91.945610,261.176605,165.319901,-88.630402,282.643677,113.165848,-107.034721,254.952667,107.405991,-64.745461,308.924774,121.127670,25.747627,187.575394,91.286270,,,
231,1.925000,79.079536,53.808823,56.383240,25.319881,187.199112,90.639114,0.245450,-92.459534,282.374786,77.675217,0.881761,-92.728073,261.069305,164.253403,0.944916,-89.200775,282.664307,112.090508,0.945464,-107.596672,254.972931,106.720520,0.899291,-65.622803,309.072571,120.042801,0.900681,25.473787,187.148926,90.608742,0.912909,-92.662552,282.748657,77.888763,-92.567459,261.212006,164.313034,-89.227440,282.438324,112.061111,-107.594269,254.767563,106.416458,-65.361389,308.746002,119.932632,25.279045,187.390213,90.778976,,,
232,1.933333,78.509506,53.981544,56.744118,25.153250,187.275620,90.323219,0.247356,-92.934471,281.952515,76.537689,0.861951,-93.390053,261.066681,163.217300,0.947311,-89.782257,282.421082,110.960938,0.942477,-108.059837,254.636353,105.669754,0.909108,-66.325844,308.954346,118.856415,0.859742,25.307430,187.225861,90.293556,0.915441,-93.206566,282.377686,76.761520,-93.223938,261.184570,163.271362,-89.812347,282.196045,110.923584,-108.182739,254.463348,105.374542,-65.952690,308.560913,118.712502,25.193125,187.474457,90.492401,,,
233,1.941667,78.164001,53.973087,56.844204,24.591267,186.957169,89.742126,0.261262,-93.487877,281.561676,75.397270,0.861951,-94.031982,261.076263,162.171860,0.947311,-90.371338,282.189362,109.821236,0.942477,-108.641747,254.379303,104.639465,0.909108,-66.924736,308.760376,117.618408,0.859742,24.745481,186.907272,89.712852,0.915441,-93.769897,281.999847,75.617142,-93.841377,261.181122,162.229965,-90.388557,281.960449,109.779213,-108.755867,254.185379,104.329651,-66.552322,308.372955,117.477020,24.596006,187.174438,89.927765,,,
234,1.950000,77.746437,54.035568,57.030293,24.193487,186.834091,89.260605,0.260861,-94.000023,281.197235,74.281784,0.843839,-94.656746,261.115540,161.149948,0.941096,-90.940956,281.989868,108.707512,0.935284,-109.162186,254.129166,103.625542,0.906996,-67.546051,308.631317,116.419090,0.841165,24.347822,186.784302,89.231819,0.906795,-94.322662,281.691681,74.485748,-94.442673,261.204559,161.191956,-90.966843,281.737122,108.657951,-109.354530,253.978729,103.344887,-67.124664,308.182312,116.262672,24.253279,187.053024,89.472321,,,
235,1.958333,77.356392,54.147812,57.221230,23.948154,186.806000,88.763474,0.270803,-94.442535,280.830261,73.221870,0.843839,-95.181969,261.104034,160.170731,0.941096,-91.436676,281.771454,107.648521,0.935284,-109.585304,253.847595,102.654129,0.906996,-68.115456,308.498962,115.285179,0.841165,24.102648,186.756454,88.735115,0.906795,-94.838242,281.361572,73.417343,-94.943840,261.171112,160.202286,-91.454971,281.522156,107.613556,-109.859856,253.724548,102.361435,-67.610229,307.983215,115.109726,24.047911,187.046051,89.011040,,,
236,1.966667,76.899109,54.315811,57.486137,23.817114,186.927490,88.358727,0.286565,-94.866722,280.474548,72.185547,0.814029,-95.710876,261.113495,159.215546,0.928599,-91.932587,281.571594,106.613785,0.945398,-109.974632,253.564178,101.701828,0.878892,-68.719109,308.411774,114.183258,0.757729,23.971836,186.878372,88.330894,0.890338,-95.326378,281.016052,72.406570,-95.426422,261.092712,159.230621,-91.945808,281.358307,106.568703,-110.375900,253.626907,101.437782,-68.119904,307.700562,113.910728,24.004490,187.169495,88.657379,,,
237,1.975000,78.335190,53.430622,55.864662,21.321192,184.580765,85.568901,0.159780,-95.794212,280.362427,71.135277,0.814029,-95.871696,260.818176,158.128372,0.928599,-92.394081,281.324493,105.524673,0.945398,-111.018288,253.669952,100.789398,0.878892,-68.587135,307.709381,112.847542,0.757729,21.474594,184.528809,85.538948,0.890338,-95.895836,280.693848,71.344429,-95.873917,261.111176,158.264481,-92.449272,281.123718,105.514725,-110.933243,253.387573,100.490211,-68.513008,307.568054,112.811028,,,,,,
238,1.983333,78.137741,53.451542,55.871609,20.825199,184.280319,84.825890,0.162738,-96.325890,279.969513,70.072128,0.891519,-96.395828,260.716675,157.130188,0.920096,-92.926003,281.048035,104.458092,0.946104,-111.539940,253.370819,99.815529,0.894965,-69.128845,307.466156,111.692467,0.954866,20.978621,184.228333,84.796112,0.000000,-96.426537,280.322418,70.303673,-96.411629,261.009247,157.257813,-92.993172,280.843750,104.443069,-111.433990,253.081558,99.529839,-69.051239,307.313965,111.634041,,,,,,
239,1.991667,78.042709,53.466164,55.784763,20.255848,183.925354,83.931839,0.153768,-96.915192,279.564453,69.012535,0.891519,-96.902428,260.562073,156.125641,0.920096,-93.483208,280.742035,103.392067,0.946104,-112.099678,253.050476,98.846542,0.894965,-69.681007,307.182343,110.528152,0.954866,20.409245,183.873291,83.902069,0.000000,-97.028564,279.934570,69.219719,-96.929665,260.853577,156.271423,-93.534462,280.533203,103.381905,-111.994316,252.741699,98.564369,-69.594482,307.038361,110.467506,,,,,,
240,2.000000,77.987724,53.526340,55.658161,19.782692,183.631805,82.980804,0.162053,-97.482948,279.141510,67.976311,0.894906,-97.324890,260.377625,155.140930,0.921878,-94.000206,280.415802,102.347267,0.946287,-112.602516,252.697891,97.905548,0.896774,-70.207314,306.893402,109.375175,0.958954,19.936083,183.579773,82.950943,0.000000,-97.561745,279.501556,68.178558,-97.333527,260.661652,155.270920,-94.059547,280.209320,102.344200,-112.531311,252.393372,97.635963,-70.131783,306.760315,109.315788,,,,,,
241,2.008333,77.889999,53.495369,55.527699,19.227184,183.153397,82.157555,0.166371,-97.979240,278.704895,66.957222,0.896711,-97.730659,260.249146,154.187424,0.924709,-94.453766,280.097839,101.319229,0.948533,-113.083893,252.379532,96.998077,0.898526,-70.630951,306.580780,108.224663,0.961794,19.380497,183.101135,82.127693,0.000000,-98.067169,279.037598,67.185791,-97.740646,260.527679,154.301514,-94.493332,279.895874,101.313400,-113.016296,252.093552,96.718033,-70.560982,306.457306,108.167862,,,,,,
242,2.016667,77.934402,53.462852,55.274323,18.680878,182.664978,81.138489,0.164200,-98.457085,278.303833,65.960121,0.896711,-98.014633,260.090240,153.240433,0.924709,-94.845695,279.788330,100.309364,0.948533,-113.516953,252.078796,96.111000,0.898526,-70.976807,306.263916,107.082687,0.961794,18.834059,182.612457,81.108398,0.000000,-98.549049,278.651215,66.189697,-98.030106,260.371765,153.364502,-94.896011,279.591248,100.296028,-113.435715,251.780807,95.831985,-70.900154,306.130005,107.021126,,,,,,
243,2.025000,78.054184,53.378986,54.978096,18.092342,182.074341,80.005943,0.155446,-98.888138,277.924652,64.947395,0.893832,-98.246735,259.889801,152.263550,0.920233,-95.180580,279.472321,99.283592,0.945910,-113.920441,251.793030,95.192986,0.895843,-71.238655,305.912201,105.937607,0.958573,18.245333,182.021439,79.975548,0.000000,-98.991264,278.278961,65.157608,-98.263268,260.178284,152.398849,-95.225922,279.261047,99.272606,-113.831291,251.499023,94.911568,-71.162743,305.774841,105.884407,,,,,,
244,2.033333,77.947716,53.316433,54.820053,17.554260,181.494858,79.090996,0.150199,-99.311966,277.448303,63.803791,0.893832,-98.574875,259.768066,151.191711,0.920233,-95.554626,279.130463,98.128265,0.945910,-114.339073,251.461273,94.176277,0.895843,-71.566322,305.563324,104.641502,0.958573,17.707134,181.441620,79.060608,0.000000,-99.394485,277.789459,64.012550,-98.584076,260.039825,151.322266,-95.591240,278.901764,98.108147,-114.260300,251.209702,93.914680,-71.516861,305.430817,104.583992,,,,,,
245,2.041667,77.634903,53.372311,54.764381,17.159388,181.054001,78.328522,0.153174,-99.798470,276.813324,62.533646,0.898988,-98.979309,259.679382,150.029572,0.923154,-96.016083,278.712769,96.844032,0.947577,-114.780518,251.003922,93.079315,0.901959,-72.044785,305.205658,103.173615,0.961180,17.312281,181.000702,78.298340,0.000000,-99.883881,277.150360,62.739536,-98.982994,259.958466,150.158310,-96.058479,278.508453,96.823189,-114.708107,250.728455,92.809753,-71.985664,305.069031,103.129318,,,,,,
246,2.050000,77.037544,53.420380,54.788864,16.785257,180.413239,77.945671,0.160443,-100.255173,275.906158,61.179035,0.898988,-99.427078,259.655945,148.843323,0.923154,-96.476807,278.154724,95.468742,0.947577,-115.216766,250.392883,91.982468,0.901959,-72.529114,304.731018,101.532341,0.961180,16.938198,180.359772,77.916039,0.000000,-100.413200,275.934296,61.106915,-99.381119,259.835144,148.989090,-96.513344,278.089905,95.543983,-115.167168,250.280075,91.700966,-72.429932,304.701172,101.665154,,,,,,
