Format Version,1.23,Take Name,circum_21_10_2023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.30.571 AM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,126.314651,23.334005,30.115063,75.394745,199.344315,108.060478,0.185816,23.936495,313.813751,193.776672,0.958219,40.554085,249.502426,253.255127,0.975313,37.631920,294.245575,218.769394,0.919883,7.261984,280.358582,214.424622,0.913607,72.356285,304.284271,221.931732,0.959053,75.484047,199.279297,107.938301,0.000000,23.977087,313.702271,193.885468,40.606983,249.442108,253.337265,37.699562,294.445801,219.012924,7.049173,280.334900,214.144531,72.407913,304.279419,221.777390,,,,,,
7,0.058333,126.328323,23.299940,30.075331,75.363579,199.271378,108.089439,0.198898,23.991167,313.749146,193.845978,0.950644,40.653664,249.438263,253.312347,0.976345,37.706223,294.180450,218.827576,0.920483,7.331133,280.296417,214.509552,0.910771,72.434326,304.215759,221.959473,0.958545,75.452766,199.206360,107.967194,0.000000,24.037685,313.611786,193.979935,40.698387,249.390945,253.381012,37.779713,294.379364,219.064651,7.113558,280.278015,214.227219,72.487152,304.220245,221.802353,,,,,,
8,0.066667,126.361626,23.293802,30.024874,75.368973,199.272064,108.094467,0.192913,24.012920,313.709656,193.914413,0.950644,40.743214,249.391449,253.353836,0.976345,37.753521,294.140503,218.881622,0.920483,7.380814,280.245544,214.582092,0.910771,72.479919,304.188721,221.991043,0.958545,75.458099,199.207108,107.972137,0.000000,24.062078,313.577545,194.044128,40.787498,249.343704,253.423096,37.822784,294.321869,219.129654,7.166163,280.232269,214.298172,72.531860,304.200531,221.827927,,,,,,
9,0.075000,126.387627,23.284193,29.989487,75.367867,199.264465,108.104118,0.193164,24.036524,313.673706,193.976608,0.951153,40.812820,249.346436,253.393265,0.976553,37.794952,294.102142,218.932098,0.921686,7.422641,280.201935,214.646545,0.911573,72.521049,304.156677,222.024292,0.958229,75.456940,199.199554,107.981728,0.000000,24.085609,313.536865,194.107147,40.859886,249.300339,253.460022,37.860607,294.287079,219.176254,7.210004,280.192017,214.364059,72.571915,304.164642,221.865341,,,,,,
10,0.083333,126.415794,23.263815,29.973368,75.346962,199.267136,108.098312,0.192433,24.066809,313.650543,194.035782,0.951153,40.859447,249.298447,253.420944,0.976553,37.833088,294.067657,218.978058,0.921686,7.457145,280.173126,214.699951,0.911573,72.561813,304.116425,222.059525,0.958229,75.435974,199.202255,107.975853,0.000000,24.117817,313.512543,194.161499,40.903851,249.247894,253.486664,37.897556,294.257477,219.232498,7.248542,280.162506,214.418457,72.610558,304.125946,221.894867,,,,,,
11,0.091667,126.442154,23.255468,29.970894,75.360657,199.278839,108.091309,0.190841,24.101391,313.628937,194.085571,0.951302,40.895042,249.248947,253.440201,0.977891,37.868797,294.033691,219.017502,0.918574,7.491052,280.143921,214.736832,0.914403,72.598831,304.077850,222.099335,0.955056,75.449646,199.213989,107.968811,0.000000,24.155472,313.496246,194.217499,40.929604,249.200745,253.505798,37.930679,294.227570,219.271805,7.293487,280.120819,214.458145,72.645874,304.087830,221.926102,,,,,,
12,0.100000,126.465286,23.236017,29.968821,75.334770,199.287750,108.088875,0.191504,24.124130,313.617340,194.139359,0.951302,40.915020,249.209991,253.465057,0.977891,37.892258,294.008911,219.060547,0.918574,7.510014,280.128479,214.781403,0.914403,72.625534,304.043060,222.138321,0.955056,75.423721,199.222946,107.966331,0.000000,24.175701,313.486786,194.275223,40.947151,249.163834,253.532318,37.958145,294.200439,219.314407,7.312748,280.103210,214.499512,72.673264,304.053528,221.963104,,,,,,
13,0.108333,126.490486,23.223490,29.980968,75.322105,199.304901,108.079170,0.195004,24.142504,313.604370,194.188110,0.951739,40.913013,249.161087,253.480560,0.974724,37.904251,293.978882,219.099365,0.917969,7.518068,280.109528,214.812164,0.913454,72.640358,304.001282,222.183334,0.953714,75.411034,199.240128,107.956604,0.000000,24.195576,313.472870,194.319092,40.946678,249.101807,253.555206,37.969833,294.172424,219.356079,7.320096,280.091095,214.528763,72.685959,304.016937,222.004578,,,,,,
14,0.116667,126.503967,23.206636,30.047266,75.315033,199.312683,108.087822,0.185065,24.176191,313.597015,194.241013,0.951739,40.850388,249.098236,253.500259,0.974724,37.903931,293.942383,219.148056,0.917969,7.508643,280.102417,214.830612,0.913454,72.646629,303.932495,222.262543,0.953714,75.403999,199.247925,107.965271,0.000000,24.219698,313.467926,194.364136,40.890423,249.050400,253.567047,37.963615,294.139282,219.405869,7.313995,280.082092,214.549072,72.698013,303.932953,222.096420,,,,,,
15,0.125000,126.519173,23.183216,30.131224,75.295639,199.328781,108.083855,0.185478,24.213583,313.598297,194.290436,0.954631,40.765137,249.030823,253.509247,0.976946,37.898193,293.907166,219.192383,0.918056,7.490925,280.105225,214.837784,0.916360,72.649536,303.855347,222.344452,0.957358,75.384628,199.264023,107.961319,0.000000,24.264009,313.468201,194.406448,40.804039,248.977081,253.573303,37.961823,294.103668,219.446884,7.293966,280.086670,214.567993,72.693474,303.861420,222.179749,,,,,,
