Format Version,1.23,Take Name,danielle_ear2ear_003,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.30.793 PM,Total Frames in Take,313,Total Exported Frames,313,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206691,0.162314,0.142603,-0.212690,0.122101,0.136174
7,0.116667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206741,0.162216,0.142566,-0.212711,0.122001,0.136139
8,0.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206823,0.162055,0.142416,-0.212743,0.121841,0.135993
9,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206974,0.161860,0.142146,-0.212805,0.121666,0.135730
10,0.166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.207088,0.161722,0.141760,-0.212886,0.121519,0.135350
11,0.183333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.207371,0.161500,0.141464,-0.212961,0.121342,0.134931
12,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206365,0.162263,0.141490,-0.213041,0.121191,0.134504
13,0.216667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.207635,0.161312,0.140431,-0.213086,0.121118,0.134141
14,0.233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.207731,0.161331,0.140071,-0.213207,0.121076,0.133829
15,0.250000,-0.188137,-0.292854,0.914777,0.204997,-0.067178,0.135238,0.101528,0.000680,-0.214891,0.146799,0.110755,0.000000,-0.208296,0.200011,0.093361,0.955526,-0.067180,0.135238,0.101525,0.000000,-0.217579,0.131759,0.077829,0.000000,-0.207651,0.162350,0.140115,0.776102,-0.213400,0.120707,0.133295,0.828797,,,,,,,,,,,,,,,,-0.208270,0.200179,0.093412,,,,,,,-0.207790,0.161554,0.139728,-0.213293,0.121303,0.133615
