Format Version,1.23,Take Name,danielle_circum_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.16.643 PM,Total Frames in Take,480,Total Exported Frames,480,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
93,1.550000,-0.099075,-0.037873,0.949725,0.294570,-0.053050,0.185000,0.159552,0.000372,-0.185148,0.236368,0.203704,0.000000,-0.179128,0.275892,0.163966,0.915190,-0.053053,0.185000,0.159550,0.000000,-0.201225,0.211502,0.182708,0.894926,-0.166082,0.259220,0.220149,0.959853,-0.178687,0.220931,0.233887,0.908996,,,,,,,,,,,,,-0.178952,0.276157,0.163849,,,,-0.201498,0.211224,0.182550,-0.166242,0.259220,0.220166,-0.178430,0.220944,0.234145
94,1.566667,-0.107437,-0.034960,0.948797,0.294991,-0.054516,0.184182,0.157477,0.000204,-0.187097,0.236330,0.199201,0.000000,-0.180405,0.275428,0.159149,0.915190,-0.054520,0.184181,0.157475,0.000000,-0.202937,0.211289,0.178234,0.894926,-0.168208,0.259304,0.215681,0.959853,-0.181108,0.221190,0.229630,0.908996,,,,,,,,,,,,,-0.180286,0.275472,0.158971,,,,-0.203060,0.211407,0.178146,-0.168497,0.259245,0.215691,-0.180817,0.221086,0.229886
95,1.583333,-0.119950,-0.034726,0.950175,0.285613,-0.053983,0.185692,0.156947,0.000197,-0.188424,0.235875,0.194962,0.000000,-0.181459,0.274694,0.154687,0.939370,-0.053986,0.185691,0.156945,0.000000,-0.203313,0.210353,0.173878,0.000000,-0.170343,0.259340,0.211655,0.942842,-0.182904,0.221140,0.225678,0.935947,,,,,,,,,,,,,-0.181415,0.274889,0.154550,,,,,,,-0.170453,0.259172,0.211546,-0.182839,0.221113,0.225924
96,1.600000,-0.122915,-0.030793,0.947704,0.292917,-0.056462,0.183140,0.153714,0.000237,-0.190188,0.235800,0.190891,0.000000,-0.182448,0.274206,0.150361,0.939370,-0.056465,0.183139,0.153712,0.000000,-0.205423,0.210373,0.169939,0.000000,-0.171781,0.259086,0.207478,0.942842,-0.185016,0.221201,0.221732,0.935947,,,,,,,,,,,,,-0.182323,0.274175,0.150201,,,,-0.205561,0.210556,0.169775,-0.172117,0.259024,0.207485,-0.184667,0.221110,0.222049
97,1.616667,-0.129335,-0.029086,0.947250,0.291796,-0.057309,0.182572,0.151824,0.000229,-0.191502,0.235355,0.187098,0.000000,-0.183340,0.273474,0.146381,0.947289,-0.057312,0.182571,0.151821,0.000000,-0.206472,0.209760,0.166160,0.937811,-0.173307,0.258780,0.203723,0.918443,-0.186666,0.220985,0.218101,0.887380,,,,,,,,,,,,,-0.183217,0.273473,0.146210,,,,-0.206602,0.209915,0.166014,-0.173624,0.258705,0.203737,-0.186341,0.220907,0.218404
98,1.633333,-0.137654,-0.027643,0.946916,0.289200,-0.057902,0.182180,0.150400,0.000244,-0.192814,0.234723,0.183201,0.000000,-0.184181,0.272538,0.142298,0.947289,-0.057905,0.182179,0.150397,0.000000,-0.207368,0.208899,0.162251,0.937811,-0.174963,0.258355,0.199906,0.918443,-0.188395,0.220627,0.214391,0.887380,,,,,,,,,,,,,-0.184055,0.272548,0.142102,,,,-0.207501,0.209048,0.162097,-0.175282,0.258271,0.199934,-0.188068,0.220551,0.214712
99,1.650000,-0.145119,-0.026472,0.946424,0.287264,-0.058572,0.181687,0.148925,0.000237,-0.194057,0.234096,0.179504,0.000000,-0.184962,0.271646,0.138458,0.944965,-0.058575,0.181686,0.148923,0.000000,-0.208255,0.208086,0.158539,0.940998,-0.176498,0.257893,0.196284,0.915238,-0.190029,0.220231,0.210850,0.886743,,,,,,,,,,,,,-0.184829,0.271666,0.138283,,,,-0.208379,0.208228,0.158398,-0.176821,0.257791,0.196281,-0.189713,0.220171,0.211170
100,1.666667,-0.156227,-0.025955,0.947576,0.277524,-0.057717,0.183050,0.148671,0.000233,-0.194749,0.233252,0.175875,0.000000,-0.185480,0.270550,0.134637,0.944965,-0.057720,0.183049,0.148668,0.000000,-0.208026,0.206775,0.154892,0.940998,-0.177984,0.257537,0.192768,0.915238,-0.191127,0.219780,0.207441,0.886743,,,,,,,,,,,,,-0.185433,0.270731,0.134497,,,,,,,-0.178099,0.257309,0.192695,-0.191059,0.219827,0.207654
101,1.683333,-0.160298,-0.022130,0.945384,0.282957,-0.059595,0.180530,0.146011,0.000235,-0.196124,0.232704,0.172000,0.000000,-0.186129,0.269559,0.130535,0.951777,-0.059597,0.180529,0.146008,0.000000,-0.209618,0.206239,0.151141,0.940022,-0.179147,0.256901,0.188808,0.917865,-0.192865,0.219431,0.203690,0.891662,,,,,,,,,,,,,-0.186004,0.269573,0.130388,,,,-0.209747,0.206341,0.150966,-0.179449,0.256772,0.188823,-0.192559,0.219443,0.203996
102,1.700000,-0.167047,-0.020379,0.944772,0.281222,-0.060072,0.179943,0.144418,0.000233,-0.197010,0.232026,0.168361,0.000000,-0.186590,0.268583,0.126737,0.951777,-0.060074,0.179943,0.144415,0.000000,-0.210198,0.205373,0.147545,0.940022,-0.180285,0.256386,0.185186,0.917865,-0.194106,0.219002,0.200189,0.891662,,,,,,,,,,,,,-0.186465,0.268610,0.126581,,,,-0.210306,0.205496,0.147389,-0.180582,0.256269,0.185158,-0.193826,0.218970,0.200528
103,1.716667,-0.173981,-0.017391,0.944224,0.279050,-0.060420,0.179326,0.142960,0.000242,-0.197756,0.231298,0.164766,0.000000,-0.186940,0.267454,0.122894,0.950830,-0.060423,0.179325,0.142957,0.000000,-0.210634,0.204400,0.144072,0.939456,-0.181290,0.255872,0.181534,0.919475,-0.195193,0.218608,0.196758,0.888719,,,,,,,,,,,,,-0.186811,0.267481,0.122748,,,,-0.210762,0.204485,0.143884,-0.181585,0.255743,0.181534,-0.194900,0.218626,0.197092
104,1.733333,-0.186131,-0.015887,0.944703,0.269517,-0.059695,0.180371,0.143028,0.000249,-0.198358,0.230210,0.161101,0.000000,-0.187230,0.266013,0.119008,0.950830,-0.059698,0.180370,0.143025,0.000000,-0.210305,0.202830,0.140482,0.939456,-0.182695,0.255280,0.177905,0.919475,-0.196294,0.217976,0.193306,0.888719,,,,,,,,,,,,,-0.187171,0.266207,0.118850,,,,,,,-0.182813,0.255036,0.177823,-0.196235,0.218027,0.193546
105,1.750000,-0.190265,-0.013659,0.942731,0.273625,-0.061223,0.178143,0.140753,0.000241,-0.199517,0.229422,0.157583,0.000000,-0.187736,0.264908,0.115399,0.954998,-0.061225,0.178142,0.140751,0.000000,-0.211583,0.202059,0.137009,0.941724,-0.183730,0.254419,0.174379,0.924194,-0.197804,0.217326,0.189860,0.893129,,,,,,,,,,,,,-0.187624,0.264937,0.115261,,,,-0.211686,0.202135,0.136815,-0.183993,0.254269,0.174371,-0.197550,0.217371,0.190201
106,1.766667,-0.199619,-0.012731,0.942902,0.266321,-0.060770,0.178854,0.140636,0.001169,-0.199998,0.228442,0.154582,0.000000,-0.187956,0.263678,0.112263,0.943409,-0.060772,0.178853,0.140633,0.000000,-0.211345,0.200725,0.134073,0.030546,-0.184835,0.253807,0.171403,0.922160,-0.198686,0.216678,0.187001,0.939945,,,,,,,,,,,,,-0.187903,0.263849,0.112124,,,,-0.210085,0.203242,0.131405,-0.184962,0.253527,0.171351,-0.198625,0.216762,0.187218
107,1.783333,-0.203393,-0.011996,0.942156,0.266140,-0.061266,0.177953,0.139064,0.001175,-0.200566,0.227649,0.151861,0.000000,-0.188211,0.262734,0.109506,0.943409,-0.061268,0.177952,0.139062,0.000000,-0.211781,0.199867,0.131368,0.030546,-0.185510,0.253065,0.168700,0.922160,-0.199487,0.215997,0.184329,0.939945,,,,,,,,,,,,,-0.188160,0.262895,0.109374,,,,-0.210398,0.202421,0.128696,-0.185626,0.252812,0.168647,-0.199436,0.216064,0.184540
108,1.800000,-0.207848,-0.010718,0.941499,0.265073,-0.061622,0.177262,0.137675,0.001189,-0.201071,0.226877,0.149098,0.000000,-0.188413,0.261754,0.106661,0.942372,-0.061625,0.177261,0.137672,0.000000,-0.212093,0.198977,0.128660,0.000001,-0.186176,0.252396,0.165924,0.928953,-0.200240,0.215395,0.181633,0.942354,,,,,,,,,,,,,-0.188361,0.261919,0.106509,,,,-0.210654,0.201483,0.125892,-0.186291,0.252139,0.165888,-0.200191,0.215462,0.181848
109,1.816667,-0.213411,-0.008045,0.940238,0.265225,-0.062206,0.176107,0.136333,0.001154,-0.201647,0.226109,0.146027,0.000000,-0.188506,0.260623,0.103440,0.942372,-0.062209,0.176105,0.136331,0.000000,-0.212536,0.198073,0.125706,0.000001,-0.186858,0.251729,0.162794,0.928953,-0.201153,0.214883,0.178658,0.942354,,,,,,,,,,,,,-0.188448,0.260792,0.103300,,,,-0.211179,0.200552,0.123011,-0.186964,0.251500,0.162721,-0.201118,0.214918,0.178898
110,1.833333,-0.219157,-0.004843,0.938869,0.265465,-0.062757,0.174968,0.134909,0.000217,-0.202150,0.225417,0.142803,0.000000,-0.188505,0.259514,0.100039,0.943785,-0.062759,0.174967,0.134906,0.000000,-0.212917,0.197228,0.122628,0.000000,-0.187455,0.251147,0.159483,0.933872,-0.202002,0.214482,0.175536,0.942900,,,,,,,,,,,,,-0.188443,0.259682,0.099903,,,,,,,-0.187560,0.250918,0.159402,-0.201959,0.214543,0.175752
111,1.850000,-0.225237,-0.000725,0.937380,0.265683,-0.063177,0.173866,0.133471,0.001170,-0.202483,0.224817,0.139438,0.000000,-0.188311,0.258406,0.096444,0.943785,-0.063179,0.173865,0.133468,0.000000,-0.213138,0.196443,0.119464,0.000000,-0.187873,0.250683,0.155982,0.933872,-0.202692,0.214238,0.172287,0.942900,,,,,,,,,,,,,-0.188249,0.258570,0.096320,,,,-0.211698,0.198901,0.116772,-0.187995,0.250419,0.155908,-0.202647,0.214313,0.172513
112,1.866667,-0.231690,0.004033,0.935396,0.267093,-0.063689,0.172378,0.132069,0.000269,-0.202746,0.224201,0.135978,0.000000,-0.187928,0.257200,0.092745,0.935140,-0.063692,0.172377,0.132066,0.000000,-0.213360,0.195657,0.116226,0.000000,-0.188157,0.250174,0.152371,0.931135,-0.203361,0.214010,0.168945,0.940794,,,,,,,,,,,,,-0.187859,0.257376,0.092567,,,,,,,-0.188269,0.249926,0.152328,-0.203318,0.214083,0.169166
113,1.883333,-0.237503,0.009066,0.933691,0.267826,-0.064187,0.171070,0.130656,0.001202,-0.203032,0.223564,0.132680,0.000000,-0.187675,0.255966,0.089185,0.935140,-0.064189,0.171069,0.130653,0.000000,-0.213601,0.194829,0.113183,0.000000,-0.188471,0.249669,0.148888,0.931135,-0.203989,0.213779,0.165762,0.940794,-0.011852,0.322847,0.199973,,,,,,,,,,-0.187609,0.256131,0.089021,,,,-0.212101,0.197299,0.110504,-0.188597,0.249394,0.148855,-0.203945,0.213865,0.165985
114,1.900000,-0.244095,0.011775,0.932384,0.266343,-0.064370,0.170401,0.129589,0.001219,-0.203275,0.222779,0.129535,0.000000,-0.187448,0.254788,0.085918,0.928425,-0.064373,0.170399,0.129586,0.000000,-0.213594,0.193853,0.110186,0.025395,-0.188922,0.249047,0.145664,0.913313,-0.204602,0.213301,0.162693,0.928273,-0.011895,0.322843,0.199680,,,,,,,,,,-0.187366,0.254983,0.085725,,,,-0.212147,0.196294,0.107513,-0.189064,0.248735,0.145617,-0.204556,0.213395,0.162961
115,1.916667,-0.248108,0.014670,0.930835,0.267907,-0.065088,0.168918,0.128021,0.001200,-0.203720,0.221994,0.126673,0.000000,-0.187439,0.253625,0.082948,0.928425,-0.065090,0.168917,0.128018,0.000000,-0.214057,0.192989,0.107452,0.025395,-0.189343,0.248299,0.142720,0.913313,-0.205318,0.212750,0.159886,0.928273,-0.011974,0.322929,0.199297,,,,,,,,,,-0.187359,0.253807,0.082755,,,,-0.212513,0.195352,0.104804,-0.189476,0.248010,0.142684,-0.205280,0.212833,0.160141
116,1.933333,-0.249609,0.017202,0.930057,0.269060,-0.065485,0.167769,0.126100,0.001197,-0.203913,0.221360,0.124229,0.000000,-0.187431,0.252711,0.080378,0.929779,-0.065487,0.167768,0.126097,0.000000,-0.214324,0.192299,0.105133,0.035466,-0.189466,0.247691,0.140172,0.921770,-0.205607,0.212287,0.157484,0.928732,-0.011936,0.323115,0.198890,,,,,,,,,,-0.187347,0.252899,0.080187,,,,-0.212852,0.194707,0.102503,-0.189595,0.247412,0.140114,-0.205577,0.212354,0.157760
117,1.950000,-0.253522,0.020021,0.929027,0.268765,-0.065759,0.166756,0.124546,0.000294,-0.204103,0.220504,0.121404,0.000000,-0.187306,0.251504,0.077422,0.929779,-0.065761,0.166755,0.124543,0.000000,-0.214431,0.191313,0.102463,0.035466,-0.189721,0.246936,0.137239,0.921770,-0.206017,0.211685,0.154715,0.928732,-0.011838,0.323281,0.198600,,,,,,,,,,-0.187221,0.251686,0.077229,,,,,,,-0.189850,0.246655,0.137198,-0.205972,0.211784,0.154949
118,1.966667,-0.256453,0.022993,0.927727,0.270233,-0.066206,0.165422,0.122691,0.000288,-0.204273,0.219813,0.118572,0.000000,-0.187126,0.250449,0.074469,0.925990,-0.066208,0.165421,0.122688,0.000000,-0.214656,0.190551,0.099770,0.000000,-0.189836,0.246277,0.134302,0.923655,-0.206381,0.211217,0.151929,0.929643,-0.011839,0.323478,0.198131,,,,,,,,,,-0.187033,0.250643,0.074266,,,,,,,-0.189962,0.246006,0.134236,-0.206349,0.211293,0.152198
119,1.983333,-0.259704,0.026712,0.926498,0.271001,-0.066467,0.164252,0.120824,0.000323,-0.204303,0.219135,0.115604,0.000000,-0.186832,0.249336,0.071330,0.925990,-0.066470,0.164251,0.120822,0.000000,-0.214711,0.189757,0.096998,0.000000,-0.189837,0.245673,0.131182,0.923655,-0.206600,0.210825,0.149022,0.929643,-0.011730,0.323676,0.197818,,,,,,,,,,-0.186736,0.249530,0.071111,,,,,,,-0.189977,0.245375,0.131145,-0.206556,0.210930,0.149278
120,2.000000,-0.263425,0.030829,0.924941,0.272290,-0.066953,0.162944,0.118904,0.001227,-0.204470,0.218486,0.112420,0.000000,-0.186599,0.248194,0.067973,0.926552,-0.066955,0.162943,0.118901,0.000000,-0.214928,0.188994,0.094023,0.032274,-0.189953,0.245090,0.127838,0.912942,-0.206995,0.210491,0.145898,0.927901,,,,,,,,,,,,,-0.186505,0.248379,0.067765,,,,-0.213393,0.191384,0.091392,-0.190102,0.244777,0.127806,-0.206955,0.210595,0.146164
121,2.016667,-0.265528,0.035776,0.922831,0.276763,-0.067856,0.160927,0.116337,0.000193,-0.204685,0.218045,0.109045,0.000000,-0.186348,0.247178,0.064407,0.940304,-0.067858,0.160925,0.116334,0.000000,-0.215447,0.188532,0.090858,0.000000,-0.189891,0.244598,0.124286,0.929400,-0.207390,0.210352,0.142580,0.921376,,,,,,,,,,,,,-0.186253,0.247363,0.064289,,,,,,,-0.189975,0.244414,0.124089,-0.207402,0.210352,0.142894
122,2.033333,-0.267385,0.040427,0.921533,0.278655,-0.068324,0.159762,0.113965,0.001157,-0.204763,0.217709,0.105943,0.000000,-0.186162,0.246332,0.061085,0.940304,-0.068326,0.159761,0.113962,0.000000,-0.215688,0.188110,0.087995,0.000000,-0.189821,0.244296,0.120978,0.929400,-0.207574,0.210326,0.139539,0.921376,,,,,,,,,,,,,-0.186079,0.246494,0.060967,,,,-0.213678,0.190307,0.085382,-0.189919,0.244092,0.120834,-0.207579,0.210346,0.139825
123,2.050000,-0.270346,0.045570,0.919854,0.280542,-0.068708,0.158651,0.111752,0.000209,-0.204712,0.217453,0.102635,0.000000,-0.185751,0.245484,0.057554,0.935156,-0.068710,0.158649,0.111749,0.000000,-0.215777,0.187747,0.084951,0.000000,-0.189640,0.244089,0.117451,0.927977,-0.207694,0.210435,0.136294,0.928505,,,,,,,,,,,,,-0.185652,0.245663,0.057395,,,,,,,-0.189753,0.243853,0.117331,-0.207680,0.210492,0.136573
124,2.066667,-0.273385,0.054489,0.920146,0.274998,-0.067777,0.159443,0.109786,0.000472,-0.204121,0.217247,0.099450,0.000000,-0.185324,0.244432,0.053786,0.935156,-0.067779,0.159441,0.109783,0.000000,-0.215013,0.187112,0.082398,0.000000,-0.189204,0.244278,0.113699,0.927977,-0.207062,0.210923,0.133250,0.928505,,,,,,,,,,,,,-0.185170,0.244717,0.053595,,,,,,,-0.189542,0.243589,0.113616,-0.206878,0.211328,0.133523
125,2.083333,-0.275222,0.060842,0.918234,0.278205,-0.068030,0.158064,0.107099,0.000478,-0.203763,0.217140,0.095937,0.000000,-0.184633,0.243620,0.049998,0.905950,-0.068032,0.158063,0.107097,0.000000,-0.214942,0.186929,0.079207,0.000000,-0.188587,0.244174,0.109904,0.803816,-0.206810,0.211224,0.129801,0.867555,,,,,,,,,,,,,-0.184475,0.243902,0.049806,,,,,,,-0.188938,0.243476,0.109831,-0.206617,0.211640,0.130067
126,2.100000,-0.277635,0.067666,0.915968,0.281680,-0.068298,0.156504,0.104473,0.000490,-0.203340,0.216940,0.092268,0.000000,-0.183814,0.242641,0.046054,0.905950,-0.068301,0.156502,0.104471,0.000000,-0.214818,0.186652,0.075882,0.000000,-0.187896,0.243973,0.105939,0.803816,-0.206529,0.211474,0.126195,0.867555,,,,,,,,,,,,,-0.183655,0.242912,0.045831,,,,,,,-0.188238,0.243315,0.105896,-0.206347,0.211861,0.126461
127,2.116667,-0.281891,0.074767,0.914276,0.281151,-0.067949,0.155925,0.102251,0.000534,-0.202727,0.216607,0.088451,0.000000,-0.182900,0.241504,0.041926,0.900441,-0.067951,0.155924,0.102248,0.000000,-0.214231,0.186100,0.072496,0.000000,-0.187255,0.243803,0.101763,0.792003,-0.206091,0.211692,0.122445,0.861809,,,,,,,,,,,,,-0.182731,0.241783,0.041698,,,,,,,-0.187641,0.243066,0.101744,-0.205879,0.212139,0.122691
128,2.133333,-0.286899,0.081815,0.912590,0.279597,-0.067696,0.155561,0.100257,0.000633,-0.202306,0.216174,0.084640,0.000000,-0.182171,0.240259,0.037821,0.900441,-0.067698,0.155559,0.100254,0.000000,-0.213758,0.185417,0.069133,0.000000,-0.186876,0.243571,0.097584,0.792003,-0.205878,0.211837,0.118692,0.861809,,,,,,,,,,,,,-0.181994,0.240537,0.037542,,,,,,,-0.187308,0.242765,0.097655,-0.205644,0.212325,0.118903
129,2.150000,-0.296658,0.088429,0.909516,0.277407,-0.068224,0.155174,0.099091,0.000673,-0.202572,0.215444,0.080221,0.000000,-0.181711,0.238625,0.033264,0.885021,-0.068226,0.155172,0.099088,0.000000,-0.213784,0.184391,0.065134,0.000000,-0.187342,0.243088,0.092872,0.770279,-0.206672,0.211763,0.114290,0.855026,,,,,,,,,,,,,-0.181524,0.238899,0.032945,,,,,,,-0.187778,0.242287,0.092983,-0.206444,0.212251,0.114504
130,2.166667,-0.296515,0.094014,0.908852,0.277898,-0.068505,0.154992,0.096643,0.000831,-0.202630,0.215692,0.077561,0.000000,-0.181799,0.238311,0.030317,0.885021,-0.068508,0.154991,0.096640,0.000000,-0.214027,0.184544,0.062814,0.000000,-0.187237,0.243390,0.089893,0.770279,-0.206648,0.212368,0.111676,0.855026,,,,,,,,,,,,,-0.181603,0.238586,0.029954,,,,,,,-0.187783,0.242428,0.090157,-0.206373,0.212921,0.111812
131,2.183333,-0.295344,0.098198,0.907582,0.281825,-0.068846,0.154250,0.094201,0.000865,-0.202380,0.216269,0.075216,0.000000,-0.181453,0.238437,0.027802,0.870181,-0.068849,0.154249,0.094198,0.000000,-0.214149,0.185171,0.060656,0.000000,-0.186659,0.243862,0.087368,0.715245,-0.206331,0.213152,0.109359,0.843264,,,,,,,,,,,,,-0.181252,0.238706,0.027405,,,,,,,-0.187215,0.242914,0.087669,-0.206054,0.213698,0.109497
132,2.200000,-0.292282,0.105174,0.906166,0.287006,-0.068942,0.153042,0.091140,0.000548,-0.201679,0.216895,0.072659,0.000000,-0.180790,0.238363,0.024907,0.870181,-0.068944,0.153041,0.091138,0.000000,-0.214022,0.185860,0.058444,0.000000,-0.185456,0.244347,0.084465,0.715245,-0.205413,0.214115,0.106855,0.843264,,,,,,,,,,,,,-0.180617,0.238606,0.024633,,,,,,,-0.185838,0.243680,0.084522,-0.205204,0.214540,0.107072
133,2.216667,-0.292008,0.111645,0.903851,0.292095,-0.069078,0.151632,0.088403,0.000463,-0.200917,0.217220,0.069570,0.000000,-0.179810,0.237951,0.021589,0.908182,-0.069081,0.151631,0.088400,0.000000,-0.213732,0.186238,0.055659,0.000000,-0.184279,0.244542,0.081098,0.838833,-0.204627,0.214804,0.103797,0.889657,,,,,,,,,,,,,-0.179650,0.238166,0.021337,,,,,,,-0.184604,0.243986,0.081123,-0.204462,0.215145,0.104023
134,2.233333,-0.292785,0.120787,0.902030,0.293308,-0.068151,0.151087,0.085767,0.000469,-0.199485,0.217462,0.066176,0.000000,-0.178332,0.237212,0.017802,0.908182,-0.068154,0.151085,0.085764,0.000000,-0.212596,0.186362,0.052817,0.000000,-0.182587,0.244831,0.077204,0.838833,-0.203123,0.215648,0.100448,0.889657,,,,,,,,,,,,,-0.178166,0.237431,0.017551,,,,,,,-0.182932,0.244249,0.077231,-0.202944,0.216010,0.100672
135,2.250000,-0.294632,0.131991,0.898726,0.296754,-0.067374,0.149948,0.082993,0.000466,-0.197760,0.217785,0.062117,0.000000,-0.176357,0.236256,0.013349,0.905528,-0.067377,0.149947,0.082990,0.000000,-0.211322,0.186613,0.049388,0.000000,-0.180467,0.245126,0.072587,0.828909,-0.201403,0.216711,0.096419,0.882848,,,,,,,,,,,,,-0.176185,0.236475,0.013094,,,,,,,-0.180823,0.244542,0.072613,-0.201219,0.217077,0.096648
136,2.266667,-0.298142,0.143511,0.894834,0.299647,-0.066691,0.148890,0.080362,0.000426,-0.196106,0.217981,0.057643,0.000000,-0.174342,0.235081,0.008536,0.909155,-0.066694,0.148888,0.080359,0.000000,-0.210054,0.186719,0.045570,0.000000,-0.178473,0.245314,0.067553,0.837115,-0.199845,0.217716,0.091950,0.887534,,,,,,,,,,,,,-0.174169,0.235291,0.008295,,,,,,,-0.178816,0.244760,0.067559,-0.199674,0.218059,0.092185
137,2.283333,-0.302244,0.155502,0.889570,0.305176,-0.066482,0.147360,0.077930,0.000437,-0.194448,0.218373,0.053032,0.000000,-0.172133,0.233964,0.003672,0.909155,-0.066485,0.147359,0.077927,0.000000,-0.208933,0.187121,0.041582,0.000000,-0.176343,0.245579,0.062426,0.837115,-0.198351,0.218939,0.087318,0.887534,,,,,,,,,,,,,-0.171958,0.234152,0.003397,,,,,,,-0.176671,0.245077,0.062459,-0.198198,0.219253,0.087560
138,2.300000,-0.305057,0.167576,0.884928,0.309453,-0.065870,0.146311,0.075616,0.000444,-0.192579,0.218902,0.048909,0.000000,-0.169926,0.233022,-0.000739,0.901477,-0.065873,0.146309,0.075614,0.000000,-0.207572,0.187654,0.038122,0.000000,-0.174033,0.246000,0.057736,0.833781,-0.196527,0.220291,0.083166,0.883014,,,,,,,,,,,,,-0.169731,0.233227,-0.001014,,,,,,,-0.174401,0.245447,0.057752,-0.196353,0.220639,0.083426
139,2.316667,-0.308716,0.179256,0.879478,0.314769,-0.065829,0.144987,0.073739,0.000373,-0.191044,0.219334,0.044903,0.000000,-0.167924,0.231956,-0.004934,0.901477,-0.065831,0.144985,0.073737,0.000000,-0.206574,0.188145,0.034721,0.000000,-0.172030,0.246266,0.053230,0.833781,-0.195107,0.221534,0.079104,0.883014,,,,,,,,,,,,,-0.167751,0.232115,-0.005203,,,,,,,-0.172315,0.245852,0.053237,-0.194996,0.221790,0.079366
140,2.333333,-0.313386,0.189026,0.874784,0.317510,-0.065749,0.144287,0.072261,0.000349,-0.189878,0.219544,0.041178,0.000000,-0.166317,0.230879,-0.008761,0.912369,-0.065752,0.144285,0.072258,0.000000,-0.205728,0.188346,0.031531,0.000000,-0.170587,0.246407,0.049078,0.868219,-0.194114,0.222482,0.075303,0.900513,,,,,,,,,,,,,-0.166136,0.231045,-0.009011,,,,,,,-0.170884,0.245972,0.049059,-0.193997,0.222750,0.075572
141,2.350000,-0.316659,0.198664,0.870531,0.320055,-0.065493,0.143806,0.070876,0.000371,-0.188614,0.219935,0.037959,0.000000,-0.164762,0.230039,-0.012107,0.912369,-0.065496,0.143804,0.070873,0.000000,-0.204806,0.188751,0.028851,0.000000,-0.169026,0.246711,0.045413,0.868219,-0.192920,0.223570,0.072007,0.900513,,,,,,,,,,,,,-0.164579,0.230194,-0.012366,,,,,,,-0.169342,0.246272,0.045427,-0.192787,0.223854,0.072253
142,2.366667,-0.317775,0.208127,0.866392,0.324142,-0.065387,0.143089,0.069299,0.000395,-0.187328,0.220550,0.035118,0.000000,-0.163323,0.229472,-0.015099,0.910378,-0.065390,0.143087,0.069296,0.000000,-0.203996,0.189473,0.026514,0.000000,-0.167332,0.247140,0.042142,0.879761,-0.191578,0.224803,0.069102,0.909239,,,,,,,,,,,,,-0.163150,0.229592,-0.015389,,,,,,,-0.167625,0.246764,0.042204,-0.191458,0.225059,0.069329
143,2.383333,-0.318281,0.217284,0.862852,0.327064,-0.065071,0.142813,0.067740,0.000403,-0.186055,0.221300,0.032520,0.000000,-0.162023,0.229115,-0.017867,0.910378,-0.065073,0.142811,0.067738,0.000000,-0.203139,0.190310,0.024433,0.000000,-0.165705,0.247736,0.039092,0.879761,-0.190192,0.226144,0.066439,0.909239,,,,,,,,,,,,,-0.161839,0.229238,-0.018168,,,,,,,-0.166016,0.247343,0.039152,-0.190065,0.226414,0.066680
144,2.400000,-0.318097,0.225128,0.857958,0.334724,-0.065861,0.141475,0.065974,0.000307,-0.185099,0.222163,0.029785,0.906541,-0.160860,0.228922,-0.020656,0.925591,-0.065863,0.141473,0.065972,0.000000,-0.202838,0.191463,0.022010,0.000000,-0.164191,0.248224,0.036098,0.917750,-0.189161,0.227457,0.063646,0.876073,,,,,,,,,,-0.185331,0.222056,0.029513,-0.160643,0.228986,-0.020850,,,,,,,-0.164431,0.248031,0.036213,-0.188904,0.227693,0.063998
145,2.416667,-0.319253,0.233279,0.854293,0.337405,-0.065503,0.141518,0.064666,0.000380,-0.183788,0.223057,0.027276,0.906541,-0.159472,0.228789,-0.023255,0.925591,-0.065506,0.141516,0.064663,0.000000,-0.201886,0.192456,0.019951,0.000000,-0.162576,0.248961,0.033208,0.917750,-0.187787,0.228895,0.061055,0.876073,,,,,,,,,,-0.184089,0.222855,0.026962,-0.159301,0.228784,-0.023471,,,,,,,-0.162672,0.248992,0.033435,-0.187563,0.229072,0.061359
