Format Version,1.23,Take Name,danielle_circum_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.16.643 PM,Total Frames in Take,480,Total Exported Frames,480,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-0.264661,0.003147,-0.859876,-0.436529,0.004990,0.187682,0.187441,0.000365,-0.043395,0.251845,0.312260,0.826795,-0.050248,0.298541,0.281438,0.901872,0.004986,0.187682,0.187441,0.000000,-0.076267,0.237722,0.306132,0.792091,-0.011919,0.264693,0.312900,0.855321,-0.025406,0.227702,0.329130,0.901406,,,,,,,,,,-0.043297,0.251129,0.312121,-0.050455,0.298275,0.281272,,,,-0.076284,0.238556,0.306161,-0.011997,0.265179,0.313247,-0.025203,0.227377,0.329058
7,0.116667,-0.264008,0.004974,-0.859766,-0.437125,0.005032,0.187706,0.187449,0.000365,-0.043551,0.251689,0.312284,0.815527,-0.050225,0.298469,0.281549,0.905395,0.005028,0.187707,0.187449,0.000000,-0.076436,0.237649,0.306037,0.793881,-0.012050,0.264470,0.313037,0.846286,-0.025658,0.227470,0.329146,0.900569,,,,,,,,,,-0.043439,0.250971,0.312159,-0.050435,0.298206,0.281376,,,,-0.076475,0.238472,0.306061,-0.012112,0.264975,0.313382,-0.025459,0.227133,0.329075
8,0.133333,-0.263606,0.005524,-0.859593,-0.437700,0.004999,0.187696,0.187465,0.000361,-0.043626,0.251713,0.312266,0.815527,-0.050200,0.298511,0.281538,0.905395,0.004995,0.187697,0.187465,0.000000,-0.076525,0.237722,0.305979,0.793881,-0.012108,0.264448,0.313057,0.846286,-0.025786,0.227464,0.329141,0.900569,,,,,,,,,,-0.043504,0.250994,0.312144,-0.050412,0.298242,0.281366,,,,-0.076588,0.238551,0.305994,-0.012164,0.264953,0.313405,-0.025577,0.227128,0.329071
9,0.150000,-0.263320,0.005609,-0.859233,-0.438577,0.004920,0.187723,0.187458,0.000365,-0.043630,0.251901,0.312206,0.814209,-0.050106,0.298694,0.281449,0.905690,0.004916,0.187724,0.187458,0.000000,-0.076553,0.237967,0.305915,0.792867,-0.012089,0.264578,0.313001,0.845905,-0.025841,0.227627,0.329101,0.901009,,,,,,,,,,-0.043518,0.251178,0.312073,-0.050313,0.298425,0.281285,,,,-0.076599,0.238794,0.305936,-0.012148,0.265088,0.313341,-0.025641,0.227292,0.329037
10,0.166667,-0.263514,0.004810,-0.858919,-0.439084,0.004852,0.187721,0.187355,0.000356,-0.043502,0.252116,0.312067,0.814209,-0.049981,0.298869,0.281249,0.905690,0.004848,0.187721,0.187355,0.000000,-0.076442,0.238197,0.305836,0.792867,-0.011951,0.264771,0.312805,0.845905,-0.025710,0.227855,0.328976,0.901009,,,,,,,,,,-0.043400,0.251420,0.311941,-0.050207,0.298602,0.281090,,,,-0.076478,0.239029,0.305834,-0.012005,0.265231,0.313142,-0.025495,0.227537,0.328925
11,0.183333,-0.262780,0.005563,-0.858476,-0.440381,0.004841,0.187806,0.187319,0.000356,-0.043527,0.252352,0.311948,0.824079,-0.049812,0.299123,0.281118,0.904309,0.004837,0.187807,0.187319,0.000000,-0.076498,0.238533,0.305662,0.795768,-0.011939,0.264912,0.312739,0.857988,-0.025837,0.228037,0.328887,0.899773,,,,,,,,,,-0.043423,0.251667,0.311821,-0.050054,0.298886,0.280939,,,,-0.076514,0.239349,0.305668,-0.011992,0.265363,0.313079,-0.025629,0.227697,0.328847
12,0.200000,-0.261945,0.005715,-0.857850,-0.442093,0.004765,0.187726,0.187359,0.000348,-0.043523,0.252615,0.311841,0.824079,-0.049604,0.299366,0.280939,0.904309,0.004761,0.187727,0.187360,0.000000,-0.076536,0.238905,0.305534,0.795768,-0.011891,0.265062,0.312653,0.857988,-0.025941,0.228260,0.328835,0.899773,,,,,,,,,,-0.043426,0.251921,0.311712,-0.049836,0.299121,0.280766,,,,-0.076532,0.239714,0.305551,-0.011955,0.265503,0.313004,-0.025746,0.227953,0.328769
13,0.216667,-0.257642,0.007138,-0.861887,-0.436715,0.006876,0.188426,0.187593,0.000242,-0.043530,0.252547,0.311632,0.907069,-0.049838,0.299267,0.280729,0.955865,0.006872,0.188426,0.187594,0.000000,-0.076306,0.238452,0.304949,0.941364,-0.012061,0.265372,0.312803,0.892115,-0.025842,0.228380,0.328783,0.950660,,,,,,,,,,-0.043473,0.252181,0.311601,-0.049768,0.299346,0.280587,,,,-0.076493,0.238514,0.305077,-0.011988,0.265784,0.312909,-0.025854,0.228193,0.328722
14,0.233333,-0.256840,0.007361,-0.861820,-0.437316,0.006897,0.188527,0.187595,0.000251,-0.043621,0.252787,0.311516,0.907069,-0.049824,0.299496,0.280574,0.955865,0.006893,0.188528,0.187595,0.000000,-0.076404,0.238728,0.304792,0.941364,-0.012138,0.265575,0.312727,0.892115,-0.025988,0.228610,0.328709,0.950660,,,,,,,,,,-0.043567,0.252443,0.311510,-0.049768,0.299601,0.280428,,,,-0.076589,0.238772,0.304897,-0.012047,0.265962,0.312809,-0.026003,0.228418,0.328673
15,0.250000,-0.259107,0.005100,-0.858030,-0.443421,0.004824,0.187909,0.187456,0.000362,-0.043892,0.253415,0.311446,0.814260,-0.049751,0.300045,0.280319,0.908162,0.004820,0.187909,0.187456,0.000000,-0.076902,0.239739,0.305052,0.794016,-0.012241,0.265809,0.312344,0.852082,-0.026430,0.229102,0.328621,0.904246,,,,,,,,,,-0.043787,0.252693,0.311308,-0.049964,0.299796,0.280152,,,,-0.076911,0.240563,0.305073,-0.012322,0.266289,0.312680,-0.026233,0.228778,0.328568
16,0.266667,-0.254193,0.005529,-0.863105,-0.436355,0.006942,0.188654,0.187684,0.000250,-0.044263,0.253345,0.311098,0.912980,-0.050525,0.299875,0.279900,0.952156,0.006938,0.188655,0.187684,0.000000,-0.076969,0.239131,0.304325,0.937948,-0.012832,0.266255,0.312359,0.897894,-0.026605,0.229319,0.328475,0.954843,,,,,,,,,,-0.044204,0.253003,0.311074,-0.050451,0.299974,0.279754,,,,-0.077183,0.239160,0.304448,-0.012749,0.266640,0.312467,-0.026605,0.229149,0.328415
