Format Version,1.23,Take Name,danielle_nziz_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.03.460 PM,Total Frames in Take,395,Total Exported Frames,395,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
95,1.583333,-0.225442,-0.024907,-0.804919,-0.548326,0.008659,0.209523,0.179896,0.000179,-0.023720,0.299855,0.293164,0.905817,-0.020002,0.342060,0.255982,0.949447,0.008655,0.209525,0.179896,0.000000,-0.058942,0.292686,0.288102,0.916627,0.009839,0.305329,0.292930,0.897781,-0.011563,0.274949,0.313730,0.920205,,,,,,,-0.023734,0.299495,0.293054,-0.019998,0.342079,0.255781,,,,-0.058879,0.292990,0.288223,0.009715,0.305677,0.293106,-0.011491,0.274639,0.313744
96,1.600000,-0.224274,-0.026985,-0.804783,-0.548906,0.008800,0.210480,0.179343,0.000185,-0.023522,0.301368,0.292182,0.905817,-0.019816,0.343390,0.254793,0.949447,0.008796,0.210481,0.179343,0.000000,-0.058746,0.294177,0.287170,0.916627,0.010037,0.306837,0.291906,0.897781,-0.011358,0.276562,0.312865,0.920205,,,,,,,-0.023532,0.301019,0.292079,-0.019829,0.343397,0.254601,,,,-0.058668,0.294495,0.287271,0.009905,0.307171,0.292077,-0.011281,0.276251,0.312888
97,1.616667,-0.222502,-0.029393,-0.804479,-0.549948,0.008929,0.211321,0.178841,0.000181,-0.023331,0.302945,0.291100,0.917835,-0.019586,0.344727,0.253447,0.952608,0.008925,0.211322,0.178841,0.000000,-0.058561,0.295752,0.286129,0.917027,0.010232,0.308385,0.290795,0.905068,-0.011191,0.278260,0.311941,0.920979,,,,,,,-0.023360,0.302640,0.290982,-0.019598,0.344736,0.253258,,,,-0.058454,0.296044,0.286244,0.010104,0.308698,0.290966,-0.011129,0.277951,0.311962
98,1.633333,-0.220729,-0.031970,-0.804238,-0.550870,0.009036,0.212156,0.178283,0.000160,-0.023174,0.304526,0.289944,0.917835,-0.019409,0.346060,0.252019,0.952608,0.009033,0.212157,0.178283,0.000000,-0.058408,0.297319,0.285021,0.917027,0.010392,0.309947,0.289601,0.905068,-0.011046,0.279971,0.310944,0.920979,,,,,,,-0.023186,0.304211,0.289811,-0.019416,0.346074,0.251847,,,,-0.058336,0.297596,0.285131,0.010268,0.310240,0.289770,-0.010975,0.279702,0.310970
99,1.650000,-0.219132,-0.034391,-0.803859,-0.551915,0.009031,0.213092,0.177629,0.000172,-0.023072,0.306176,0.288726,0.923345,-0.019276,0.347473,0.250547,0.950868,0.009027,0.213094,0.177629,0.000000,-0.058313,0.298971,0.283855,0.923285,0.010499,0.311564,0.288344,0.904060,-0.010962,0.281739,0.309875,0.920837,,,,,,,-0.023088,0.305883,0.288637,-0.019268,0.347481,0.250351,,,,-0.058233,0.299244,0.283969,0.010363,0.311885,0.288505,-0.010896,0.281430,0.309886
100,1.666667,-0.217069,-0.037047,-0.803508,-0.553068,0.009047,0.214012,0.177015,0.000172,-0.023002,0.307910,0.287441,0.923345,-0.019156,0.348932,0.248971,0.950868,0.009043,0.214013,0.177015,0.000000,-0.058249,0.300703,0.282609,0.923285,0.010574,0.313264,0.287031,0.904060,-0.010922,0.283612,0.308766,0.920837,,,,,,,-0.023041,0.307637,0.287348,-0.019163,0.348936,0.248785,,,,-0.058160,0.300978,0.282706,0.010452,0.313555,0.287193,-0.010843,0.283313,0.308787
101,1.683333,-0.214428,-0.039717,-0.803535,-0.553873,0.009253,0.214843,0.176286,0.000950,-0.022954,0.309570,0.285955,0.959404,-0.019059,0.350300,0.247182,0.965163,0.009250,0.214844,0.176286,0.391962,-0.058193,0.302324,0.281130,0.889416,0.010622,0.314923,0.285551,0.881419,-0.010901,0.285435,0.307480,0.941442,,,,,,,-0.023029,0.309426,0.285972,-0.019084,0.350419,0.247114,0.009859,0.213209,0.174591,-0.058161,0.302696,0.281366,0.010448,0.315295,0.285789,-0.010855,0.285239,0.307600
102,1.700000,-0.212625,-0.042175,-0.803138,-0.554961,0.009148,0.215902,0.175532,0.000957,-0.022975,0.311365,0.284586,0.959404,-0.019036,0.351841,0.245551,0.965163,0.009145,0.215903,0.175533,0.391962,-0.058221,0.304123,0.279804,0.889416,0.010607,0.316683,0.284150,0.881419,-0.010947,0.287358,0.306266,0.941442,,,,,,,-0.023039,0.311178,0.284593,-0.019064,0.351971,0.245477,0.009745,0.214200,0.173869,-0.058171,0.304512,0.280042,0.010428,0.317080,0.284394,-0.010912,0.287160,0.306370
103,1.716667,-0.212288,-0.044301,-0.803024,-0.555089,0.008950,0.217349,0.174645,0.000158,-0.023029,0.313213,0.283390,0.931723,-0.019187,0.353541,0.244192,0.954986,0.008946,0.217351,0.174645,0.000000,-0.058280,0.305932,0.278702,0.927924,0.010548,0.318549,0.282871,0.913077,-0.010947,0.289297,0.305140,0.926408,,,,,,,-0.023056,0.312963,0.283283,-0.019187,0.353544,0.244012,,,,-0.058185,0.306180,0.278815,0.010428,0.318837,0.283025,-0.010894,0.289008,0.305160
104,1.733333,-0.212139,-0.046976,-0.802744,-0.555331,0.008751,0.218661,0.173635,0.000153,-0.022964,0.315009,0.282028,0.931723,-0.019252,0.355158,0.242635,0.954986,0.008747,0.218662,0.173635,0.000000,-0.058224,0.307690,0.277474,0.927924,0.010609,0.320357,0.281390,0.913077,-0.010809,0.291198,0.303854,0.926408,,,,,,,-0.022977,0.314694,0.281917,-0.019247,0.355176,0.242455,,,,-0.058148,0.307961,0.277579,0.010453,0.320630,0.281560,-0.010721,0.290951,0.303870
105,1.750000,-0.212216,-0.049768,-0.802312,-0.555683,0.008531,0.220075,0.172443,0.000154,-0.022832,0.316915,0.280500,0.925971,-0.019258,0.356884,0.240911,0.952511,0.008527,0.220077,0.172443,0.000000,-0.058106,0.309572,0.276098,0.925445,0.010739,0.322265,0.279724,0.905694,-0.010600,0.293206,0.302394,0.925177,,,,,,,-0.022845,0.316642,0.280386,-0.019250,0.356881,0.240721,,,,-0.058035,0.309835,0.276219,0.010600,0.322568,0.279902,-0.010527,0.292916,0.302399
106,1.766667,-0.213236,-0.052918,-0.801725,-0.555849,0.008297,0.221564,0.171006,0.000147,-0.022517,0.318832,0.278837,0.920454,-0.019168,0.358640,0.239067,0.953175,0.008293,0.221566,0.171006,0.000000,-0.057812,0.311459,0.274654,0.926682,0.011047,0.324189,0.277859,0.910539,-0.010160,0.295215,0.300760,0.931684,,,,,,,-0.022529,0.318536,0.278720,-0.019171,0.358652,0.238880,,,,-0.057742,0.311719,0.274770,0.010932,0.324479,0.278033,-0.010099,0.294949,0.300773
107,1.783333,-0.211951,-0.056945,-0.801047,-0.556918,0.008181,0.222849,0.169664,0.000164,-0.022294,0.321039,0.276752,0.920454,-0.019025,0.360510,0.236641,0.953175,0.008178,0.222850,0.169664,0.000000,-0.057604,0.313654,0.272723,0.926682,0.011271,0.326366,0.275642,0.910539,-0.009894,0.297600,0.298841,0.931684,,,,,,,-0.022337,0.320796,0.276641,-0.019002,0.360491,0.236458,,,,-0.057514,0.313911,0.272845,0.011119,0.326676,0.275808,-0.009812,0.297295,0.298847
108,1.800000,-0.208139,-0.061622,-0.800675,-0.558391,0.008228,0.224006,0.168513,0.000164,-0.022308,0.323528,0.274346,0.927014,-0.018988,0.362497,0.233751,0.955530,0.008225,0.224008,0.168513,0.000000,-0.057617,0.316106,0.270377,0.927303,0.011260,0.328830,0.273201,0.910315,-0.009937,0.300361,0.296736,0.927518,,,,,,,-0.022342,0.323279,0.274198,-0.018967,0.362507,0.233575,,,,-0.057514,0.316346,0.270506,0.011093,0.329106,0.273358,-0.009861,0.300084,0.296774
109,1.816667,-0.206572,-0.066527,-0.799594,-0.559956,0.007788,0.225227,0.167196,0.000142,-0.022260,0.325888,0.272087,0.927014,-0.019015,0.364428,0.231079,0.955530,0.007784,0.225228,0.167196,0.000000,-0.057593,0.318478,0.268309,0.927303,0.011311,0.331127,0.270779,0.910315,-0.009851,0.302936,0.294677,0.927518,,,,,,,-0.022263,0.325608,0.271962,-0.019029,0.364438,0.230907,,,,-0.057511,0.318733,0.268409,0.011166,0.331366,0.270962,-0.009771,0.302713,0.294691
110,1.833333,-0.206559,-0.071022,-0.798442,-0.561053,0.007396,0.226590,0.165709,0.000151,-0.021973,0.328103,0.269970,0.921061,-0.018902,0.366318,0.228645,0.953017,0.007393,0.226591,0.165709,0.000000,-0.057334,0.320707,0.266438,0.918542,0.011597,0.333291,0.268442,0.897928,-0.009470,0.305313,0.292671,0.919500,,,,,,,-0.021982,0.327823,0.269825,-0.018916,0.366275,0.228463,,,,-0.057297,0.321013,0.266542,0.011468,0.333609,0.268663,-0.009356,0.305012,0.292673
111,1.850000,-0.207108,-0.074904,-0.797135,-0.562202,0.007044,0.227892,0.164061,0.000141,-0.021561,0.330107,0.267849,0.921061,-0.018655,0.368057,0.226269,0.953017,0.007041,0.227894,0.164061,0.000000,-0.056954,0.322751,0.264561,0.918542,0.012009,0.335225,0.266100,0.897928,-0.008970,0.307436,0.290621,0.919500,,,,,,,-0.021561,0.329818,0.267694,-0.018691,0.368030,0.226107,,,,-0.056914,0.323048,0.264646,0.011891,0.335487,0.266323,-0.008856,0.307194,0.290631
112,1.866667,-0.206917,-0.078912,-0.796230,-0.563006,0.007048,0.229102,0.162356,0.001031,-0.021033,0.332066,0.265545,0.913664,-0.018290,0.369719,0.223685,0.966755,0.007045,0.229104,0.162356,0.241155,-0.056445,0.324709,0.262467,0.906783,0.012532,0.337150,0.263610,0.896428,-0.008355,0.309549,0.288421,0.943876,,,,,,,-0.021037,0.331751,0.265403,-0.018337,0.369721,0.223561,0.008393,0.227582,0.160102,-0.056441,0.325050,0.262618,0.012388,0.337453,0.263854,-0.008279,0.309347,0.288484
113,1.883333,-0.205604,-0.083643,-0.794904,-0.564675,0.006953,0.230073,0.160908,0.001058,-0.020561,0.334110,0.263168,0.913664,-0.017891,0.371341,0.220928,0.966755,0.006950,0.230074,0.160908,0.241155,-0.055998,0.326794,0.260288,0.906783,0.013007,0.339108,0.261065,0.896428,-0.007846,0.311795,0.286222,0.943876,,,,,,,-0.020508,0.333647,0.263015,-0.017929,0.371358,0.220755,0.008584,0.228750,0.158345,-0.055971,0.327136,0.260391,0.012865,0.339416,0.261290,-0.007761,0.311606,0.286244
114,1.900000,-0.203078,-0.088472,-0.793761,-0.566459,0.007017,0.230926,0.159593,0.000135,-0.020153,0.336175,0.260698,0.883365,-0.017488,0.372916,0.218030,0.961371,0.007014,0.230928,0.159593,0.000000,-0.055607,0.328889,0.257959,0.917907,0.013420,0.341091,0.258485,0.909549,-0.007439,0.314104,0.283986,0.951074,,,,,,,-0.020110,0.335733,0.260557,-0.017521,0.372924,0.217880,,,,-0.055583,0.329207,0.258034,0.013304,0.341380,0.258668,-0.007357,0.313930,0.284020
115,1.916667,-0.201153,-0.092602,-0.792954,-0.567615,0.007204,0.231865,0.158166,0.000134,-0.019713,0.338075,0.258331,0.883365,-0.017097,0.374413,0.215316,0.961371,0.007201,0.231867,0.158166,0.000000,-0.055177,0.330789,0.255721,0.917907,0.013859,0.342945,0.256013,0.909549,-0.006975,0.316214,0.281801,0.951074,,,,,,,-0.019666,0.337643,0.258189,-0.017121,0.374419,0.215146,,,,-0.055154,0.331106,0.255813,0.013726,0.343242,0.256217,-0.006888,0.316025,0.281816
116,1.933333,-0.200058,-0.097333,-0.791774,-0.568856,0.007351,0.232659,0.156786,0.000133,-0.019052,0.339845,0.256043,0.889715,-0.016559,0.375771,0.212677,0.958296,0.007347,0.232661,0.156786,0.000000,-0.054534,0.332578,0.253640,0.916449,0.014517,0.344651,0.253549,0.900417,-0.006248,0.318191,0.279670,0.944308,,,,,,,-0.019006,0.339432,0.255893,-0.016579,0.375765,0.212512,,,,-0.054502,0.332898,0.253731,0.014351,0.344944,0.253763,-0.006141,0.317996,0.279683
117,1.950000,-0.198791,-0.101717,-0.790420,-0.570413,0.007381,0.233419,0.155450,0.000121,-0.018488,0.341573,0.253794,0.889715,-0.016064,0.377091,0.210089,0.958296,0.007377,0.233421,0.155450,0.000000,-0.053992,0.334356,0.251573,0.916449,0.015083,0.346288,0.251148,0.900417,-0.005651,0.320113,0.277580,0.944308,,,,,,,-0.018442,0.341180,0.253665,-0.016075,0.377102,0.209921,,,,-0.053986,0.334641,0.251660,0.014943,0.346559,0.251343,-0.005551,0.319939,0.277594
118,1.966667,-0.196685,-0.105536,-0.789785,-0.571328,0.007716,0.234153,0.154222,0.000107,-0.018022,0.343187,0.251624,0.906132,-0.015638,0.378313,0.207600,0.960061,0.007712,0.234155,0.154222,0.000000,-0.053530,0.335959,0.249506,0.934234,0.015547,0.347871,0.248899,0.916170,-0.005163,0.321938,0.275586,0.955419,,,,,,,-0.017971,0.342833,0.251509,-0.015633,0.378325,0.207441,,,,-0.053536,0.336204,0.249601,0.015417,0.348127,0.249073,-0.005082,0.321779,0.275590
119,1.983333,-0.195370,-0.109193,-0.788948,-0.572249,0.008010,0.234882,0.152861,0.000117,-0.017434,0.344692,0.249465,0.906132,-0.015124,0.379471,0.205163,0.960061,0.008007,0.234884,0.152861,0.000000,-0.052952,0.337473,0.247482,0.934234,0.016131,0.349331,0.246628,0.916170,-0.004536,0.323622,0.273564,0.955419,,,,,,,-0.017394,0.344356,0.249350,-0.015105,0.379511,0.204996,,,,-0.052978,0.337687,0.247578,0.016008,0.349567,0.246777,-0.004447,0.323468,0.273601
120,2.000000,-0.192732,-0.113219,-0.788931,-0.572384,0.008790,0.235712,0.151779,0.000402,-0.016825,0.346379,0.247354,0.472475,-0.014601,0.380743,0.202725,0.936263,0.008786,0.235714,0.151779,0.000000,-0.052330,0.339073,0.245455,0.942222,0.016730,0.351056,0.244459,0.952271,-0.003878,0.325562,0.271645,0.898578,,,,,,,-0.016194,0.348265,0.248060,-0.014625,0.380581,0.202530,,,,-0.052436,0.338874,0.245402,0.016568,0.350954,0.244456,-0.003874,0.325162,0.271574
121,2.016667,-0.191221,-0.117100,-0.787643,-0.573882,0.008778,0.236290,0.150489,0.000395,-0.016404,0.347838,0.245152,0.493817,-0.014211,0.381806,0.200220,0.934621,0.008774,0.236292,0.150489,0.000000,-0.051928,0.340586,0.243395,0.935183,0.017154,0.352421,0.242143,0.955925,-0.003444,0.327207,0.269595,0.895499,,,,,,,-0.015779,0.349648,0.245809,-0.014231,0.381630,0.200028,,,,-0.052070,0.340376,0.243346,0.017005,0.352326,0.242147,-0.003440,0.326798,0.269508
122,2.033333,-0.189575,-0.121036,-0.786618,-0.575017,0.008900,0.236874,0.149114,0.000383,-0.015968,0.349273,0.242847,0.493817,-0.013831,0.382845,0.197615,0.934621,0.008897,0.236875,0.149114,0.000000,-0.051503,0.342046,0.241226,0.935183,0.017588,0.353794,0.239729,0.955925,-0.002980,0.328843,0.267443,0.895499,,,,,,,-0.015379,0.351034,0.243502,-0.013859,0.382673,0.197402,,,,-0.051618,0.341841,0.241169,0.017418,0.353696,0.239739,-0.002970,0.328411,0.267365
123,2.050000,-0.187476,-0.125561,-0.785606,-0.576117,0.008954,0.237390,0.147822,0.000352,-0.015651,0.350756,0.240454,0.551343,-0.013583,0.383863,0.194878,0.934574,0.008950,0.237392,0.147822,0.000000,-0.051194,0.343537,0.238979,0.934288,0.017902,0.355222,0.237222,0.949229,-0.002626,0.330569,0.265231,0.891833,,,,,,,-0.015133,0.352370,0.241044,-0.013619,0.383690,0.194685,,,,-0.051306,0.343313,0.238899,0.017740,0.355100,0.237217,-0.002620,0.330142,0.265163
124,2.066667,-0.185900,-0.130117,-0.784307,-0.577385,0.008753,0.237941,0.146423,0.000333,-0.015423,0.352241,0.238014,0.551343,-0.013444,0.384898,0.192110,0.934574,0.008749,0.237942,0.146423,0.000000,-0.050980,0.345057,0.236714,0.934288,0.018127,0.356628,0.234640,0.949229,-0.002353,0.332279,0.262949,0.891833,,,,,,,-0.014904,0.353790,0.238606,-0.013489,0.384692,0.191912,,,,-0.051117,0.344859,0.236630,0.017977,0.356541,0.234666,-0.002337,0.331825,0.262843
125,2.083333,-0.184213,-0.134953,-0.783067,-0.578498,0.008660,0.238424,0.144982,0.000318,-0.015125,0.353682,0.235468,0.596335,-0.013259,0.385865,0.189226,0.929931,0.008656,0.238426,0.144982,0.000000,-0.050692,0.346519,0.234353,0.933720,0.018418,0.358002,0.231946,0.953411,-0.001996,0.333965,0.260566,0.883602,,,,,,,-0.014663,0.355128,0.236019,-0.013293,0.385676,0.189021,,,,-0.050823,0.346304,0.234269,0.018258,0.357907,0.231957,-0.001977,0.333508,0.260479
126,2.100000,-0.182346,-0.140298,-0.781995,-0.579267,0.008688,0.238730,0.143453,0.000159,-0.014790,0.354986,0.232735,0.596335,-0.013085,0.386652,0.186132,0.929931,0.008684,0.238732,0.143453,0.000000,-0.050361,0.347810,0.231822,0.933720,0.018740,0.359267,0.229049,0.953411,-0.001574,0.335548,0.258005,0.883602,,,,,,,-0.014805,0.355796,0.233053,-0.013050,0.386515,0.185950,,,,-0.050407,0.347626,0.231762,0.018658,0.359204,0.229072,-0.001467,0.335146,0.257915
127,2.116667,-0.179148,-0.145240,-0.781001,-0.580387,0.008818,0.238993,0.142074,0.000150,-0.014568,0.356327,0.229958,0.796036,-0.012892,0.387426,0.182973,0.944900,0.008814,0.238995,0.142074,0.000000,-0.050141,0.349149,0.229159,0.952702,0.018960,0.360556,0.226195,0.972792,-0.001336,0.337195,0.255452,0.898281,,,,,,,-0.014580,0.357089,0.230251,-0.012859,0.387298,0.182797,,,,-0.050163,0.348969,0.229106,0.018870,0.360497,0.226210,-0.001245,0.336806,0.255375
128,2.133333,-0.176044,-0.149569,-0.779999,-0.581584,0.008821,0.239306,0.140678,0.000148,-0.014481,0.357621,0.227260,0.796036,-0.012796,0.388196,0.179933,0.944900,0.008817,0.239308,0.140677,0.000000,-0.050058,0.350455,0.226548,0.952702,0.019049,0.361788,0.223444,0.972792,-0.001255,0.338764,0.252962,0.898281,,,,,,,-0.014497,0.358389,0.227567,-0.012763,0.388047,0.179743,,,,-0.050087,0.350298,0.226491,0.018943,0.361747,0.223490,-0.001135,0.338352,0.252860
129,2.150000,-0.172486,-0.154231,-0.778598,-0.583306,0.008737,0.239521,0.139481,0.000136,-0.014386,0.358941,0.224582,0.807995,-0.012645,0.388922,0.176879,0.942182,0.008733,0.239523,0.139481,0.000000,-0.049974,0.351824,0.223953,0.958253,0.019151,0.363007,0.220720,0.975202,-0.001194,0.340384,0.250519,0.895228,,,,,,,-0.014392,0.359653,0.224871,-0.012614,0.388773,0.176705,,,,-0.050032,0.351679,0.223894,0.019067,0.362978,0.220763,-0.001075,0.339994,0.250420
130,2.166667,-0.168773,-0.159468,-0.776537,-0.585727,0.008343,0.239658,0.138360,0.000176,-0.014369,0.360328,0.221792,0.807995,-0.012547,0.389635,0.173675,0.942182,0.008339,0.239660,0.138360,0.000000,-0.049980,0.353318,0.221272,0.958253,0.019180,0.364231,0.217865,0.975202,-0.001228,0.342093,0.247981,0.895228,,,,,,,-0.014367,0.361064,0.222085,-0.012491,0.389549,0.173541,,,,-0.049994,0.353114,0.221166,0.018974,0.364073,0.217842,-0.001066,0.341804,0.247951
131,2.183333,-0.161949,-0.164449,-0.776075,-0.586887,0.008820,0.239972,0.137710,0.000117,-0.014485,0.361947,0.219054,0.823732,-0.012467,0.390471,0.170475,0.950573,0.008816,0.239974,0.137710,0.000000,-0.050083,0.354874,0.218471,0.958330,0.019077,0.365838,0.215229,0.976969,-0.001449,0.344161,0.245601,0.912849,,,,,,,-0.014513,0.362602,0.219315,-0.012462,0.390355,0.170315,,,,-0.050122,0.354729,0.218397,0.019033,0.365769,0.215271,-0.001344,0.343836,0.245532
132,2.200000,-0.157408,-0.169061,-0.774936,-0.588315,0.008814,0.240365,0.136733,0.000115,-0.014562,0.363427,0.216404,0.823732,-0.012443,0.391299,0.167453,0.950573,0.008810,0.240367,0.136733,0.000000,-0.050163,0.356366,0.215853,0.958330,0.019009,0.367248,0.212586,0.976969,-0.001582,0.345989,0.243208,0.912849,,,,,,,-0.014607,0.364057,0.216645,-0.012439,0.391188,0.167290,,,,-0.050196,0.356230,0.215787,0.018967,0.367176,0.212649,-0.001466,0.345677,0.243134
133,2.216667,-0.154589,-0.173553,-0.773322,-0.589877,0.008635,0.240718,0.135660,0.000117,-0.014428,0.364718,0.213954,0.833138,-0.012299,0.392031,0.164689,0.951169,0.008632,0.240719,0.135660,0.000000,-0.050043,0.357721,0.213515,0.959912,0.019147,0.368430,0.210064,0.977113,-0.001458,0.347559,0.240942,0.917308,,,,,,,-0.014438,0.365337,0.214202,-0.012300,0.391923,0.164526,,,,-0.050088,0.357585,0.213444,0.019103,0.368364,0.210110,-0.001358,0.347249,0.240882
134,2.233333,-0.153108,-0.177818,-0.771132,-0.591857,0.008180,0.240983,0.134275,0.000150,-0.014197,0.365825,0.211421,0.833138,-0.012100,0.392650,0.161888,0.951169,0.008176,0.240984,0.134274,0.000000,-0.049840,0.358960,0.211147,0.959912,0.019381,0.369370,0.207404,0.977113,-0.001218,0.348879,0.238540,0.917308,,,,,,,-0.014192,0.366428,0.211669,-0.012050,0.392567,0.161754,,,,-0.049827,0.358814,0.211059,0.019170,0.369265,0.207395,-0.001074,0.348610,0.238523
135,2.250000,-0.149708,-0.182362,-0.769458,-0.593520,0.008140,0.241216,0.133165,0.000151,-0.013989,0.367029,0.208792,0.845964,-0.011843,0.393246,0.158936,0.959737,0.008136,0.241218,0.133165,0.000000,-0.049645,0.360231,0.208602,0.960438,0.019595,0.370460,0.204731,0.942007,-0.001041,0.350388,0.236114,0.925976,,,,,,,-0.013962,0.367599,0.209022,-0.011793,0.393164,0.158807,,,,-0.049643,0.360094,0.208523,0.019381,0.370372,0.204720,-0.000906,0.350125,0.236104
136,2.266667,-0.145635,-0.188129,-0.765897,-0.597327,0.007232,0.241363,0.132573,0.000110,-0.014008,0.368530,0.206162,0.893828,-0.011697,0.393923,0.155889,0.941838,0.007229,0.241365,0.132573,0.000000,-0.049710,0.361975,0.206090,0.000000,0.019598,0.371664,0.202040,0.958239,-0.001166,0.352244,0.233747,0.907433,,,,,,,-0.014034,0.368930,0.206301,-0.011705,0.393779,0.155707,,,,,,,0.019551,0.371758,0.202169,-0.001085,0.351893,0.233661
137,2.283333,-0.138539,-0.191262,-0.767892,-0.595455,0.008642,0.241835,0.131517,0.000100,-0.014234,0.369678,0.203425,0.893828,-0.011791,0.394489,0.152868,0.941838,0.008639,0.241837,0.131517,0.000000,-0.049875,0.362807,0.203183,0.000000,0.019372,0.373061,0.199498,0.958239,-0.001444,0.353838,0.231292,0.907433,,,,,,,-0.014248,0.370190,0.203629,-0.011807,0.394399,0.152720,,,,-0.049908,0.362697,0.203121,0.019357,0.373005,0.199551,-0.001367,0.353582,0.231244
138,2.300000,-0.137594,-0.195326,-0.766119,-0.596639,0.008292,0.242164,0.130024,0.000113,-0.014027,0.370660,0.200935,0.869685,-0.011698,0.395041,0.150164,0.956014,0.008288,0.242165,0.130023,0.000000,-0.049685,0.363874,0.200873,0.967652,0.019573,0.373927,0.196866,0.981912,-0.001180,0.355022,0.228890,0.930022,,,,,,,-0.014032,0.371146,0.201124,-0.011711,0.394946,0.150016,,,,-0.049749,0.363779,0.200813,0.019562,0.373892,0.196928,-0.001086,0.354762,0.228847
139,2.316667,-0.137091,-0.199853,-0.764337,-0.597540,0.008116,0.242345,0.128446,0.000111,-0.013601,0.371484,0.198370,0.869685,-0.011465,0.395428,0.147384,0.956014,0.008112,0.242347,0.128446,0.000000,-0.049273,0.364772,0.198535,0.967652,0.019986,0.374647,0.194113,0.981912,-0.000652,0.356057,0.226395,0.930022,,,,,,,-0.013624,0.371932,0.198537,-0.011476,0.395350,0.147229,,,,-0.049331,0.364681,0.198489,0.019989,0.374613,0.194175,-0.000564,0.355811,0.226368
140,2.333333,-0.135013,-0.204015,-0.763161,-0.598109,0.008087,0.242557,0.126930,0.000101,-0.013460,0.372360,0.195669,0.885390,-0.011413,0.395819,0.144453,0.958184,0.008083,0.242559,0.126930,0.000000,-0.049133,0.365661,0.195964,0.974353,0.020120,0.375471,0.191318,0.980428,-0.000463,0.357194,0.223814,0.936494,,,,,,,-0.013487,0.372792,0.195819,-0.011431,0.395735,0.144310,,,,-0.049179,0.365579,0.195923,0.020132,0.375443,0.191390,-0.000383,0.356956,0.223776
141,2.350000,-0.130509,-0.208805,-0.761763,-0.599237,0.008143,0.242666,0.125794,0.000109,-0.013452,0.373395,0.192738,0.885390,-0.011337,0.396156,0.141212,0.958184,0.008139,0.242667,0.125794,0.000000,-0.049128,0.366709,0.193081,0.974353,0.020134,0.376438,0.188387,0.980428,-0.000494,0.358609,0.221103,0.936494,,,,,,,-0.013483,0.373820,0.192890,-0.011344,0.396059,0.141089,,,,-0.049215,0.366630,0.193035,0.020157,0.376416,0.188465,-0.000391,0.358383,0.221041
142,2.366667,-0.124612,-0.213302,-0.760709,-0.600247,0.008237,0.242832,0.124777,0.000100,-0.013714,0.374507,0.189721,0.935863,-0.011424,0.396514,0.137875,0.965077,0.008233,0.242833,0.124776,0.000000,-0.049386,0.367796,0.190028,0.976655,0.019885,0.377515,0.185451,0.973453,-0.000851,0.360149,0.218346,0.946215,,,,,,,-0.013693,0.374751,0.189795,-0.011435,0.396433,0.137762,,,,-0.049477,0.367785,0.190012,0.019879,0.377556,0.185549,-0.000764,0.359957,0.218302
143,2.383333,-0.121128,-0.217183,-0.759728,-0.600810,0.008195,0.243122,0.123448,0.000091,-0.013853,0.375472,0.186973,0.935863,-0.011539,0.396927,0.134897,0.965077,0.008191,0.243124,0.123448,0.000000,-0.049522,0.368750,0.187329,0.976655,0.019748,0.378449,0.182693,0.973453,-0.001002,0.361425,0.215758,0.946215,,,,,,,-0.013888,0.375835,0.187091,-0.011546,0.396827,0.134795,,,,-0.049596,0.368693,0.187299,0.019783,0.378457,0.182765,-0.000921,0.361211,0.215700
144,2.400000,-0.120532,-0.220650,-0.757967,-0.601890,0.007893,0.243298,0.121705,0.000108,-0.013599,0.376148,0.184370,0.912447,-0.011396,0.397232,0.132139,0.961464,0.007890,0.243300,0.121705,0.000000,-0.049284,0.369525,0.184888,0.970042,0.019996,0.379006,0.179962,0.973261,-0.000692,0.362269,0.213212,0.936829,,,,,,,-0.013634,0.376484,0.184462,-0.011386,0.397125,0.132029,,,,-0.049395,0.369480,0.184888,0.020046,0.379050,0.180046,-0.000605,0.362041,0.213147
145,2.416667,-0.120603,-0.223481,-0.756409,-0.602790,0.007671,0.243431,0.119733,0.000086,-0.013259,0.376655,0.181792,0.912447,-0.011184,0.397466,0.129446,0.961464,0.007667,0.243433,0.119732,0.000000,-0.048959,0.370127,0.182468,0.970042,0.020327,0.379403,0.177252,0.973261,-0.000287,0.362890,0.210659,0.936829,,,,,,,-0.013281,0.376876,0.181849,-0.011169,0.397363,0.129365,,,,-0.049071,0.370122,0.182482,0.020369,0.379483,0.177333,-0.000210,0.362696,0.210587
