Format Version,1.23,Take Name,danielle_nziz_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.03.460 PM,Total Frames in Take,395,Total Exported Frames,395,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,0.320736,-0.003202,0.800991,0.505501,0.008393,0.153569,0.189503,0.000249,-0.012271,0.221970,0.319627,0.891146,-0.014940,0.269871,0.290031,0.936780,0.008390,0.153571,0.189503,0.000000,-0.047568,0.213716,0.317741,0.914697,0.020753,0.229332,0.316247,0.895487,0.003346,0.194756,0.334000,0.902995,,,,,,,-0.012374,0.221535,0.319501,-0.014966,0.269977,0.289811,,,,-0.047516,0.214020,0.317891,0.020753,0.229723,0.316445,0.003424,0.194390,0.333998
7,0.116667,0.318732,0.000213,0.800728,0.507194,0.008394,0.153609,0.189444,0.000252,-0.012160,0.223140,0.318985,0.893075,-0.014804,0.270788,0.288981,0.937219,0.008391,0.153610,0.189445,0.000000,-0.047465,0.214899,0.317185,0.916775,0.020868,0.230446,0.315528,0.891432,0.003442,0.196038,0.333584,0.900964,,,,,,,-0.012260,0.222740,0.318871,-0.014827,0.270892,0.288754,,,,-0.047406,0.215192,0.317331,0.020855,0.230836,0.315720,0.003520,0.195650,0.333587
8,0.133333,0.316309,0.003362,0.800735,0.508685,0.008481,0.153626,0.189425,0.000240,-0.012137,0.224257,0.318359,0.893075,-0.014742,0.271650,0.287952,0.937219,0.008477,0.153628,0.189425,0.000000,-0.047443,0.216014,0.316604,0.916775,0.020897,0.231522,0.314864,0.891432,0.003445,0.197274,0.333198,0.900964,,,,,,,-0.012226,0.223870,0.318252,-0.014769,0.271770,0.287712,,,,-0.047398,0.216288,0.316756,0.020890,0.231883,0.315070,0.003522,0.196905,0.333187
9,0.150000,0.314133,0.006278,0.800764,0.509959,0.008527,0.153664,0.189369,0.000237,-0.012150,0.225287,0.317746,0.893018,-0.014731,0.272446,0.286973,0.936458,0.008523,0.153665,0.189370,0.000000,-0.047457,0.217036,0.316035,0.919826,0.020887,0.232520,0.314213,0.891698,0.003419,0.198417,0.332800,0.904555,,,,,,,-0.012244,0.224882,0.317644,-0.014743,0.272549,0.286741,,,,-0.047431,0.217321,0.316181,0.020876,0.232908,0.314405,0.003510,0.198046,0.332795
10,0.166667,0.312674,0.009700,0.800407,0.511361,0.008435,0.153714,0.189425,0.000208,-0.012036,0.226352,0.317263,0.893018,-0.014639,0.273269,0.286125,0.936458,0.008431,0.153715,0.189426,0.000000,-0.047349,0.218104,0.315665,0.919826,0.020999,0.233542,0.313628,0.891698,0.003542,0.199593,0.332507,0.904555,,,,,,,-0.011871,0.226535,0.317368,-0.014714,0.273247,0.285878,,,,-0.047362,0.218220,0.315727,0.020923,0.233793,0.313798,0.003543,0.199066,0.332417
11,0.183333,0.311223,0.012056,0.800657,0.511803,0.008543,0.153724,0.189392,0.000208,-0.012014,0.227046,0.316825,0.939391,-0.014664,0.273787,0.285427,0.938710,0.008539,0.153725,0.189393,0.000000,-0.047318,0.218752,0.315270,0.964310,0.021013,0.234250,0.313153,0.923019,0.003590,0.200388,0.332217,0.871324,,,,,,,-0.011838,0.227187,0.316914,-0.014746,0.273768,0.285197,,,,-0.047333,0.218884,0.315323,0.020938,0.234508,0.313305,0.003585,0.199878,0.332154
12,0.200000,0.309867,0.013039,0.800224,0.513277,0.008478,0.153757,0.189346,0.000200,-0.012039,0.227619,0.316474,0.939391,-0.014559,0.274243,0.284892,0.938710,0.008474,0.153759,0.189347,0.000000,-0.047359,0.219395,0.314918,0.964310,0.021007,0.234738,0.312804,0.923019,0.003494,0.200988,0.331984,0.871324,,,,,,,-0.011869,0.227793,0.316559,-0.014633,0.274225,0.284659,,,,-0.047375,0.219504,0.314978,0.020928,0.234968,0.312968,0.003494,0.200493,0.331907
13,0.216667,0.307939,0.013249,0.799825,0.515051,0.008458,0.153731,0.189357,0.000209,-0.012170,0.228090,0.316175,0.932482,-0.014462,0.274613,0.284428,0.937999,0.008455,0.153732,0.189357,0.000000,-0.047511,0.219969,0.314553,0.967740,0.020908,0.235095,0.312570,0.924343,0.003239,0.201465,0.331819,0.866920,,,,,,,-0.012009,0.228283,0.316273,-0.014537,0.274583,0.284193,,,,-0.047524,0.220086,0.314606,0.020830,0.235343,0.312725,0.003242,0.200937,0.331748
14,0.233333,0.305395,0.012722,0.799780,0.516647,0.008561,0.153753,0.189375,0.000215,-0.012441,0.228522,0.315891,0.932482,-0.014453,0.274963,0.284006,0.937999,0.008557,0.153755,0.189376,0.000000,-0.047797,0.220497,0.314128,0.967740,0.020673,0.235423,0.312420,0.924343,0.002820,0.201896,0.331679,0.866920,,,,,,,-0.012252,0.228722,0.315996,-0.014533,0.274950,0.283762,,,,-0.047811,0.220601,0.314181,0.020588,0.235653,0.312576,0.002810,0.201377,0.331609
15,0.250000,0.302795,0.011552,0.799916,0.517993,0.008657,0.153715,0.189274,0.000222,-0.012838,0.228747,0.315551,0.896075,-0.014552,0.275141,0.283580,0.941959,0.008654,0.153716,0.189274,0.000000,-0.048206,0.220813,0.313607,0.921713,0.020313,0.235554,0.312251,0.895296,0.002265,0.202107,0.331466,0.912694,,,,,,,-0.012940,0.228358,0.315446,-0.014557,0.275223,0.283363,,,,-0.048154,0.221085,0.313753,0.020305,0.235931,0.312431,0.002329,0.201763,0.331461
