Format Version,1.23,Take Name,charlie_nziz_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.51.42.572 PM,Total Frames in Take,271,Total Exported Frames,271,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,0.361796,0.700969,0.344235,-0.509164,0.019102,0.155286,0.186227,0.000267,-0.020436,0.247661,0.295504,0.915613,-0.033182,0.201466,0.325188,0.916441,0.019104,0.155286,0.186230,0.000000,0.014380,0.249815,0.305543,0.894433,-0.051775,0.241072,0.284074,0.907284,-0.024972,0.271430,0.270898,0.951030,,,,-0.020590,0.247368,0.295472,-0.033341,0.201165,0.325217,,,,0.014577,0.250189,0.305556,-0.051666,0.241395,0.284234,-0.024966,0.271326,0.270730
7,0.116667,0.361906,0.700910,0.344238,-0.509166,0.019097,0.155292,0.186226,0.000267,-0.020408,0.247682,0.295503,0.919769,-0.033159,0.201492,0.325192,0.913159,0.019099,0.155292,0.186229,0.000000,0.014410,0.249830,0.305536,0.894328,-0.051750,0.241098,0.284077,0.905569,-0.024943,0.271451,0.270895,0.949241,,,,-0.020552,0.247396,0.295475,-0.033321,0.201186,0.325218,,,,0.014605,0.250205,0.305548,-0.051641,0.241422,0.284238,-0.024939,0.271343,0.270723
8,0.133333,0.361972,0.700824,0.344333,-0.509173,0.019093,0.155300,0.186217,0.000265,-0.020381,0.247685,0.295509,0.919769,-0.033141,0.201494,0.325193,0.913159,0.019096,0.155300,0.186220,0.000000,0.014439,0.249823,0.305540,0.894328,-0.051725,0.241111,0.284085,0.905569,-0.024911,0.271458,0.270905,0.949241,,,,-0.020524,0.247403,0.295481,-0.033303,0.201189,0.325217,,,,0.014632,0.250197,0.305552,-0.051615,0.241435,0.284247,-0.024909,0.271348,0.270732
9,0.150000,0.361978,0.700780,0.344339,-0.509225,0.019091,0.155311,0.186207,0.000267,-0.020369,0.247689,0.295510,0.920353,-0.033126,0.201496,0.325192,0.913242,0.019094,0.155311,0.186210,0.000000,0.014452,0.249826,0.305537,0.894131,-0.051714,0.241115,0.284089,0.905894,-0.024902,0.271464,0.270908,0.948813,,,,-0.020512,0.247405,0.295485,-0.033290,0.201191,0.325217,,,,0.014650,0.250200,0.305550,-0.051606,0.241438,0.284250,-0.024901,0.271356,0.270735
10,0.166667,0.362067,0.700771,0.344206,-0.509264,0.019084,0.155309,0.186201,0.000268,-0.020355,0.247713,0.295490,0.920353,-0.033104,0.201527,0.325186,0.913242,0.019086,0.155310,0.186204,0.000000,0.014468,0.249853,0.305509,0.894131,-0.051703,0.241136,0.284078,0.905894,-0.024895,0.271482,0.270884,0.948813,,,,-0.020499,0.247429,0.295454,-0.033271,0.201221,0.325214,,,,0.014667,0.250229,0.305522,-0.051592,0.241456,0.284241,-0.024894,0.271374,0.270716
11,0.183333,0.361753,0.701247,0.343681,-0.509185,0.019269,0.155303,0.186261,0.000246,-0.020333,0.247743,0.295460,0.928582,-0.033037,0.201565,0.325187,0.917801,0.019272,0.155303,0.186265,0.000000,0.014482,0.249936,0.305492,0.897536,-0.051668,0.241118,0.284039,0.920361,-0.024892,0.271487,0.270832,0.957189,,,,-0.020496,0.247510,0.295430,-0.033222,0.201294,0.325199,,,,0.014697,0.250285,0.305487,-0.051546,0.241357,0.284210,-0.024881,0.271403,0.270683
12,0.200000,0.361843,0.701187,0.343523,-0.509312,0.019263,0.155341,0.186238,0.000256,-0.020302,0.247798,0.295436,0.928582,-0.032989,0.201624,0.325177,0.917801,0.019265,0.155341,0.186241,0.000000,0.014518,0.249996,0.305454,0.897536,-0.051641,0.241168,0.284030,0.920361,-0.024873,0.271537,0.270806,0.957189,,,,-0.020467,0.247553,0.295404,-0.033178,0.201354,0.325198,,,,0.014743,0.250340,0.305452,-0.051515,0.241399,0.284199,-0.024869,0.271479,0.270650
13,0.216667,0.361954,0.701109,0.343437,-0.509398,0.019261,0.155344,0.186234,0.000254,-0.020260,0.247816,0.295434,0.925076,-0.032941,0.201647,0.325185,0.916820,0.019263,0.155344,0.186237,0.000000,0.014563,0.250013,0.305440,0.896855,-0.051604,0.241187,0.284039,0.921407,-0.024838,0.271553,0.270803,0.958640,,,,-0.020426,0.247568,0.295405,-0.033132,0.201375,0.325206,,,,0.014783,0.250361,0.305433,-0.051475,0.241418,0.284209,-0.024831,0.271492,0.270649
14,0.233333,0.362029,0.701056,0.343426,-0.509425,0.019284,0.155306,0.186256,0.000244,-0.020211,0.247787,0.295459,0.925076,-0.032892,0.201620,0.325214,0.916820,0.019286,0.155306,0.186259,0.000000,0.014614,0.249980,0.305459,0.896855,-0.051557,0.241161,0.284069,0.921407,-0.024790,0.271523,0.270828,0.958640,,,,-0.020353,0.247527,0.295431,-0.033084,0.201351,0.325223,,,,0.014824,0.250342,0.305455,-0.051439,0.241406,0.284245,-0.024784,0.271444,0.270675
15,0.250000,0.362344,0.700527,0.343988,-0.509550,0.019149,0.155340,0.186204,0.000269,-0.020167,0.247772,0.295513,0.919643,-0.032894,0.201595,0.325232,0.915827,0.019151,0.155340,0.186207,0.000000,0.014666,0.249910,0.305497,0.894008,-0.051528,0.241198,0.284133,0.903674,-0.024728,0.271537,0.270906,0.947529,,,,-0.020318,0.247490,0.295479,-0.033058,0.201301,0.325247,,,,0.014876,0.250277,0.305522,-0.051407,0.241523,0.284300,-0.024744,0.271419,0.270733
