Format Version,1.23,Take Name,charlie_nziz_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.51.42.572 PM,Total Frames in Take,271,Total Exported Frames,271,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
32,0.533333,0.348357,0.704441,0.345609,-0.512801,0.019200,0.156491,0.185797,0.000282,-0.023337,0.246203,0.296161,0.913859,-0.035291,0.199267,0.325000,0.912668,0.019202,0.156491,0.185800,0.000000,0.011336,0.248975,0.306541,0.895513,-0.054421,0.239097,0.284352,0.909359,-0.028198,0.270254,0.271893,0.955028,,,,-0.023501,0.245924,0.296121,-0.035454,0.198957,0.325028,,,,0.011550,0.249348,0.306561,-0.054305,0.239409,0.284512,-0.028200,0.270158,0.271726
33,0.550000,0.348159,0.704342,0.345655,-0.513041,0.019218,0.156616,0.185755,0.000281,-0.023318,0.246259,0.296176,0.918958,-0.035249,0.199304,0.324995,0.912609,0.019221,0.156617,0.185758,0.000000,0.011357,0.249038,0.306548,0.893162,-0.054403,0.239149,0.284371,0.907920,-0.028193,0.270321,0.271922,0.951877,,,,-0.023481,0.245981,0.296136,-0.035410,0.198996,0.325023,,,,0.011568,0.249408,0.306567,-0.054288,0.239461,0.284529,-0.028195,0.270224,0.271755
34,0.566667,0.348019,0.704566,0.345098,-0.513203,0.019303,0.156803,0.185694,0.000272,-0.023293,0.246476,0.296066,0.918958,-0.035167,0.199529,0.324920,0.912609,0.019306,0.156803,0.185697,0.000000,0.011381,0.249298,0.306426,0.893162,-0.054375,0.239326,0.284275,0.907920,-0.028201,0.270517,0.271796,0.951877,,,,-0.023460,0.246201,0.296044,-0.035322,0.199236,0.324950,,,,0.011583,0.249649,0.306436,-0.054252,0.239619,0.284422,-0.028204,0.270440,0.271631
35,0.583333,0.347267,0.705081,0.344446,-0.513442,0.019443,0.157089,0.185616,0.000280,-0.023385,0.246703,0.295947,0.898327,-0.035160,0.199739,0.324814,0.920619,0.019445,0.157089,0.185619,0.000000,0.011281,0.249606,0.306314,0.889035,-0.054447,0.239479,0.284150,0.910231,-0.028340,0.270724,0.271668,0.962301,,,,-0.023546,0.246336,0.295880,-0.035325,0.199470,0.324846,,,,0.011494,0.249995,0.306334,-0.054333,0.239781,0.284306,-0.028341,0.270669,0.271527
36,0.600000,0.346410,0.705901,0.343768,-0.513350,0.019553,0.157488,0.185588,0.000280,-0.023611,0.247076,0.295810,0.898327,-0.035305,0.200105,0.324696,0.920619,0.019555,0.157488,0.185592,0.000000,0.011036,0.250071,0.306213,0.889035,-0.054642,0.239769,0.283984,0.910231,-0.028598,0.271069,0.271508,0.962301,,,,-0.023780,0.246785,0.295758,-0.035462,0.199800,0.324735,,,,0.011237,0.250438,0.306228,-0.054519,0.240078,0.284139,-0.028596,0.270989,0.271350
37,0.616667,0.345997,0.706931,0.342459,-0.513085,0.019597,0.157721,0.185638,0.000282,-0.023876,0.247457,0.295616,0.902568,-0.035478,0.200524,0.324603,0.920641,0.019600,0.157721,0.185641,0.000000,0.010755,0.250561,0.306040,0.891132,-0.054880,0.240046,0.283783,0.907317,-0.028902,0.271381,0.271255,0.958737,,,,-0.024026,0.247104,0.295550,-0.035639,0.200252,0.324633,,,,0.010971,0.250938,0.306072,-0.054760,0.240362,0.283936,-0.028926,0.271314,0.271107
38,0.633333,0.344853,0.708497,0.341033,-0.512645,0.019817,0.158146,0.185714,0.000272,-0.024225,0.247958,0.295405,0.902568,-0.035705,0.201044,0.324472,0.920641,0.019820,0.158146,0.185717,0.000000,0.010372,0.251218,0.305892,0.891132,-0.055176,0.240401,0.283525,0.907317,-0.029294,0.271808,0.270980,0.958737,,,,-0.024372,0.247701,0.295361,-0.035859,0.200738,0.324505,,,,0.010570,0.251572,0.305912,-0.055074,0.240694,0.283679,-0.029293,0.271723,0.270817
39,0.650000,0.343875,0.709823,0.339846,-0.512257,0.019918,0.158558,0.185740,0.000270,-0.024609,0.248429,0.295186,0.925181,-0.035987,0.201532,0.324320,0.914363,0.019920,0.158558,0.185743,0.000000,0.009959,0.251821,0.305728,0.898242,-0.055514,0.240749,0.283266,0.915429,-0.029712,0.272217,0.270709,0.956947,,,,-0.024766,0.248179,0.295135,-0.036146,0.201230,0.324355,,,,0.010160,0.252175,0.305741,-0.055405,0.241029,0.283420,-0.029708,0.272134,0.270558
40,0.666667,0.342798,0.711303,0.338506,-0.511812,0.020073,0.158865,0.185775,0.000273,-0.024994,0.248804,0.294945,0.925181,-0.036259,0.201928,0.324155,0.914363,0.020075,0.158866,0.185779,0.000000,0.009541,0.252344,0.305546,0.898242,-0.055848,0.240988,0.282980,0.915429,-0.030135,0.272522,0.270407,0.956947,,,,-0.025149,0.248463,0.294888,-0.036411,0.201651,0.324178,,,,0.009740,0.252727,0.305571,-0.055734,0.241313,0.283138,-0.030141,0.272433,0.270258
41,0.683333,0.342802,0.712218,0.337812,-0.510994,0.020049,0.159085,0.185759,0.000276,-0.025264,0.249226,0.294659,0.899732,-0.036541,0.202404,0.323953,0.918330,0.020051,0.159085,0.185762,0.000000,0.009250,0.252815,0.305310,0.890687,-0.056093,0.241359,0.282662,0.906404,-0.030384,0.272886,0.270062,0.958508,,,,-0.025397,0.248856,0.294579,-0.036692,0.202117,0.323992,,,,0.009440,0.253208,0.305342,-0.056002,0.241683,0.282826,-0.030381,0.272826,0.269907
42,0.700000,0.342569,0.713389,0.336850,-0.510153,0.020232,0.159424,0.185780,0.000222,-0.025427,0.249766,0.294368,0.899732,-0.036686,0.203000,0.323758,0.918330,0.020234,0.159424,0.185783,0.000000,0.009062,0.253436,0.305075,0.890687,-0.056220,0.241821,0.282333,0.906404,-0.030537,0.273357,0.269702,0.958508,,,,-0.025406,0.250045,0.294542,-0.036896,0.202592,0.323757,,,,0.009225,0.253648,0.305012,-0.056148,0.241964,0.282430,-0.030585,0.273132,0.269494
43,0.716667,0.330299,0.723720,0.335392,-0.504623,0.024864,0.160552,0.186523,0.000616,-0.025577,0.249854,0.293848,0.903853,-0.036541,0.202849,0.322967,0.810063,0.024866,0.160553,0.186526,0.686682,0.008535,0.254294,0.305435,0.758603,-0.055866,0.241223,0.281030,0.623597,-0.030577,0.273325,0.269045,0.950676,,,,-0.025785,0.249531,0.293877,-0.037055,0.202948,0.323517,0.025827,0.160291,0.185765,0.009042,0.253992,0.304671,-0.056317,0.242203,0.282080,-0.030774,0.273340,0.269038
44,0.733333,0.343166,0.715110,0.334730,-0.508735,0.020092,0.159241,0.185649,0.000263,-0.025914,0.250137,0.293626,0.903853,-0.037159,0.203524,0.323263,0.810063,0.020094,0.159241,0.185652,0.686682,0.008548,0.253922,0.304378,0.758603,-0.056672,0.242076,0.281578,0.623597,-0.031013,0.273578,0.268815,0.950676,,,,-0.026060,0.249797,0.293558,-0.037316,0.203261,0.323296,,,,0.008742,0.254292,0.304396,-0.056562,0.242364,0.281734,-0.031014,0.273522,0.268678
45,0.750000,0.343493,0.715802,0.334390,-0.507763,0.019944,0.159203,0.185653,0.000274,-0.026212,0.250323,0.293378,0.902332,-0.037520,0.203771,0.323087,0.924654,0.019946,0.159203,0.185657,0.000000,0.008234,0.254119,0.304179,0.891936,-0.056953,0.242247,0.281295,0.905628,-0.031263,0.273717,0.268513,0.957704,,,,-0.026348,0.249962,0.293315,-0.037676,0.203514,0.323105,,,,0.008437,0.254499,0.304211,-0.056838,0.242571,0.281451,-0.031289,0.273631,0.268369
46,0.766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026465,0.250945,0.293422,-0.037993,0.203670,0.322936,,,,0.008114,0.254690,0.304077,-0.057095,0.242661,0.281197,-0.031529,0.273777,0.268151
47,0.783333,0.343175,0.717114,0.334306,-0.506180,0.019826,0.159338,0.185615,0.000276,-0.026769,0.250630,0.293005,0.902332,-0.038170,0.204126,0.322754,0.924654,0.019828,0.159339,0.185618,0.000000,0.007635,0.254458,0.303928,0.891936,-0.057461,0.242521,0.280821,0.905628,-0.031735,0.273978,0.268080,0.957704,,,,-0.026912,0.250267,0.292931,-0.038326,0.203857,0.322784,,,,0.007838,0.254842,0.303958,-0.057360,0.242830,0.280983,-0.031740,0.273917,0.267932
48,0.800000,0.342407,0.718029,0.334162,-0.505498,0.019945,0.159692,0.185660,0.000230,-0.027028,0.250971,0.292895,0.911218,-0.038432,0.204467,0.322641,0.883416,0.019948,0.159692,0.185663,0.000000,0.007345,0.254854,0.303896,0.929270,-0.057680,0.242813,0.280644,0.952095,-0.031969,0.274300,0.267946,0.916357,,,,-0.027020,0.251281,0.293069,-0.038638,0.204049,0.322627,,,,0.007519,0.255070,0.303841,-0.057624,0.242958,0.280756,-0.032002,0.274047,0.267729
49,0.816667,0.342157,0.718581,0.333868,-0.505076,0.019704,0.159740,0.185568,0.000269,-0.027459,0.251074,0.292675,0.911218,-0.038862,0.204585,0.322446,0.883416,0.019706,0.159741,0.185572,0.000000,0.006898,0.254991,0.303711,0.929270,-0.058091,0.242882,0.280395,0.952095,-0.032390,0.274377,0.267701,0.916357,,,,-0.027594,0.250725,0.292612,-0.039022,0.204313,0.322477,,,,0.007097,0.255373,0.303732,-0.057990,0.243184,0.280552,-0.032395,0.274314,0.267556
50,0.833333,0.340705,0.719916,0.333313,-0.504523,0.019720,0.160234,0.185609,0.000276,-0.028027,0.251480,0.292531,0.905000,-0.039363,0.204973,0.322299,0.917063,0.019722,0.160234,0.185612,0.000000,0.006287,0.255513,0.303659,0.889260,-0.058599,0.243183,0.280173,0.912029,-0.032964,0.274753,0.267530,0.960698,,,,-0.028167,0.251135,0.292455,-0.039530,0.204688,0.322335,,,,0.006494,0.255904,0.303680,-0.058503,0.243480,0.280336,-0.032961,0.274696,0.267383
51,0.850000,0.339076,0.721379,0.332520,-0.504054,0.019540,0.160979,0.185734,0.000274,-0.028844,0.252125,0.292454,0.905000,-0.040082,0.205599,0.322229,0.917063,0.019543,0.160979,0.185738,0.000000,0.005424,0.256299,0.303671,0.889260,-0.059351,0.243702,0.280021,0.912029,-0.033803,0.275360,0.267422,0.960698,,,,-0.028974,0.251791,0.292386,-0.040233,0.205318,0.322263,,,,0.005626,0.256676,0.303703,-0.059263,0.244012,0.280171,-0.033810,0.275287,0.267274
52,0.866667,0.336383,0.723242,0.331534,-0.503838,0.019426,0.162036,0.185989,0.000266,-0.029858,0.252900,0.292539,0.901530,-0.040915,0.206309,0.322281,0.924642,0.019428,0.162037,0.185993,0.000000,0.004348,0.257280,0.303869,0.893260,-0.060272,0.244292,0.280005,0.914703,-0.034872,0.276102,0.267487,0.964841,,,,-0.029999,0.252540,0.292464,-0.041071,0.206053,0.322310,,,,0.004543,0.257659,0.303889,-0.060172,0.244578,0.280163,-0.034869,0.276053,0.267356
53,0.883333,0.332448,0.724662,0.331618,-0.504354,0.019332,0.163796,0.186205,0.000239,-0.030934,0.253943,0.292904,0.901530,-0.041768,0.207173,0.322447,0.924642,0.019335,0.163796,0.186209,0.000000,0.003203,0.258519,0.304365,0.893260,-0.061245,0.245170,0.280238,0.914703,-0.036025,0.277198,0.267917,0.964841,,,,-0.030935,0.254257,0.293071,-0.041968,0.206762,0.322446,,,,0.003394,0.258718,0.304317,-0.061190,0.245289,0.280331,-0.036068,0.276978,0.267707
54,0.900000,0.329269,0.725332,0.332092,-0.505163,0.018931,0.165307,0.186342,0.000274,-0.032000,0.254770,0.293302,0.908555,-0.042651,0.207828,0.322637,0.918332,0.018934,0.165308,0.186346,0.000000,0.002091,0.259475,0.304846,0.891388,-0.062242,0.245893,0.280542,0.911087,-0.037162,0.278098,0.268398,0.960312,,,,-0.032116,0.254433,0.293222,-0.042815,0.207547,0.322666,,,,0.002291,0.259860,0.304879,-0.062143,0.246195,0.280703,-0.037180,0.278031,0.268255
55,0.916667,0.325453,0.725489,0.332840,-0.506915,0.018698,0.167323,0.186358,0.000280,-0.032839,0.255834,0.293818,0.908555,-0.043225,0.208653,0.322864,0.918332,0.018701,0.167323,0.186362,0.000000,0.001215,0.260675,0.305413,0.891388,-0.063019,0.246851,0.280985,0.911087,-0.038127,0.279279,0.269050,0.960312,,,,-0.032978,0.255491,0.293745,-0.043385,0.208384,0.322895,,,,0.001431,0.261053,0.305443,-0.062917,0.247140,0.281131,-0.038147,0.279224,0.268916
56,0.933333,0.321974,0.724785,0.334139,-0.509284,0.018469,0.169621,0.186129,0.000277,-0.033388,0.257081,0.294292,0.914727,-0.043516,0.209637,0.322998,0.916718,0.018472,0.169622,0.186132,0.000000,0.000654,0.262002,0.305890,0.893842,-0.063537,0.248047,0.281423,0.916535,-0.038814,0.280683,0.269705,0.962946,,,,-0.033548,0.256790,0.294215,-0.043671,0.209344,0.323032,,,,0.000858,0.262373,0.305911,-0.063435,0.248325,0.281578,-0.038807,0.280619,0.269572
57,0.950000,0.308222,0.731911,0.334561,-0.507321,0.022341,0.173199,0.186614,0.000678,-0.033599,0.258503,0.294465,0.914727,-0.043195,0.210589,0.322568,0.916718,0.022343,0.173200,0.186617,0.000000,0.000090,0.264092,0.306771,0.893842,-0.063277,0.248901,0.280931,0.916535,-0.039083,0.282191,0.269974,0.962946,,,,-0.033822,0.258146,0.294473,-0.043705,0.210607,0.323048,0.023484,0.172912,0.185802,0.000578,0.263917,0.306112,-0.063769,0.249798,0.281901,-0.039292,0.282238,0.270000
58,0.966667,0.306348,0.730135,0.334639,-0.510950,0.021892,0.175703,0.185856,0.000697,-0.033758,0.260195,0.294494,0.906219,-0.043000,0.212091,0.322390,0.831450,0.021894,0.175704,0.185859,0.616492,-0.000021,0.265852,0.306634,0.808959,-0.063477,0.250547,0.281079,0.674465,-0.039480,0.283994,0.270164,0.947421,,,,-0.033993,0.259902,0.294507,-0.043497,0.212070,0.322845,0.023116,0.175398,0.184983,0.000429,0.265706,0.306034,-0.063919,0.251361,0.281994,-0.039689,0.284018,0.270173
59,0.983333,0.303996,0.728371,0.335108,-0.514553,0.021829,0.178505,0.184773,0.000678,-0.033614,0.262052,0.294244,0.906219,-0.042505,0.213730,0.321875,0.831450,0.021831,0.178506,0.184776,0.616492,0.000162,0.267777,0.306245,0.808959,-0.063360,0.252364,0.280922,0.674465,-0.039564,0.285984,0.270100,0.947421,,,,-0.033853,0.261745,0.294255,-0.043015,0.213738,0.322360,0.023027,0.178259,0.183908,0.000627,0.267606,0.305610,-0.063812,0.253188,0.281871,-0.039767,0.285983,0.270107
60,1.000000,0.306537,0.725498,0.334820,-0.517285,0.021064,0.181064,0.183612,0.000949,-0.033133,0.264733,0.293612,0.691907,-0.041941,0.216425,0.321295,0.814684,0.021067,0.181064,0.183616,0.510213,0.000766,0.270338,0.305319,0.796779,-0.063028,0.255151,0.280547,0.711472,-0.039216,0.288697,0.269534,0.857265,,,,-0.032843,0.265844,0.294058,-0.042450,0.215971,0.321586,0.022757,0.180690,0.182699,0.001008,0.269954,0.304644,-0.063630,0.255795,0.281292,-0.039586,0.288280,0.269412
61,1.016667,0.306040,0.725315,0.332308,-0.519451,0.021300,0.183785,0.182339,0.000919,-0.032787,0.267386,0.292445,0.694653,-0.041244,0.219085,0.320248,0.812400,0.021302,0.183785,0.182343,0.551193,0.001138,0.273169,0.303988,0.769263,-0.062696,0.257643,0.279532,0.691264,-0.039091,0.291282,0.268355,0.857935,,,,-0.032515,0.268495,0.292880,-0.041759,0.218658,0.320588,0.022812,0.183435,0.181437,0.001452,0.272703,0.303255,-0.063321,0.258321,0.280354,-0.039479,0.290891,0.268215
62,1.033333,0.307605,0.724691,0.329247,-0.521344,0.021178,0.186331,0.180842,0.000919,-0.032365,0.270331,0.290911,0.694653,-0.040560,0.222140,0.318983,0.812400,0.021180,0.186331,0.180845,0.551193,0.001622,0.276225,0.302213,0.769263,-0.062337,0.260477,0.278231,0.691264,-0.038864,0.294106,0.266754,0.857935,,,,-0.032078,0.271405,0.291363,-0.041072,0.221719,0.319298,0.022742,0.185969,0.179937,0.001921,0.275775,0.301454,-0.062976,0.261169,0.279043,-0.039251,0.293704,0.266640
63,1.050000,0.319798,0.716806,0.324640,-0.527757,0.017163,0.187745,0.178324,0.000513,-0.032102,0.273571,0.288981,0.709589,-0.040137,0.225781,0.317775,0.834665,0.017165,0.187746,0.178327,0.000000,0.002269,0.279115,0.299254,0.970752,-0.062551,0.264000,0.277258,0.954710,-0.038967,0.297189,0.264770,0.852593,,,,-0.031695,0.274596,0.289345,-0.040327,0.225148,0.317758,,,,0.002322,0.279211,0.299212,-0.062626,0.264158,0.277304,-0.039101,0.296697,0.264474
64,1.066667,0.323702,0.719388,0.317738,-0.526061,0.017342,0.189656,0.177220,0.000500,-0.031919,0.277216,0.286511,0.709589,-0.039795,0.229898,0.316117,0.834665,0.017345,0.189656,0.177224,0.000000,0.002457,0.283008,0.296628,0.970752,-0.062367,0.267382,0.275005,0.954710,-0.038880,0.300409,0.261920,0.852593,,,,-0.031513,0.278240,0.286889,-0.039985,0.229286,0.316091,,,,0.002517,0.283098,0.296586,-0.062440,0.267536,0.275049,-0.039023,0.299908,0.261624
65,1.083333,0.329093,0.723221,0.309730,-0.522223,0.017527,0.191179,0.176475,0.000290,-0.031900,0.281099,0.283756,0.867505,-0.039771,0.234442,0.314395,0.865882,0.017529,0.191179,0.176478,0.000000,0.002463,0.287138,0.293775,0.936429,-0.062330,0.270991,0.272443,0.936497,-0.038853,0.303737,0.258652,0.882558,,,,-0.031935,0.281565,0.284006,-0.039896,0.233920,0.314392,,,,0.002616,0.287335,0.293724,-0.062307,0.271232,0.272519,-0.038869,0.303355,0.258380
66,1.100000,0.334193,0.727160,0.300401,-0.518953,0.017814,0.192742,0.175881,0.000281,-0.031831,0.285004,0.281052,0.867505,-0.039552,0.239054,0.312778,0.865882,0.017817,0.192743,0.175884,0.000000,0.002517,0.291377,0.290909,0.936429,-0.062236,0.274545,0.269992,0.936497,-0.038862,0.307028,0.255428,0.882558,,,,-0.031883,0.285441,0.281296,-0.039677,0.238528,0.312782,,,,0.002663,0.291595,0.290846,-0.062199,0.274817,0.270072,-0.038869,0.306627,0.255162
67,1.116667,0.336546,0.730918,0.292279,-0.516787,0.018322,0.194690,0.175332,0.000265,-0.031924,0.288515,0.278822,0.888714,-0.039368,0.243096,0.311367,0.872286,0.018324,0.194691,0.175336,0.000000,0.002382,0.295278,0.288569,0.932236,-0.062261,0.277670,0.267948,0.931572,-0.039085,0.310031,0.252806,0.886650,,,,-0.031967,0.288913,0.279017,-0.039494,0.242601,0.311369,,,,0.002529,0.295500,0.288521,-0.062233,0.277924,0.268047,-0.039089,0.309652,0.252558
68,1.133333,0.339523,0.733630,0.286188,-0.514400,0.018608,0.196392,0.174990,0.000249,-0.031909,0.291656,0.277023,0.888714,-0.039260,0.246718,0.310250,0.872286,0.018610,0.196392,0.174993,0.000000,0.002376,0.298647,0.286680,0.932236,-0.062215,0.280575,0.266301,0.931572,-0.039109,0.312758,0.250680,0.886650,,,,-0.031955,0.292057,0.277246,-0.039369,0.246252,0.310232,,,,0.002523,0.298852,0.286638,-0.062194,0.280836,0.266386,-0.039120,0.312358,0.250430
69,1.150000,0.341194,0.735706,0.280460,-0.513483,0.019152,0.198246,0.174648,0.000224,-0.031640,0.294503,0.275606,0.885806,-0.038752,0.249934,0.309377,0.910821,0.019155,0.198247,0.174651,0.000000,0.002627,0.301757,0.285132,0.970772,-0.061912,0.283164,0.265060,0.927263,-0.038966,0.315258,0.249023,0.896923,,,,-0.031770,0.294881,0.275828,-0.038774,0.249578,0.309383,,,,0.002711,0.301829,0.285094,-0.061803,0.283434,0.265060,-0.039007,0.314894,0.248833
70,1.166667,0.341851,0.736600,0.277143,-0.513566,0.019554,0.200286,0.174103,0.000206,-0.031352,0.296990,0.274576,0.885806,-0.038265,0.252601,0.308626,0.910821,0.019556,0.200286,0.174106,0.000000,0.002909,0.304406,0.283995,0.970772,-0.061608,0.285494,0.264153,0.927263,-0.038792,0.317561,0.247882,0.896923,,,,-0.031473,0.297342,0.274812,-0.038269,0.252253,0.308623,,,,0.002967,0.304485,0.283954,-0.061518,0.285784,0.264155,-0.038815,0.317187,0.247688
71,1.183333,0.341740,0.736495,0.274966,-0.514959,0.019779,0.202602,0.173294,0.000220,-0.031066,0.299358,0.273747,0.897453,-0.037719,0.255020,0.307915,0.918914,0.019782,0.202603,0.173297,0.000000,0.003206,0.306900,0.283028,0.977020,-0.061323,0.287747,0.263458,0.925440,-0.038665,0.319851,0.247038,0.903630,,,,-0.031177,0.299696,0.273951,-0.037732,0.254697,0.307936,,,,0.003285,0.306943,0.283009,-0.061195,0.288016,0.263438,-0.038749,0.319524,0.246851
72,1.200000,0.342560,0.735842,0.273458,-0.516149,0.019967,0.204845,0.172374,0.000232,-0.030540,0.301762,0.272843,0.897453,-0.037034,0.257485,0.307120,0.918914,0.019969,0.204846,0.172377,0.000000,0.003764,0.309341,0.281975,0.977020,-0.060831,0.290115,0.262693,0.925440,-0.038255,0.322200,0.246125,0.903630,,,,-0.030670,0.302111,0.273064,-0.037055,0.257130,0.307156,,,,0.003858,0.309403,0.281938,-0.060709,0.290382,0.262672,-0.038321,0.321878,0.245925
73,1.216667,0.342511,0.736145,0.270395,-0.517361,0.020654,0.207146,0.171404,0.001045,-0.029895,0.304237,0.271684,0.881098,-0.036086,0.260064,0.306151,0.922722,0.020657,0.207147,0.171407,0.269972,0.004409,0.311990,0.280665,0.971939,-0.060173,0.292427,0.261686,0.912484,-0.037788,0.324541,0.244916,0.922368,,,,-0.030064,0.304604,0.271934,-0.036156,0.259768,0.306203,0.022587,0.205319,0.170199,0.004465,0.312080,0.280625,-0.060128,0.292772,0.261727,-0.037921,0.324294,0.244783
74,1.233333,0.344715,0.734838,0.267795,-0.519105,0.020601,0.209433,0.170061,0.000215,-0.029208,0.306971,0.270277,0.881098,-0.035183,0.262947,0.304972,0.922722,0.020603,0.209434,0.170064,0.269972,0.005161,0.314744,0.278989,0.971939,-0.059561,0.295135,0.260538,0.912484,-0.037275,0.327167,0.243479,0.922368,,,,-0.029324,0.307304,0.270502,-0.035197,0.262614,0.304992,,,,0.005239,0.314802,0.278955,-0.059440,0.295405,0.260519,-0.037344,0.326838,0.243286
75,1.250000,0.347200,0.734429,0.264459,-0.519738,0.020934,0.211634,0.168640,0.000217,-0.028364,0.309862,0.268434,0.890085,-0.034171,0.266077,0.303458,0.914762,0.020936,0.211635,0.168643,0.000000,0.006050,0.317689,0.276922,0.971618,-0.058766,0.297964,0.258928,0.929260,-0.036562,0.329875,0.241540,0.903095,,,,-0.028487,0.310214,0.268666,-0.034184,0.265737,0.303485,,,,0.006141,0.317746,0.276885,-0.058657,0.298224,0.258900,-0.036626,0.329546,0.241346
76,1.266667,0.347452,0.737972,0.258700,-0.517445,0.022843,0.213787,0.167545,0.000631,-0.027421,0.312881,0.265992,0.859541,-0.033031,0.269486,0.301531,0.927463,0.022846,0.213788,0.167548,0.668646,0.006913,0.321048,0.274483,0.953121,-0.057712,0.300659,0.256544,0.832361,-0.035676,0.332509,0.238832,0.937910,,,,-0.027610,0.313300,0.266315,-0.033159,0.269272,0.301680,0.023554,0.213002,0.166750,0.007003,0.321012,0.274322,-0.057831,0.301241,0.256856,-0.035883,0.332372,0.238833
77,1.283333,0.351728,0.738107,0.252371,-0.517489,0.023089,0.215641,0.165969,0.000685,-0.026571,0.316069,0.263366,0.859541,-0.031932,0.273168,0.299536,0.927463,0.023091,0.215642,0.165972,0.668646,0.007814,0.324364,0.271518,0.953121,-0.056918,0.303709,0.254285,0.832361,-0.035011,0.335318,0.235992,0.937910,,,,-0.026782,0.316519,0.263698,-0.032022,0.272925,0.299655,0.023835,0.214714,0.165118,0.007871,0.324363,0.271407,-0.056998,0.304293,0.254559,-0.035224,0.335200,0.235995
78,1.300000,0.357015,0.738406,0.246226,-0.516401,0.023343,0.217354,0.164389,0.000715,-0.025645,0.319365,0.260471,0.858714,-0.030897,0.277038,0.297326,0.933602,0.023345,0.217355,0.164392,0.608123,0.008795,0.327722,0.268319,0.973507,-0.056060,0.306921,0.251736,0.846467,-0.034191,0.338203,0.232846,0.939746,,,,-0.025849,0.319785,0.260789,-0.030991,0.276821,0.297448,0.024111,0.216338,0.163477,0.008866,0.327762,0.268252,-0.056140,0.307479,0.251980,-0.034406,0.338093,0.232851
79,1.316667,0.362519,0.739144,0.238974,-0.514916,0.023610,0.218919,0.162925,0.000743,-0.024821,0.322669,0.257414,0.858714,-0.029924,0.281010,0.295043,0.933602,0.023612,0.218920,0.162928,0.608123,0.009664,0.331133,0.264943,0.973507,-0.055289,0.310099,0.249052,0.846467,-0.033489,0.341020,0.229500,0.939746,,,,-0.025033,0.323124,0.257745,-0.029999,0.280792,0.295130,0.024420,0.217775,0.161995,0.009732,0.331179,0.264886,-0.055361,0.310636,0.249259,-0.033708,0.340923,0.229522
80,1.333333,0.367060,0.740282,0.231870,-0.513308,0.023994,0.220534,0.161428,0.000748,-0.024152,0.325835,0.254334,0.851913,-0.029085,0.284814,0.292681,0.941783,0.023997,0.220536,0.161431,0.569797,0.010356,0.334447,0.261589,0.975002,-0.054642,0.313107,0.246301,0.863635,-0.032937,0.343707,0.226147,0.948344,,,,-0.024371,0.326274,0.254667,-0.029145,0.284619,0.292793,0.024807,0.219354,0.160478,0.010424,0.334501,0.261539,-0.054740,0.313615,0.246472,-0.033128,0.343630,0.226171
81,1.350000,0.358015,0.749464,0.224319,-0.509716,0.028626,0.223869,0.160270,0.000591,-0.023510,0.328665,0.251581,0.851913,-0.027885,0.287860,0.290225,0.941783,0.028628,0.223870,0.160273,0.569797,0.010660,0.338243,0.259216,0.975002,-0.053545,0.315071,0.243258,0.863635,-0.032378,0.346056,0.223121,0.948344,,,,-0.023681,0.329034,0.251845,-0.028114,0.287780,0.290442,0.029670,0.223277,0.159690,0.011081,0.337464,0.258443,-0.054075,0.316151,0.243945,-0.032723,0.346052,0.223214
82,1.366667,0.361545,0.749724,0.218958,-0.509173,0.029054,0.225428,0.158415,0.000582,-0.022699,0.331320,0.248672,0.878315,-0.026901,0.290986,0.287827,0.925522,0.029057,0.225429,0.158417,0.675108,0.011502,0.340993,0.256042,0.698079,-0.052768,0.317623,0.240646,0.638465,-0.031693,0.348363,0.220042,0.914876,,,,-0.022866,0.331693,0.248936,-0.027107,0.290908,0.288027,0.030066,0.224829,0.157861,0.011937,0.340183,0.255257,-0.053368,0.318735,0.241349,-0.032018,0.348382,0.220142
83,1.383333,0.376305,0.740413,0.215818,-0.513426,0.024963,0.225526,0.155548,0.000773,-0.022023,0.333729,0.245672,0.878315,-0.026207,0.293992,0.285434,0.925522,0.024966,0.225527,0.155551,0.675108,0.012569,0.342670,0.252078,0.698079,-0.052597,0.320659,0.238560,0.638465,-0.031317,0.350630,0.217053,0.914876,,,,-0.022160,0.334213,0.245998,-0.026243,0.293868,0.285543,0.025798,0.224320,0.154591,0.012723,0.342705,0.252055,-0.052954,0.321022,0.238708,-0.031443,0.350600,0.217072
