,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035
,ID,"C3560","C3560","C3560","C3580","C3580","C3580","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3650","C3650","C3650","C3660","C3660","C3660","C3670","C3670","C3670","C3680","C3680","C3680"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.150000,112.474686,146.296265,20.462439,58.205711,150.719315,18.675812,2.641703,152.661774,92.071617,159.701904,160.755142,97.428734,15.589005,151.519989,54.674637,150.762863,152.338730,58.888775,84.549744,153.454208,14.444296,14.250968,180.079056,162.110764,51.083096,197.430450,192.642792,80.495636,196.440170,199.172638,105.983864,199.792358,193.498825,147.729111,178.013657,157.693573
10,0.166667,112.469833,146.312836,20.459383,58.205013,150.713287,18.678726,2.635807,152.667984,92.068596,159.698410,160.756882,97.426949,15.589285,151.515900,54.675404,150.762604,152.334946,58.891228,84.550209,153.450134,14.444822,14.248709,180.076157,162.108444,51.081367,197.428818,192.642502,80.492973,196.442490,199.174026,105.982773,199.796356,193.501801,147.729431,178.017792,157.694809
11,0.183333,112.475166,146.296936,20.463303,58.207390,150.715576,18.678755,2.637493,152.664597,92.067657,159.701965,160.755478,97.427811,15.586004,151.518433,54.678726,150.747849,152.360687,58.872330,84.551804,153.452606,14.444576,14.250059,180.079224,162.110703,51.080437,197.428711,192.642075,80.494057,196.437515,199.172485,105.984093,199.795319,193.499176,147.728531,178.013275,157.696136
12,0.200000,112.469109,146.311646,20.458639,58.203991,150.716537,18.678391,2.639886,152.665161,92.071053,159.702164,160.757751,97.429413,15.587733,151.519226,54.676178,150.762909,152.336899,58.888470,84.553780,153.451935,14.446477,14.252075,180.072495,162.112366,51.082779,197.429108,192.643463,80.493805,196.441452,199.177170,105.985214,199.795761,193.503189,147.729889,178.016205,157.696930
13,0.216667,112.469444,146.313141,20.455317,58.204082,150.719360,18.673641,2.636744,152.669693,92.067276,159.704651,160.758438,97.420944,15.587027,151.523453,54.673359,150.763885,152.337845,58.887489,84.534248,153.433395,14.442788,14.249546,180.082031,162.107605,51.082230,197.429337,192.642624,80.495972,196.440994,199.172653,105.983070,199.798355,193.500961,147.725174,178.016159,157.695236
14,0.233333,112.474472,146.299957,20.455301,58.203701,150.719482,18.679081,2.638289,152.659836,92.069473,159.702240,160.756760,97.427094,15.587747,151.515198,54.678055,150.764343,152.340836,58.883987,84.549538,153.452240,14.444100,14.250642,180.076004,162.112350,51.083260,197.430313,192.641968,80.492561,196.443100,199.175751,105.984123,199.794128,193.502319,147.729767,178.016769,157.695877
15,0.250000,112.476624,146.301239,20.459770,58.208496,150.716797,18.674240,2.637316,152.669113,92.067093,159.702942,160.758301,97.421486,15.587385,151.516891,54.676556,150.765656,152.339462,58.884830,84.551437,153.449997,14.445987,14.248248,180.081223,162.111923,51.084129,197.431061,192.641983,80.495483,196.438782,199.171600,105.984879,199.793045,193.501328,147.729752,178.018616,157.695084
16,0.266667,112.473839,146.292542,20.466745,58.193527,150.725494,18.666784,2.640443,152.664856,92.070633,159.701859,160.755020,97.420403,15.586875,151.522003,54.673176,150.767914,152.340530,58.890423,84.553253,153.452255,14.445758,14.252212,180.077484,162.113419,51.084518,197.428329,192.643097,80.493408,196.442734,199.177917,105.986137,199.795090,193.500854,147.730103,178.016510,157.699280
17,0.283333,112.475311,146.294617,20.463900,58.191906,150.724472,18.666637,2.641381,152.664963,92.069138,159.705246,160.757950,97.426727,15.584904,151.522949,54.673409,150.753906,152.364471,58.873051,84.549835,153.450424,14.443952,14.250333,180.076065,162.110809,51.082054,197.429092,192.643463,80.494171,196.440033,199.174026,105.983574,199.797073,193.501602,147.728485,178.014725,157.696960
18,0.300000,112.476715,146.294662,20.463497,58.188839,150.728806,18.664827,2.638915,152.668442,92.068855,159.703232,160.758789,97.421684,15.584511,151.522171,54.676445,150.763931,152.336044,58.886181,84.548752,153.449799,14.446396,14.251683,180.077881,162.109528,51.082348,197.429657,192.641098,80.492676,196.444443,199.177292,105.984848,199.796097,193.503143,147.730240,178.015594,157.691879
19,0.316667,112.470963,146.309326,20.461739,58.206730,150.720001,18.674553,2.638436,152.667130,92.072510,159.705307,160.761307,97.427574,15.585176,151.516357,54.678776,150.752441,152.362823,58.873642,84.551506,153.450531,14.443491,14.252039,180.075607,162.112350,51.081326,197.427856,192.642990,80.494484,196.436813,199.175797,105.982849,199.794785,193.499313,147.728058,178.013382,157.695770
20,0.333333,112.476288,146.296005,20.461008,58.192451,150.724976,18.668291,2.636136,152.669815,92.068344,159.702286,160.757980,97.426735,15.589944,151.520004,54.676140,150.766052,152.338272,58.885139,84.535583,153.435196,14.441342,14.250309,180.081314,162.108582,51.081440,197.427505,192.641388,80.492310,196.442596,199.176956,105.983215,199.796692,193.502747,147.727753,178.013748,157.692154
21,0.350000,112.474396,146.296707,20.460337,58.206768,150.716476,18.676220,2.639814,152.667404,92.072006,159.704269,160.755600,97.420937,15.586054,151.517456,54.673565,150.750687,152.362000,58.872097,84.535355,153.437088,14.441563,14.251517,180.073395,162.110779,51.085392,197.428864,192.643036,80.496101,196.439331,199.176300,105.982651,199.792313,193.501633,147.728577,178.011810,157.695190
22,0.366667,112.476334,146.297653,20.461395,58.204544,150.722076,18.676018,2.638180,152.666031,92.070602,159.704910,160.757996,97.422897,15.587723,151.522888,54.675671,150.766083,152.337357,58.886448,84.551956,153.453293,14.444618,14.253573,180.075958,162.111282,51.084381,197.426697,192.642715,80.496712,196.441544,199.177643,105.987122,199.793823,193.500534,147.733322,178.014999,157.694641
23,0.383333,112.472847,146.313370,20.455063,58.205364,150.722656,18.674726,2.641286,152.663254,92.065651,159.702698,160.759872,97.423042,15.586836,151.517319,54.676991,150.764420,152.339371,58.885727,84.551994,153.451279,14.445211,14.250518,180.079865,162.110474,51.082497,197.427429,192.643021,80.496933,196.438080,199.171951,105.983185,199.793854,193.498428,147.730042,178.015457,157.695404
24,0.400000,112.475098,146.294586,20.458549,58.202656,150.718704,18.675158,2.641812,152.664108,92.066071,159.721420,160.768265,97.426018,15.586219,151.522354,54.676018,150.763260,152.335571,58.890404,84.552246,153.454147,14.446832,14.250805,180.078415,162.113129,51.083004,197.427353,192.644379,80.498512,196.441025,199.175873,105.984047,199.792282,193.500916,147.729904,178.011520,157.691727
25,0.416667,112.473328,146.297974,20.464554,58.190960,150.728943,18.664806,2.637889,152.669296,92.068123,159.705261,160.757523,97.426086,15.585608,151.522934,54.676773,150.753265,152.362579,58.877483,84.551872,153.451935,14.446309,14.248616,180.084808,162.108734,51.080093,197.429382,192.642624,80.494629,196.438156,199.173477,105.983627,199.793884,193.501022,147.729004,178.019135,157.695282
26,0.433333,112.476173,146.295380,20.461515,58.207649,150.722214,18.674438,2.642953,152.665375,92.067696,159.704544,160.756592,97.425461,15.587423,151.521912,54.675770,150.752518,152.363800,58.875248,84.549812,153.451355,14.445843,14.252160,180.077499,162.111954,51.083656,197.426834,192.643005,80.499443,196.435745,199.174988,105.987343,199.790588,193.499557,147.731552,178.015228,157.695282
27,0.450000,112.474739,146.296417,20.458088,58.188705,150.727493,18.664820,2.637569,152.668930,92.067459,159.720840,160.769501,97.425301,15.586482,151.520172,54.675201,150.763687,152.337265,58.887947,84.548874,153.451981,14.446890,14.250560,180.081696,162.113403,51.083549,197.427933,192.643845,80.497681,196.441284,199.173157,105.987274,199.792282,193.501083,147.731476,178.014648,157.692139
28,0.466667,112.475555,146.297134,20.459846,58.190788,150.725922,18.670540,2.640204,152.664413,92.069534,159.702499,160.756760,97.425278,15.587621,151.517700,54.677044,150.764114,152.336365,58.889179,84.551552,153.456863,14.443104,14.249973,180.078995,162.110168,51.084724,197.429321,192.642685,80.498161,196.434860,199.175964,105.986526,199.790817,193.501755,147.731857,178.015244,157.694946
29,0.483333,112.469383,146.310074,20.458460,58.190865,150.725403,18.667110,2.636418,152.665482,92.068123,159.699173,160.753616,97.423759,15.584634,151.520966,54.676281,150.762817,152.337219,58.886143,84.551331,153.454147,14.446017,14.248851,180.080856,162.111069,51.083073,197.427414,192.643890,80.496437,196.436310,199.173553,105.983139,199.794556,193.501587,147.727219,178.015335,157.694656
30,0.500000,112.476189,146.291321,20.464928,58.190754,150.729721,18.667337,2.636626,152.671448,92.071007,159.702591,160.755478,97.424202,15.587635,151.519058,54.676506,150.763824,152.337296,58.887825,84.550293,153.448517,14.448893,14.250067,180.082275,162.109955,51.082600,197.427933,192.638779,80.496933,196.438202,199.173813,105.985695,199.796173,193.500198,147.728867,178.016907,157.693054
