Format Version,1.23,Take Name,shake_nziz2,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-09 01.45.41.738 PM,Total Frames in Take,583,Total Exported Frames,583,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.796768,160.211716,212.031113,66.650581,72.685257,248.365082,26.707733,294.445526,284.257385,45.768425,315.503937,252.718719,95.610603,304.062256,277.262329,59.953789,269.582184,327.610046,59.548084,301.773773,281.246826
7,0.116667,-21.090363,5.336743,13.446788,61.432117,173.021591,205.132843,0.181096,26.943918,294.138916,284.656189,0.976987,46.102734,315.673004,252.949173,0.904412,95.831993,303.647156,277.686310,0.980012,60.284267,269.066071,328.091583,0.945318,59.760067,301.412323,281.774414,0.966165,61.423534,173.143723,205.199783,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.766518,160.216660,212.028381,66.635612,72.704391,248.352493,26.975132,294.225311,284.650299,46.046337,315.407288,253.218262,95.897873,303.691772,277.694092,60.181843,269.114136,327.904388,59.821781,301.498871,281.690613
8,0.133333,-20.993883,5.152340,13.196467,61.468586,172.940521,205.214157,0.193366,26.969128,294.055939,284.735596,0.976987,46.334984,315.574677,253.144180,0.904412,95.915619,303.372681,278.092468,0.980012,60.037830,268.830719,328.290283,0.945318,59.819065,301.237518,282.013000,0.966165,61.460052,173.062607,205.281219,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.753685,160.233109,212.005035,66.628548,72.720482,248.340103,27.001659,294.125336,284.741882,46.281479,315.300415,253.422623,96.000015,303.412964,278.092957,59.923508,268.887695,328.085449,59.869961,301.345001,281.932587
9,0.150000,-20.882864,4.981739,13.018296,61.403721,172.990860,205.138153,0.190098,26.816408,294.037140,284.726654,0.980772,46.344242,315.572754,253.246628,0.901379,95.805107,303.238556,278.367035,0.976618,59.669350,268.679138,328.367401,0.939651,59.689747,301.163055,282.143677,0.964114,61.395149,173.112839,205.205383,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.719460,160.280228,211.960068,66.608589,72.760834,248.309860,26.857046,294.097443,284.728851,46.289268,315.303802,253.529190,95.881706,303.274597,278.361359,59.551472,268.736572,328.170349,59.745380,301.278259,282.061890
10,0.166667,-20.815666,4.872915,12.936300,61.307396,173.042419,205.058807,0.187888,26.617809,294.027863,284.695313,0.980148,46.231564,315.583649,253.282608,0.903335,95.626869,303.190582,278.502838,0.981458,59.354424,268.602478,328.384277,0.945829,59.501625,301.134888,282.194885,0.962691,61.298752,173.164337,205.126144,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.671280,160.335663,211.903244,66.583359,72.802422,248.282715,26.627504,294.106659,284.696991,46.197803,315.310059,253.553741,95.689667,303.228729,278.512939,59.267200,268.650604,328.191833,59.550148,301.243378,282.104614
11,0.183333,-20.728054,4.828386,12.908255,61.163841,173.133698,204.948929,0.187561,26.424370,294.006836,284.734100,0.982635,46.070248,315.605774,253.371124,0.904386,95.440613,303.166199,278.617310,0.975733,59.117081,268.510559,328.414612,0.943060,59.311687,301.111572,282.273834,0.966610,61.155155,173.255524,205.016449,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.633316,160.391846,211.843491,66.556160,72.847664,248.242996,26.454914,294.067505,284.719757,45.997272,315.361816,253.656540,95.532608,303.195587,278.627167,59.013824,268.583130,328.225006,59.365353,301.192902,282.182495
12,0.200000,-20.523649,4.751614,12.840650,61.036900,173.205612,204.757889,0.186438,26.239895,293.823181,284.903931,0.982635,45.951614,315.518372,253.648880,0.904386,95.271988,302.960205,278.934052,0.975733,58.843700,268.154938,328.550171,0.943060,59.135723,300.915649,282.523163,0.966610,61.028179,173.327209,204.825806,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.616478,160.458572,211.763550,66.532127,72.895233,248.207199,26.265699,293.922913,284.908936,45.901699,315.212311,253.917221,95.350731,303.013947,278.934998,58.738712,268.184143,328.356598,59.186104,301.038971,282.442474
13,0.216667,-20.288029,4.547164,12.773360,61.133732,173.215286,204.747391,0.194748,26.017611,293.505005,285.246124,0.974219,45.843109,315.328369,254.152679,0.897476,95.070183,302.675598,279.572144,0.976160,58.461372,267.666229,328.910950,0.944465,58.921036,300.611603,283.017334,0.961065,61.124733,173.336594,204.815781,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.575317,160.462662,211.739700,66.528442,72.959427,248.167480,26.068695,293.555603,285.244446,45.778790,315.059418,254.438904,95.160698,302.706329,279.561127,58.338272,267.733887,328.708374,58.966831,300.731659,282.946411
14,0.233333,-20.041660,4.365760,12.592871,60.961346,173.147736,204.801575,0.196524,25.741222,293.175659,285.645020,0.980626,45.733055,315.087769,254.720963,0.901357,94.833107,302.240356,280.288055,0.975109,57.959698,267.099670,329.335663,0.940303,58.666508,300.229858,283.578369,0.967142,60.952297,173.268799,204.870407,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.240326,159.944855,211.424667,66.505188,72.979805,248.146652,25.757114,293.251526,285.644501,45.671932,314.815887,255.000290,94.922546,302.283234,280.296631,57.858231,267.167572,329.130432,58.723778,300.314758,283.496002
15,0.250000,-19.782770,4.178816,12.598405,61.012543,173.196854,204.723923,0.182550,25.402409,292.815338,286.002136,0.977710,45.461418,314.891144,255.238419,0.901405,94.499199,301.986725,280.896118,0.980170,57.519745,266.580353,329.672028,0.946916,58.325253,299.918152,284.067444,0.964634,61.003139,173.317581,204.793274,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.212517,159.942245,211.427582,66.476196,73.009857,248.135605,25.436840,292.896973,285.992371,45.407124,314.616608,255.516327,94.564758,302.031403,280.895111,57.419559,266.630951,329.491821,58.379707,300.015747,283.980713
