Format Version,1.23,Take Name,shake_circum2_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-09 01.46.40.182 PM,Total Frames in Take,572,Total Exported Frames,572,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-27.627775,0.258328,11.706367,57.849781,185.686783,173.879227,0.199915,15.655119,314.619232,235.351471,0.979161,37.618458,332.646759,203.277649,0.912724,84.859375,324.246826,233.728928,0.984079,44.876789,295.169922,284.286926,0.934403,48.571301,321.981445,234.695251,0.975119,57.834545,185.815659,173.930527,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.250343,159.553101,180.180161,69.519722,71.812469,220.820496,,,,15.726129,314.662506,235.357437,37.543270,332.487457,203.579041,84.909889,324.285248,233.734375,44.779617,295.256500,284.059082,48.622139,321.972443,234.610168,,,
7,0.116667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.255081,159.546539,180.191071,69.519081,71.802704,220.827682,,,,15.721626,314.470734,235.664749,37.536491,332.407990,203.962906,84.900558,324.132782,234.044510,44.797447,295.001984,284.328430,48.703854,321.833923,234.917923,,,
8,0.133333,-27.370844,0.236299,11.677277,57.868057,185.631271,173.947418,0.215619,15.672997,314.298523,235.972702,0.979161,37.659706,332.463593,203.992599,0.912724,84.880798,323.914276,234.433121,0.984079,44.861191,294.622040,284.837250,0.934403,48.591553,321.654510,235.368408,0.975119,57.852829,185.759918,173.999298,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.255768,159.545563,180.204865,69.521194,71.800919,220.836334,,,,15.712351,314.341095,235.984604,37.587185,332.286102,204.309204,84.914398,323.968109,234.417282,44.743732,294.706238,284.600098,48.708607,321.651428,235.293045,,,
9,0.150000,-27.264688,0.268925,11.679966,57.830196,185.611298,173.963989,0.206528,15.696179,314.172638,236.249817,0.985201,37.670025,332.392059,204.291855,0.907465,84.905266,323.776062,234.691528,0.983651,44.905796,294.399200,285.062408,0.930574,48.616024,321.522461,235.641800,0.965189,57.815025,185.739838,174.016113,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.254349,159.523926,180.238037,69.521851,71.799271,220.842087,,,,15.745591,314.205353,236.273117,37.588852,332.217743,204.593674,84.946671,323.820435,234.684280,44.784294,294.479523,284.829437,48.727875,321.539337,235.557022,,,
10,0.166667,-27.157732,0.312138,11.754853,57.899460,185.647827,173.902039,0.213942,15.739590,314.057770,236.482025,0.980723,37.657974,332.355011,204.530411,0.908383,84.938789,323.720764,234.854004,0.989256,45.027271,294.216858,285.220428,0.930523,48.652634,321.435699,235.846039,0.971390,57.884251,185.776276,173.954407,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.258018,159.525238,180.241364,69.525139,71.798103,220.841400,,,,15.814798,314.071442,236.471939,37.567219,332.198181,204.848938,84.975525,323.740112,234.843079,44.914352,294.317566,284.987274,48.744385,321.458710,235.781631,,,
11,0.183333,-27.102810,0.408575,11.800032,57.804928,185.632004,173.926147,0.212817,15.769933,313.984283,236.708023,0.986294,37.630157,332.310944,204.733398,0.908274,84.966629,323.644379,234.960785,0.988510,45.146770,294.094574,285.372803,0.932830,48.682232,321.360718,236.018021,0.963688,57.789825,185.760391,173.978668,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.255508,159.523804,180.234695,69.523018,71.800789,220.842468,,,,15.818995,314.008514,236.704636,37.541607,332.152008,205.052017,85.000877,323.675018,234.960037,45.037247,294.190125,285.146820,48.797028,321.369141,235.929428,,,
12,0.200000,-27.023144,0.459107,11.893471,57.843239,185.625839,173.926453,0.207197,15.769497,313.845703,236.952530,0.986294,37.561577,332.240112,204.970322,0.908274,84.953262,323.580994,235.113205,0.988510,45.241531,293.918671,285.544464,0.932830,48.672935,321.257721,236.222626,0.963688,57.828079,185.754135,173.979187,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.260223,159.525940,180.231033,69.523331,71.801834,220.836639,,,,15.831244,313.876160,236.945511,37.470547,332.088837,205.280319,84.993156,323.622345,235.099594,45.124542,294.019226,285.316193,48.779343,321.236450,236.161499,,,
13,0.216667,-26.921934,0.452165,11.911970,57.837135,185.637985,173.935684,0.226265,15.721910,313.731659,237.190063,0.982698,37.506447,332.190125,205.239639,0.910811,84.902260,323.493958,235.365326,0.985236,45.202652,293.728851,285.745544,0.931126,48.622776,321.156250,236.472046,0.968865,57.821938,185.766190,173.988647,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.263100,159.542206,180.202438,69.525421,71.807343,220.837952,,,,15.796341,313.771179,237.189514,37.416794,332.021851,205.565582,84.915352,323.531982,235.365891,45.088097,293.822540,285.517426,48.739468,321.153259,236.373962,,,
14,0.233333,-26.811207,0.473538,11.990622,57.827553,185.654724,173.916077,0.223127,15.637577,313.580719,237.459457,0.986982,37.372135,332.124237,205.524231,0.908550,84.805824,323.419617,235.587845,0.989031,45.185722,293.514740,285.947815,0.929811,48.529892,321.041412,236.724533,0.965184,57.812271,185.782822,173.969299,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.264137,159.522507,180.234894,69.529526,71.804184,220.840668,,,,15.679535,313.611176,237.464264,37.300247,331.952576,205.839157,84.826622,323.457428,235.579819,45.075798,293.610321,285.707825,48.648937,321.049255,236.652695,,,
15,0.250000,-26.704260,0.475157,12.102485,57.882874,185.661636,173.892670,0.215489,15.529279,313.394531,237.714951,0.981546,37.202782,332.035736,205.795105,0.904516,84.678665,323.356689,235.799454,0.987453,45.155987,293.288544,286.138763,0.932286,48.407955,320.913574,236.964371,0.964263,57.867416,185.789597,173.946152,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.259956,159.528412,180.231171,69.528824,71.809143,220.839951,,,,15.599786,313.413940,237.704941,37.108620,331.873291,206.127701,84.716125,323.386963,235.785202,45.031044,293.385559,285.918884,48.519070,320.929382,236.875870,,,
