Format Version,1.23,Take Name,shake_ear2ear2_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-09 01.46.14.591 PM,Total Frames in Take,673,Total Exported Frames,673,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.913269,72.199074,233.711105,-18.739321,152.557907,166.008041,53.230274,160.076447,205.761353,119.316757,159.123642,199.674988,-130.744537,204.145050,70.030533,-106.078331,232.338867,90.098206,-124.135498,210.896927,139.357330,-163.738312,166.025345,102.071411,-128.835281,210.136948,103.390457,,,
7,0.116667,-27.801435,-81.178246,-18.134521,-18.879890,108.992226,94.291672,0.351571,-130.731262,204.310776,70.074783,0.966894,-105.722084,232.734055,90.143852,0.877947,-124.118301,211.007034,139.327805,0.975067,-163.971542,165.813278,102.322052,0.873171,-128.779022,209.999512,103.270172,0.939133,-18.978989,109.090462,94.293129,0.000000,10.415889,-6.401367,3.748800,53.234398,135.868546,201.340469,0.883053,58.434216,72.855469,233.038132,0.736736,-18.460468,150.572662,166.374710,0.489545,53.849701,161.185364,206.313110,0.654562,119.114159,158.860703,199.635925,0.915993,58.915398,72.204002,233.711166,-18.745235,152.560471,166.005219,53.229603,160.082108,205.758560,119.316055,159.126770,199.672745,-130.734726,204.178543,70.068565,-106.045074,232.370453,90.101166,-124.076385,210.954361,139.401413,-163.660324,166.173111,102.145905,-128.805817,210.188202,103.421692,,,
8,0.133333,-27.685816,-81.119255,-17.992233,-18.851980,109.029930,94.250320,0.352331,-130.716232,204.353714,70.113708,0.966894,-105.681213,232.782242,90.143143,0.877947,-124.026917,211.079208,139.356567,0.975067,-163.926819,165.874985,102.413940,0.873171,-128.727051,210.056656,103.304466,0.939133,-18.951061,109.128181,94.251839,0.000000,10.413280,-6.400957,3.748010,53.237915,135.872742,201.334488,0.883795,58.437267,72.860992,233.034882,0.736736,-18.457085,150.576187,166.368790,0.489545,53.853577,161.189758,206.306015,0.654562,119.117912,158.863998,199.628311,0.915993,58.916462,72.209846,233.707535,-18.739939,152.567230,165.999268,53.233337,160.081360,205.750076,119.318832,159.131119,199.664795,-130.718765,204.224014,70.112831,-106.001350,232.416245,90.105942,-123.978935,211.032791,139.422211,-163.613602,166.234512,102.235085,-128.765564,210.239288,103.455666,,,
9,0.150000,-27.707209,-81.072380,-18.000759,-18.858269,109.032654,94.246109,0.345676,-130.701538,204.395798,70.167732,0.967568,-105.640831,232.818802,90.172874,0.878081,-123.960083,211.134277,139.404282,0.976594,-163.904480,165.937698,102.500374,0.872684,-128.686386,210.105453,103.355782,0.939950,-18.957312,109.130951,94.247681,0.000000,10.411771,-6.402554,3.746446,53.237518,135.880829,201.322937,0.881923,58.434155,72.869659,233.024918,0.737079,-18.456247,150.585739,166.355286,0.488828,53.853867,161.197968,206.293900,0.653377,119.118286,158.869965,199.617706,0.915944,58.916466,72.215302,233.701065,-18.738825,152.567230,165.984421,53.234657,160.097595,205.742706,119.319756,159.137848,199.652786,-130.720261,204.257172,70.163895,-105.955666,232.473953,90.128860,-123.925850,211.088470,139.465607,-163.604187,166.289398,102.316795,-128.687302,210.283035,103.526009,,,
10,0.166667,-27.634741,-81.014511,-17.894539,-18.866703,109.026672,94.267738,0.321770,-130.714325,204.400040,70.250366,0.969508,-105.627022,232.829025,90.213608,0.884737,-123.900253,211.176315,139.476089,0.977149,-163.892181,165.967361,102.638916,0.888621,-128.663803,210.128067,103.433075,0.939142,-18.965723,109.124985,94.269356,0.000000,10.404735,-6.401587,3.744067,53.239105,135.888382,201.312332,0.881895,58.434143,72.880753,233.021637,0.736116,-18.454939,150.591858,166.344650,0.492173,53.856525,161.206085,206.280273,0.654168,119.120712,158.874832,199.602798,0.916024,58.917686,72.229477,233.697037,-18.736382,152.569046,165.973541,53.234997,160.100769,205.727478,119.320686,159.142380,199.638397,-130.721542,204.280075,70.229515,-105.935356,232.488373,90.175385,-123.856018,211.144272,139.549377,-163.625366,166.277939,102.463333,-128.659409,210.310196,103.594543,,,
11,0.183333,-27.571777,-80.948036,-17.800207,-18.877380,109.022461,94.271248,0.318918,-130.723083,204.417770,70.331978,0.967368,-105.604095,232.849487,90.251419,0.884628,-123.827446,211.228394,139.546280,0.974412,-163.875610,166.012405,102.778862,0.888660,-128.632706,210.162643,103.509300,0.936294,-18.976366,109.120811,94.272926,0.000000,10.412063,-6.400553,3.743900,53.234108,135.876358,201.332932,0.882054,58.429749,72.864677,233.034058,0.735669,-18.460587,150.584274,166.368439,0.491928,53.851608,161.193420,206.304108,0.654923,119.115669,158.863068,199.625137,0.915891,58.913456,72.211395,233.710220,-18.742170,152.562546,165.997787,53.230068,160.091614,205.751862,119.316650,159.130539,199.660477,-130.726364,204.288437,70.314613,-105.910599,232.506500,90.214249,-123.768089,211.199127,139.624359,-163.610992,166.318436,102.592651,-128.646973,210.358261,103.671974,,,
12,0.200000,-27.630064,-80.897774,-17.838848,-18.908300,108.997620,94.324966,0.320416,-130.723633,204.440521,70.433601,0.967368,-105.575912,232.866638,90.324760,0.884628,-123.774185,211.271973,139.640472,0.974412,-163.871735,166.063156,102.918091,0.888660,-128.606216,210.195953,103.607353,0.936294,-19.007236,109.096016,94.326683,0.000000,10.416113,-6.400901,3.744371,53.234570,135.868439,201.348343,0.882057,58.430412,72.854584,233.045120,0.735669,-18.459969,150.578308,166.384354,0.491928,53.851856,161.185165,206.321304,0.654923,119.115982,158.855743,199.642654,0.915891,58.914799,72.203728,233.721573,-18.738773,152.549118,166.012512,53.228271,160.075821,205.768707,119.314812,159.124695,199.677338,-130.719803,204.326614,70.417931,-105.876900,232.526276,90.285332,-123.724915,211.236984,139.700668,-163.603958,166.370621,102.746666,-128.626114,210.377823,103.773674,,,
13,0.216667,-27.430792,-80.799339,-17.635027,-18.910975,109.011940,94.252243,0.339860,-130.740860,204.486694,70.557220,0.971240,-105.549362,232.906158,90.402473,0.885982,-123.665901,211.318497,139.751328,0.978675,-163.842133,166.120148,103.102150,0.889428,-128.562576,210.242676,103.726944,0.938187,-19.009878,109.110359,94.254135,0.000000,10.414884,-6.399057,3.747124,53.230621,135.868484,201.346832,0.882196,58.430519,72.855751,233.045181,0.735917,-18.465504,150.573639,166.384079,0.493782,53.846687,161.185364,206.319077,0.653151,119.110794,158.859207,199.639008,0.915932,58.912865,72.205322,233.719986,-18.746164,152.551285,166.013321,53.225475,160.075180,205.764618,119.309647,159.127762,199.674561,-130.754135,204.377426,70.538582,-105.847870,232.553406,90.373428,-123.646919,211.266510,139.778229,-163.553833,166.439148,102.948631,-128.558060,210.437653,103.901382,,,
14,0.233333,-27.352938,-80.705971,-17.533644,-18.928431,108.995316,94.246376,0.321715,-130.748108,204.516525,70.690735,0.973327,-105.511215,232.931137,90.485176,0.884026,-123.560577,211.371597,139.870941,0.979647,-163.817047,166.179062,103.302742,0.890939,-128.514618,210.284256,103.854744,0.938027,-19.027283,109.093796,94.248375,0.000000,10.415483,-6.399195,3.750778,53.229328,135.875061,201.337051,0.883648,58.432686,72.862549,233.035233,0.736211,-18.467215,150.575882,166.373367,0.491058,53.843758,161.191956,206.309402,0.654149,119.108093,158.869858,199.630219,0.915786,58.915047,72.210442,233.710129,-18.748987,152.557556,166.001907,53.220699,160.087082,205.757309,119.309921,159.137268,199.665405,-130.756882,204.413132,70.665932,-105.809814,232.577560,90.453201,-123.520241,211.341904,139.935120,-163.546982,166.477325,103.134186,-128.517624,210.472641,104.015846,,,
15,0.250000,-27.339394,-80.653236,-17.460506,-18.885948,109.015549,94.342232,0.322264,-130.704254,204.539398,70.790909,0.972843,-105.442528,232.968201,90.533234,0.882835,-123.451981,211.463516,139.957458,0.979846,-163.752563,166.243240,103.472267,0.891962,-128.439133,210.340530,103.946938,0.938573,-18.984774,109.114052,94.344231,0.000000,10.420578,-6.398849,3.747550,53.230282,135.863159,201.349915,0.884141,58.430752,72.847328,233.042038,0.735895,-18.466036,150.571167,166.388779,0.492455,53.846157,161.179550,206.324661,0.653613,119.110268,158.854553,199.644211,0.915476,58.914043,72.194855,233.717850,-18.748667,152.547150,166.018326,53.221916,160.073624,205.770615,119.312706,159.123016,199.679718,-130.688675,204.432251,70.782448,-105.751915,232.616730,90.513672,-123.387474,211.438263,139.998657,-163.491806,166.542084,103.300713,-128.470734,210.525757,104.105286,,,
