Format Version,1.23,Take Name,ear2ear_21_10_2022,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.14.646 AM,Total Frames in Take,717,Total Exported Frames,717,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,95.032394,71.035767,-53.309898,-0.548646,110.533173,0.605472,0.311383,-143.239639,162.651550,-4.023839,0.953918,-94.511475,236.914902,3.741540,0.901963,-126.573700,192.360107,-9.919975,0.909992,-125.714394,190.034958,23.664459,0.927245,-121.980156,194.710999,-45.835571,0.852005,-0.425017,110.435493,0.557477,0.000000,-143.234512,162.695862,-3.822207,-94.498734,236.919769,3.351069,-126.553146,192.030884,-10.066846,-125.944748,189.848129,23.689045,-121.788116,195.177826,-45.524567,,,,,,,,,,,,
7,0.058333,94.694611,70.947937,-52.796818,-0.630848,110.471283,0.757425,0.359597,-143.215897,162.855026,-4.133520,0.936121,-94.378044,237.011429,3.958109,0.891222,-126.481056,192.548965,-9.906934,0.896226,-125.719193,190.136017,23.673656,0.923529,-121.783592,194.983932,-45.803478,0.832228,-0.507260,110.373520,0.709522,0.000000,-143.246017,162.959915,-3.902495,-94.408325,237.017334,3.524077,-126.470062,192.167801,-10.070953,-125.916451,189.902267,23.672701,-121.536911,195.488098,-45.435623,,,,,,,,,,,,
8,0.066667,94.636032,70.895271,-52.554058,-0.625491,110.485634,0.669609,0.350326,-143.150146,163.030701,-4.251037,0.936121,-94.246788,237.112259,4.125406,0.891222,-126.377312,192.724442,-9.914025,0.896226,-125.661789,190.210617,23.660187,0.923529,-121.630417,195.261566,-45.796993,0.832228,-0.501941,110.387886,0.621576,0.000000,-143.178879,163.110184,-4.025981,-94.267532,237.116104,3.698684,-126.369446,192.344742,-10.072629,-125.860138,190.001602,23.647585,-121.390434,195.766891,-45.424118,,,,,,,,,,,,
9,0.075000,94.544861,70.839249,-52.263004,-0.617601,110.512794,0.595314,0.341627,-143.076126,163.231583,-4.381804,0.942421,-94.104233,237.231552,4.309546,0.894941,-126.261536,192.924698,-9.922987,0.900272,-125.601944,190.302414,23.644077,0.928160,-121.455025,195.571609,-45.790070,0.835209,-0.494083,110.415054,0.547163,0.000000,-143.101974,163.296997,-4.162476,-94.114365,237.241425,3.889565,-126.256569,192.557663,-10.079161,-125.804100,190.098434,23.634218,-121.221825,196.067322,-45.423447,,,,,,,,,,,,
10,0.083333,94.379463,70.819656,-51.900391,-0.546776,110.623894,0.577043,0.331789,-142.968475,163.429855,-4.528322,0.942421,-93.977524,237.377838,4.491854,0.894941,-126.127747,193.131439,-9.943299,0.900272,-125.538155,190.405106,23.616779,0.928160,-121.246544,195.886765,-45.792145,0.835209,-0.423208,110.526245,0.528843,0.000000,-142.973175,163.484787,-4.325300,-93.978294,237.377274,4.075325,-126.132744,192.790283,-10.094735,-125.748856,190.211136,23.617617,-121.025459,196.367599,-45.428112,,,,,,,,,,,,
11,0.091667,94.234833,70.748787,-51.577721,-0.544712,110.649559,0.547532,0.325872,-142.884720,163.665359,-4.659958,0.948077,-93.808411,237.520432,4.652763,0.898047,-125.993805,193.358765,-9.962332,0.905882,-125.466942,190.537903,23.590956,0.927819,-121.045853,196.207458,-45.794727,0.844434,-0.421194,110.551872,0.499276,0.000000,-142.897903,163.731094,-4.463389,-93.810249,237.533218,4.245155,-125.981049,193.013092,-10.110910,-125.676140,190.338989,23.596449,-120.834587,196.673660,-45.440838,,,,,,,,,,,,
12,0.100000,94.172600,70.685135,-51.336082,-0.528358,110.694595,0.435310,0.302148,-142.797287,163.897690,-4.804512,0.948077,-93.644035,237.665985,4.786091,0.898047,-125.863579,193.585831,-9.998841,0.905882,-125.384064,190.667236,23.546812,0.927819,-120.865295,196.532227,-45.816341,0.844434,-0.404895,110.596901,0.386932,0.000000,-142.814377,163.945755,-4.591912,-93.646400,237.671341,4.386539,-125.839905,193.241470,-10.122039,-125.601631,190.478516,23.577103,-120.652039,197.012024,-45.536472,,,,,,,,,,,,
13,0.108333,93.996063,70.601875,-51.017509,-0.531673,110.707863,0.459231,0.318577,-142.707108,164.147278,-4.911886,0.945314,-93.454170,237.816757,4.923630,0.898638,-125.717567,193.819733,-10.012546,0.903731,-125.300911,190.827850,23.527485,0.924014,-120.652443,196.835693,-45.814880,0.850182,-0.408281,110.610085,0.410855,0.000000,-142.722183,164.218872,-4.705742,-93.447708,237.846405,4.519320,-125.706764,193.458389,-10.145210,-125.518784,190.617813,23.555775,-120.436920,197.306046,-45.512482,,,,,,,,,,,,
14,0.116667,93.617477,70.460106,-50.472874,-0.633575,110.612663,0.644228,0.359283,-142.648758,164.445755,-5.026439,0.945314,-93.228630,237.959534,5.130238,0.898638,-125.564667,194.084473,-10.006207,0.903731,-125.256630,191.012619,23.527777,0.924014,-120.384087,197.170959,-45.785984,0.850182,-0.510300,110.514664,0.595992,0.000000,-142.710419,164.564651,-4.790977,-93.271103,237.986374,4.679468,-125.549614,193.696579,-10.160903,-125.438065,190.753082,23.533512,-120.113625,197.672531,-45.421852,,,,,,,,,,,,
15,0.125000,93.579285,70.476753,-50.262718,-0.497907,110.782005,0.549641,0.327263,-142.517502,164.600723,-5.147255,0.932278,-93.125793,238.096298,5.275852,0.886610,-125.433594,194.256805,-10.023090,0.895532,-125.166534,191.091476,23.502544,0.920821,-120.209259,197.444229,-45.787659,0.830937,-0.374551,110.684166,0.501285,0.000000,-142.550232,164.643768,-4.938931,-93.132706,238.107178,4.843388,-125.454422,193.936630,-10.171841,-125.357224,190.876831,23.514290,-119.958076,197.925232,-45.426517,,,,,,,,,,,,
