Format Version,1.23,Take Name,specs_circumference_003,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-08 01.52.39.417 PM,Total Frames in Take,566,Total Exported Frames,566,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-34.981789,-1.949395,3.993607,110.001244,185.066467,186.630539,0.199910,75.321030,324.119080,227.182404,0.979674,101.978584,335.809692,195.736969,0.903073,144.976746,327.322052,231.912415,0.976348,97.580444,308.714355,280.978973,0.942230,108.721870,328.405914,229.210754,0.944670,109.994232,185.201767,186.663986,0.000000,11.077234,-5.010858,4.745956,110.222038,135.871445,202.670456,0.942344,117.426865,72.684601,233.621124,0.862266,37.519508,149.355423,169.331406,0.000001,110.397423,161.146820,207.883163,0.753632,175.544388,160.298935,199.846176,0.918879,117.754211,72.039497,234.218399,38.013832,151.150940,169.225983,109.601097,159.927307,207.214157,175.469879,160.639755,199.790161,,,,,,,75.361229,324.179626,227.158783,101.843399,335.732544,196.093613,145.037827,327.391083,231.922958,97.512741,308.795837,280.769073,108.823471,328.272034,229.076920,,,
7,0.116667,-34.919231,-2.336837,4.007776,110.000999,185.068771,186.661163,0.203110,74.535408,323.934601,227.174057,0.979057,101.314438,335.768036,195.885651,0.899841,144.150940,327.416077,232.283798,0.976164,96.566727,308.561798,281.073578,0.939068,107.907051,328.355164,229.387436,0.946881,109.993256,185.203995,186.694733,0.000000,10.398055,-5.566002,5.865128,110.108383,134.795776,202.240280,0.513442,117.988747,72.168617,234.149033,0.931245,37.632988,146.560638,167.774734,0.000000,109.779541,160.138626,207.106384,0.923603,175.032272,160.315201,199.930954,0.857276,117.750008,72.048164,234.213333,,,,109.585075,159.920898,207.196747,175.465454,160.653351,199.776291,,,,,,,74.590340,323.994843,227.154785,101.182808,335.688965,196.255692,144.213516,327.487976,232.285889,96.494514,308.646759,280.856873,107.993408,328.216919,229.251175,,,
8,0.133333,-34.818737,-2.858057,3.591361,109.951180,185.056320,186.648254,0.202281,74.120750,323.864807,227.036362,0.979057,101.270195,335.742706,196.085815,0.899841,143.674820,327.282196,232.961472,0.976164,95.513107,308.363098,281.155884,0.939068,107.467712,328.255127,229.646362,0.946881,109.943153,185.191483,186.682007,0.000000,10.398413,-5.573729,5.881371,110.098152,134.768402,202.250168,0.528708,117.988503,72.143929,234.161697,0.931245,37.626125,146.514175,167.771088,0.000000,109.762001,160.111267,207.115677,0.923603,175.016006,160.304214,199.952209,0.857276,117.748352,72.029449,234.224213,,,,109.554604,159.886230,207.209732,175.463608,160.643738,199.795670,,,,,,,74.166550,323.933746,227.032440,101.142578,335.662170,196.438522,143.735901,327.360474,232.975525,95.451073,308.448151,280.928619,107.550552,328.103516,229.510727,,,
9,0.150000,-34.728069,-3.097122,3.361600,109.842804,185.029663,186.721756,0.201962,73.907860,323.798431,227.153442,0.978808,101.244377,335.706757,196.379822,0.902150,143.429993,327.141541,233.481781,0.977771,94.976685,308.180389,281.366364,0.940180,107.243317,328.153564,229.961716,0.944335,109.834709,185.164764,186.755707,0.000000,10.396889,-5.579407,5.890350,110.087723,134.741394,202.267792,0.543346,117.982552,72.119324,234.182953,0.932390,37.618412,146.475906,167.779114,0.000000,109.747520,160.084427,207.132202,0.915852,175.002396,160.285919,199.976929,0.851825,117.739197,72.017120,234.241867,,,,109.533714,159.844284,207.231750,175.459549,160.628281,199.818512,,,,,,,73.963943,323.860168,227.138351,101.102654,335.629883,196.736465,143.480103,327.214661,233.488861,94.907700,308.264832,281.153381,107.347778,328.011169,229.826126,,,
10,0.166667,-34.552994,-3.197031,3.370904,109.871315,185.051361,186.655502,0.204683,73.725861,323.655853,227.461334,0.978808,101.090187,335.688660,196.760895,0.902150,143.235641,327.057709,233.893280,0.977771,94.739578,307.896332,281.654724,0.940180,107.052605,328.039825,230.327652,0.944335,109.863014,185.186371,186.689850,0.000000,10.392984,-5.573844,5.896288,110.080254,134.745590,202.251785,0.546115,117.984993,72.126953,234.171234,0.932390,37.606911,146.468796,167.767761,0.000000,109.737419,160.088959,207.114243,0.915852,174.991730,160.297638,199.953949,0.851825,117.739838,72.018509,234.232346,,,,109.521477,159.851730,207.213104,175.452820,160.643295,199.793961,,,,,,,73.761215,323.710571,227.446823,100.956757,335.615295,197.115707,143.302628,327.126801,233.903839,94.679741,307.989624,281.427734,107.143547,327.895935,230.203735,,,
11,0.183333,-34.461864,-3.319639,3.320262,109.830887,185.059952,186.636292,0.201409,73.525696,323.579773,227.587509,0.979750,100.953560,335.676147,196.968872,0.901925,143.019073,327.004669,234.182343,0.976847,94.424393,307.741516,281.802429,0.941100,106.843727,327.975159,230.536453,0.944783,109.822441,185.194901,186.670837,0.000000,10.384308,-5.579698,5.906294,110.070229,134.746368,202.232529,0.553332,117.980309,72.134331,234.163559,0.931479,37.599640,146.452713,167.736984,0.000000,109.722885,160.090500,207.090668,0.914225,174.978088,160.307938,199.938919,0.849152,117.733902,72.030281,234.223373,,,,109.502563,159.847702,207.191788,175.444839,160.654816,199.777954,,,,,,,73.570160,323.643585,227.564865,100.817749,335.598633,197.328659,143.074692,327.078217,234.190979,94.364601,307.828186,281.591644,106.939240,327.828827,230.401367,,,
12,0.200000,-34.493824,-3.435143,3.204577,109.701180,185.060760,186.640335,0.198328,73.353531,323.617432,227.428909,0.979750,100.873398,335.686096,196.881989,0.901925,142.829926,327.009155,234.217010,0.976847,94.091934,307.792114,281.709106,0.941100,106.665451,327.996796,230.469315,0.944783,109.692719,185.195709,186.674805,0.000000,10.381837,-5.583927,5.913587,110.059044,134.738510,202.229126,0.557793,117.973045,72.129105,234.164383,0.931479,37.590443,146.434860,167.726013,0.000000,109.708412,160.082870,207.085815,0.914225,174.964279,160.307190,199.940308,0.849152,117.726761,72.029831,234.222687,,,,109.484421,159.836014,207.188629,175.434555,160.653320,199.779236,,,,,,,73.376305,323.682678,227.416214,100.742599,335.609100,197.236298,142.900406,327.089081,234.226334,94.027847,307.875183,281.502625,106.767128,327.845581,230.324738,,,
13,0.216667,-34.607658,-3.621448,3.120715,109.755150,185.040970,186.687424,0.205049,73.176346,323.651245,227.085297,0.981104,100.795471,335.679718,196.612198,0.903305,142.626328,327.100555,234.110489,0.973951,93.734329,307.942200,281.467804,0.934885,106.474594,328.057831,230.234161,0.945021,109.746475,185.175980,186.721588,0.000000,10.377104,-5.588354,5.926837,110.049736,134.733521,202.216614,0.566555,117.973289,72.129158,234.159378,0.932043,37.582710,146.410858,167.703751,0.000000,109.693153,160.078323,207.070602,0.910916,174.949829,160.315735,199.932724,0.846552,117.726517,72.030998,234.217331,,,,109.460197,159.829681,207.174927,175.429550,160.662537,199.770447,,,,,,,73.218948,323.712921,227.075500,100.651459,335.606354,196.963593,142.696518,327.176422,234.123657,93.672150,308.037109,281.233337,106.567902,327.899048,230.113983,,,
14,0.233333,-34.725559,-3.772293,3.048279,109.731522,185.075470,186.655930,0.195343,72.973045,323.748352,226.674072,0.981104,100.674423,335.729431,196.256989,0.903305,142.400894,327.243683,233.892609,0.973951,93.381317,308.156311,281.146545,0.934885,106.260056,328.176544,229.910202,0.945021,109.722687,185.210556,186.689804,0.000000,10.377315,-5.586784,5.932258,110.035423,134.740295,202.198273,0.577033,117.965401,72.136887,234.141312,0.932043,37.566906,146.410355,167.686081,0.000000,109.676422,160.085083,207.052124,0.910916,174.932983,160.328842,199.913589,0.846552,117.716469,72.046234,234.197098,,,,109.438179,159.826904,207.160049,175.420166,160.677689,199.749878,,,,,,,73.028198,323.809418,226.664810,100.534142,335.649933,196.599365,142.452637,327.315613,233.898544,93.314705,308.236237,280.935059,106.360023,328.043060,229.782761,,,
15,0.250000,-34.886383,-3.889047,2.978844,109.700287,185.112381,186.585648,0.197031,72.824142,323.887482,226.138657,0.979104,100.595337,335.790344,195.754562,0.905458,142.234177,327.414520,233.511673,0.974999,93.106216,308.447540,280.701508,0.938174,106.102676,328.330261,229.441330,0.947601,109.691353,185.247559,186.619141,0.000000,10.377354,-5.587116,5.935759,110.037956,134.739517,202.190231,0.577249,117.971077,72.136749,234.133728,0.932715,37.569336,146.405151,167.676773,0.000000,109.677376,160.084305,207.043945,0.907996,174.934036,160.331863,199.906494,0.844645,117.724075,72.045540,234.189484,,,,109.434906,159.829147,207.151367,175.423523,160.678192,199.743347,,,,,,,72.876404,323.952576,226.134781,100.450653,335.708099,196.094147,142.296371,327.492737,233.514053,93.033676,308.527435,280.479004,106.205406,328.189026,229.325424,,,
