Format Version,1.23,Take Name,static_circumference17_9,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-17 10.56.41.524 AM,Total Frames in Take,205,Total Exported Frames,205,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-38.001232,-33.268978,162.121399,92.024818,174.146957,145.223419,1.888167,13.547063,179.708984,161.385666,0.727657,15.465714,151.496918,54.682636,0.968841,78.509079,140.619141,38.338459,0.000000,100.820862,195.958267,223.253082,0.000000,52.553886,198.133408,193.873749,0.488171,177.419815,186.523438,204.803696,0.000000,205.857483,166.588516,140.226776,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.263560,180.083313,162.115906,15.586902,151.524521,54.673344,51.079659,197.434647,192.636856,112.459976,146.311401,20.454109,58.186245,150.725388,18.666033,2.659743,152.688797,92.079857,159.700500,160.765747,97.428032,150.765411,152.342865,58.886509,84.544128,153.448761,14.447762,80.486252,196.444885,199.171478,105.981895,199.796051,193.498932,147.727036,178.022842,157.691849
7,0.116667,-37.996807,-33.269978,162.122910,92.025230,174.148254,145.222656,1.888581,13.547294,179.707077,161.385223,0.727567,15.466772,151.501740,54.680401,0.968844,78.510460,140.626770,38.335575,0.000000,100.820648,195.954956,223.253662,0.000000,52.553604,198.130585,193.874466,0.488097,177.419876,186.523407,204.803726,0.000000,205.858109,166.593323,140.225555,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.263942,180.081497,162.115829,15.587961,151.529282,54.670864,51.079132,197.431732,192.637421,112.467690,146.294312,20.461678,58.184448,150.723679,18.665712,2.655519,152.689728,92.082619,159.702454,160.764282,97.427582,150.763428,152.342010,58.885162,84.527420,153.436935,14.443133,80.484314,196.444351,199.171600,105.978691,199.796265,193.498169,147.727982,178.020325,157.689102
8,0.133333,-37.997036,-33.273457,162.126877,92.025528,174.155258,145.224075,1.886800,13.546936,179.708237,161.385483,0.727567,15.470050,151.498581,54.681866,0.968844,78.514832,140.628159,38.338245,0.000000,100.818184,195.965942,223.254288,0.000000,52.551323,198.136322,193.874420,0.488097,177.418411,186.540009,204.805664,0.000000,205.859100,166.609589,140.228683,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.263833,180.082733,162.115738,15.591028,151.526337,54.673244,51.079681,197.438293,192.638458,112.470825,146.296829,20.458981,58.201111,150.718323,18.675377,2.662070,152.684723,92.078941,159.701889,160.762741,97.426147,150.764740,152.344467,58.884789,84.545273,153.455124,14.444011,80.486229,196.444519,199.169357,105.980080,199.800674,193.497589,147.730194,178.021393,157.692825
9,0.150000,-37.997818,-33.274044,162.122116,92.022453,174.150864,145.223618,1.885928,13.543330,179.707138,161.381195,0.727572,15.470497,151.500793,54.676792,0.968895,78.515572,140.627838,38.336033,0.000000,100.812195,195.958649,223.254974,0.000000,52.546940,198.132294,193.872711,0.488839,177.412918,186.529572,204.809937,0.000000,205.855911,166.599838,140.233765,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.264088,180.083252,162.114166,15.590414,151.528259,54.668137,51.079548,197.436325,192.639938,112.465034,146.314102,20.453825,58.186340,150.721390,18.665762,2.660647,152.690170,92.080574,159.701614,160.765442,97.427528,150.763123,152.340912,58.886768,84.547173,153.457077,14.444081,80.488403,196.442596,199.170975,105.979515,199.799652,193.496964,147.728867,178.024445,157.692963
10,0.166667,-37.999199,-33.272854,162.119537,92.021187,174.148590,145.225983,1.885409,13.542191,179.708160,161.383041,0.726345,15.468888,151.501816,54.678627,0.969168,78.513611,140.626205,38.338287,0.000000,100.811333,195.955933,223.257416,0.000000,52.546368,198.131668,193.874817,0.490261,177.411758,186.523636,204.812881,0.000000,205.854355,166.592712,140.236908,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.263036,180.084229,162.115891,15.588782,151.529358,54.670277,51.079655,197.436005,192.642380,112.470421,146.297623,20.455912,58.199608,150.716843,18.673487,2.660988,152.690109,92.081093,159.702209,160.763168,97.429497,150.761917,152.340851,58.886169,84.545319,153.453812,14.448515,80.487312,196.447571,199.175003,105.981888,199.802719,193.500153,147.732071,178.023407,157.693237
11,0.183333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.441008,69.481895,-165.304550,159.076599,160.723053,97.258408,2.721394,5.790353,152.723770,89.669731,0.012084,19.960344,184.483673,44.616547,0.000000,24.135649,95.738762,52.687401,0.000000,16.175001,151.566895,54.861420,0.845570,30.090809,148.328674,24.400911,0.000000,159.084473,160.721558,97.260361,0.839787,14.263785,180.081985,162.115891,,,,51.079182,197.435135,192.639175,112.468163,146.300812,20.457491,58.201305,150.715469,18.678364,,,,,,,150.761780,152.342636,58.887314,84.546776,153.453125,14.443851,80.487389,196.448730,199.174133,105.980125,199.798416,193.499130,147.729050,178.021255,157.694687
12,0.200000,131.511765,-19.337318,138.917587,86.531677,189.668091,65.314415,1.344918,16.514883,151.752151,54.781448,0.759751,14.235393,179.911270,161.491379,0.838061,68.061699,216.253418,173.403564,0.000000,97.937195,172.238983,-13.475635,0.000000,57.194130,150.679764,19.277699,0.708643,164.806610,212.933289,-0.465967,0.000000,186.971985,243.907776,62.188290,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.586854,151.529175,54.669373,14.263163,180.084366,162.114960,51.076763,197.436844,192.639282,112.461731,146.317596,20.453527,,,,2.657367,152.685699,92.079094,159.700180,160.762497,97.424797,150.758530,152.343430,58.886627,84.547523,153.452118,14.448463,80.487991,196.447586,199.174500,105.977867,199.795746,193.497879,147.726349,178.020294,157.693863
13,0.216667,131.525635,-19.347368,138.942657,86.552200,189.645081,65.332680,1.344441,16.522102,151.758514,54.782539,0.757509,14.233440,179.908218,161.494751,0.838500,68.072159,216.227402,173.420853,0.000000,97.965851,172.218994,-13.456851,0.000000,57.207752,150.673126,19.286535,0.708693,164.849213,212.884964,-0.430338,0.000000,187.015060,243.844391,62.231186,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.585531,151.533600,54.668034,14.263679,180.081238,162.116425,51.077980,197.436874,192.640244,112.463043,146.317337,20.452663,,,,2.656725,152.689590,92.081932,159.699738,160.763535,97.426826,150.760880,152.341782,58.886383,84.547897,153.454697,14.447750,80.485413,196.452271,199.176804,105.981125,199.802216,193.502045,147.724930,178.021118,157.694351
14,0.233333,131.509140,-19.333652,138.912720,86.527855,189.674194,65.313995,1.345797,16.514696,151.750977,54.782948,0.759518,14.234260,179.911804,161.492416,0.838305,68.057114,216.259598,173.403000,0.000000,97.933746,172.244812,-13.475940,0.000000,57.193428,150.682098,19.278503,0.708021,164.799255,212.946136,-0.468187,0.000000,186.962616,243.923996,62.185123,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.585536,151.528076,54.672127,14.261868,180.084641,162.115067,51.079784,197.435287,192.637848,112.466408,146.298599,20.455465,,,,2.656444,152.685364,92.077026,159.698959,160.767456,97.425919,150.752701,152.366241,58.870148,84.546211,153.451233,14.446568,80.484566,196.450867,199.175522,105.979820,199.802368,193.499329,147.725037,178.018784,157.691010
15,0.250000,131.520172,-19.341969,138.932953,86.547089,189.652771,65.327721,1.341840,16.523071,151.753418,54.783077,0.757943,14.235556,179.906906,161.494308,0.838945,68.068550,216.236053,173.415894,0.000000,97.959312,172.225616,-13.461783,0.000000,57.206875,150.673828,19.284781,0.709088,164.836227,212.903900,-0.440709,0.000000,187.000198,243.869705,62.218342,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.587928,151.529144,54.670494,14.265800,180.079483,162.114243,51.078403,197.433868,192.643478,112.465843,146.299759,20.456791,,,,2.659443,152.683777,92.080780,159.714676,160.771744,97.430733,150.759872,152.339005,58.887905,84.543755,153.451004,14.448269,80.483734,196.453568,199.176926,105.980965,199.799759,193.502884,147.727173,178.019150,157.694351
