Format Version,1.23,Take Name,pinkhead_circum_005,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.14.46.665 AM,Total Frames in Take,476,Total Exported Frames,476,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-0.352245,-0.037351,-0.853649,-0.381853,0.042277,0.164484,0.205851,0.000159,0.011901,0.219596,0.340305,0.980325,-0.005611,0.265975,0.313475,0.965321,0.042273,0.164484,0.205853,0.000000,-0.019842,0.201998,0.339748,0.953630,0.041375,0.235907,0.335677,0.921467,0.035231,0.197229,0.352410,0.928357,,,,0.011934,0.219529,0.340331,-0.005615,0.265927,0.313345,,,,-0.019989,0.202079,0.339826,0.041403,0.236193,0.335803,0.035322,0.196977,0.352310
7,0.116667,-0.352318,-0.037100,-0.853650,-0.381808,0.042291,0.164477,0.205852,0.000158,0.011912,0.219523,0.340333,0.979635,-0.005593,0.265917,0.313525,0.965100,0.042287,0.164477,0.205853,0.000000,-0.019833,0.201929,0.339764,0.952992,0.041388,0.235833,0.335715,0.921205,0.035239,0.197148,0.352427,0.928429,,,,0.011947,0.219453,0.340356,-0.005598,0.265867,0.313395,,,,-0.019980,0.202015,0.339843,0.041413,0.236120,0.335844,0.035331,0.196896,0.352325
8,0.133333,-0.352296,-0.036704,-0.853734,-0.381680,0.042354,0.164483,0.205865,0.000154,0.011923,0.219427,0.340375,0.979635,-0.005572,0.265842,0.313596,0.965100,0.042351,0.164483,0.205866,0.000000,-0.019822,0.201834,0.339781,0.952992,0.041401,0.235741,0.335781,0.921205,0.035245,0.197043,0.352461,0.928429,,,,0.011952,0.219363,0.340391,-0.005571,0.265794,0.313463,,,,-0.019967,0.201913,0.339867,0.041420,0.236022,0.335917,0.035340,0.196794,0.352355
9,0.150000,-0.352568,-0.036394,-0.853673,-0.381594,0.042335,0.164468,0.205867,0.000154,0.011948,0.219310,0.340429,0.981974,-0.005548,0.265748,0.313692,0.964767,0.042331,0.164469,0.205868,0.000000,-0.019799,0.201721,0.339830,0.953352,0.041427,0.235623,0.335840,0.921642,0.035271,0.196913,0.352491,0.928307,,,,0.011997,0.219218,0.340441,-0.005549,0.265702,0.313558,,,,-0.019953,0.201807,0.339920,0.041446,0.235916,0.335980,0.035356,0.196672,0.352382
10,0.166667,-0.352693,-0.035998,-0.853643,-0.381582,0.042329,0.164448,0.205870,0.000143,0.011950,0.219194,0.340473,0.973894,-0.005531,0.265658,0.313771,0.964668,0.042326,0.164449,0.205871,0.000000,-0.019803,0.201615,0.339858,0.950578,0.041433,0.235503,0.335899,0.918799,0.035265,0.196781,0.352519,0.930543,,,,0.012001,0.219118,0.340479,-0.005542,0.265610,0.313638,,,,-0.019951,0.201705,0.339946,0.041452,0.235768,0.336048,0.035354,0.196549,0.352408
11,0.183333,-0.353675,-0.033815,-0.853285,-0.381675,0.042174,0.164954,0.205678,0.000219,0.011940,0.219170,0.340527,0.977061,-0.005453,0.265787,0.314033,0.964660,0.042170,0.164954,0.205679,0.000000,-0.019848,0.201659,0.339843,0.951386,0.041456,0.235438,0.336016,0.923575,0.035212,0.196657,0.352469,0.932069,,,,0.011971,0.219020,0.340535,-0.005431,0.265960,0.313857,,,,-0.019980,0.201615,0.339961,0.041425,0.235672,0.336100,0.035322,0.196445,0.352435
12,0.200000,-0.353726,-0.033599,-0.853288,-0.381641,0.042121,0.164920,0.205694,0.000212,0.011882,0.219082,0.340564,0.962015,-0.005504,0.265711,0.314089,0.941884,0.042118,0.164921,0.205695,0.000000,-0.019908,0.201574,0.339870,0.958820,0.041400,0.235349,0.336063,0.938579,0.035152,0.196561,0.352498,0.937695,,,,0.011917,0.218934,0.340563,-0.005493,0.265874,0.313923,,,,-0.020029,0.201551,0.339978,0.041365,0.235579,0.336141,0.035263,0.196339,0.352479
13,0.216667,-0.356196,-0.034657,-0.849524,-0.387598,0.040302,0.164192,0.205846,0.000349,0.011726,0.219312,0.340691,0.871699,-0.005271,0.266039,0.314136,0.906524,0.040299,0.164192,0.205847,0.000000,-0.020283,0.202199,0.340305,0.800671,0.041411,0.235190,0.335903,0.893279,0.034801,0.196555,0.352555,0.872264,,,,0.011841,0.218818,0.340611,-0.005531,0.265802,0.314009,,,,-0.020410,0.202984,0.340248,0.041298,0.235469,0.336205,0.035185,0.196221,0.352516
14,0.233333,-0.355045,-0.036015,-0.850166,-0.387123,0.040537,0.163673,0.206065,0.000347,0.011652,0.219104,0.340716,0.894067,-0.005420,0.265716,0.314007,0.869578,0.040533,0.163673,0.206066,0.000000,-0.020316,0.201915,0.340336,0.749259,0.041306,0.235038,0.335923,0.881899,0.034764,0.196435,0.352675,0.873290,,,,0.011776,0.218702,0.340662,-0.005662,0.265263,0.313920,,,,-0.020476,0.202902,0.340255,0.041238,0.235348,0.336273,0.035097,0.196078,0.352538
15,0.250000,-0.355964,-0.033670,-0.849568,-0.387803,0.040259,0.164122,0.205873,0.000339,0.011575,0.219087,0.340758,0.884039,-0.005343,0.265868,0.314246,0.907252,0.040255,0.164122,0.205874,0.000000,-0.020450,0.202007,0.340310,0.807031,0.041281,0.234942,0.336028,0.890773,0.034613,0.196291,0.352619,0.870498,,,,0.011674,0.218639,0.340694,-0.005579,0.265613,0.314115,,,,-0.020578,0.202767,0.340263,0.041164,0.235231,0.336334,0.034994,0.195947,0.352556
16,0.266667,-0.355713,-0.033008,-0.849668,-0.387869,0.040245,0.164123,0.205858,0.000356,0.011452,0.218982,0.340763,0.884039,-0.005417,0.265795,0.314275,0.907252,0.040242,0.164123,0.205859,0.000000,-0.020582,0.201918,0.340267,0.807031,0.041170,0.234827,0.336077,0.890773,0.034466,0.196164,0.352627,0.870498,,,,0.011549,0.218498,0.340683,-0.005658,0.265559,0.314131,,,,-0.020699,0.202696,0.340232,0.041040,0.235129,0.336395,0.034855,0.195805,0.352569
17,0.283333,-0.354195,-0.034807,-0.850455,-0.387377,0.040452,0.163557,0.206109,0.000329,0.011272,0.218851,0.340753,0.874913,-0.005684,0.265513,0.314058,0.908280,0.040448,0.163557,0.206110,0.000000,-0.020712,0.201694,0.340268,0.803212,0.040954,0.234761,0.336057,0.885713,0.034330,0.196144,0.352744,0.866620,,,,0.011391,0.218451,0.340685,-0.005925,0.265072,0.313960,,,,-0.020873,0.202635,0.340208,0.040888,0.235063,0.336428,0.034668,0.195804,0.352594
18,0.300000,-0.354966,-0.032533,-0.849976,-0.387920,0.040155,0.164032,0.205929,0.000336,0.011118,0.218867,0.340791,0.894438,-0.005695,0.265687,0.314282,0.871979,0.040151,0.164032,0.205930,0.000000,-0.020917,0.201807,0.340233,0.760957,0.040847,0.234708,0.336164,0.879245,0.034107,0.196043,0.352694,0.874355,,,,0.011227,0.218392,0.340701,-0.005949,0.265457,0.314148,,,,-0.021020,0.202576,0.340193,0.040727,0.234966,0.336482,0.034476,0.195722,0.352640
19,0.316667,-0.351064,-0.032003,-0.854434,-0.381672,0.042110,0.164278,0.206027,0.000142,0.010992,0.218343,0.340737,0.978535,-0.006214,0.264995,0.314183,0.963532,0.042107,0.164278,0.206028,0.000000,-0.020795,0.200840,0.339820,0.951269,0.040541,0.234610,0.336441,0.925371,0.034180,0.195810,0.352806,0.928810,,,,0.011042,0.218275,0.340752,-0.006230,0.264922,0.314057,,,,-0.020926,0.200965,0.339891,0.040539,0.234869,0.336589,0.034279,0.195567,0.352698
20,0.333333,-0.350736,-0.030828,-0.854555,-0.381798,0.042025,0.164282,0.206023,0.000140,0.010747,0.218149,0.340774,0.976446,-0.006374,0.264862,0.314272,0.964719,0.042021,0.164282,0.206024,0.000000,-0.021054,0.200677,0.339779,0.954411,0.040318,0.234396,0.336552,0.924773,0.033895,0.195575,0.352842,0.929785,,,,0.010793,0.218070,0.340793,-0.006393,0.264792,0.314151,,,,-0.021162,0.200808,0.339847,0.040319,0.234666,0.336686,0.033975,0.195325,0.352743
21,0.350000,-0.350047,-0.029730,-0.854997,-0.381527,0.042049,0.164306,0.206050,0.000153,0.010457,0.217960,0.340813,0.973573,-0.006607,0.264712,0.314344,0.966859,0.042045,0.164306,0.206051,0.000000,-0.021341,0.200487,0.339717,0.953229,0.040036,0.234215,0.336685,0.925763,0.033579,0.195369,0.352899,0.929551,,,,0.010486,0.217861,0.340834,-0.006619,0.264663,0.314222,,,,-0.021465,0.200613,0.339780,0.040035,0.234486,0.336807,0.033686,0.195122,0.352815
22,0.366667,-0.351611,-0.030587,-0.851911,-0.386886,0.040291,0.163525,0.206242,0.000348,0.009991,0.218087,0.340938,0.899531,-0.006695,0.264914,0.314359,0.869931,0.040287,0.163525,0.206243,0.000000,-0.022003,0.200961,0.340080,0.755691,0.039725,0.233998,0.336588,0.880346,0.032925,0.195293,0.353000,0.865869,,,,0.010112,0.217709,0.340876,-0.006956,0.264476,0.314255,,,,-0.022185,0.201919,0.340006,0.039680,0.234312,0.336947,0.033278,0.194908,0.352876
23,0.383333,-0.348274,-0.027831,-0.855945,-0.381168,0.041918,0.164177,0.206169,0.000147,0.009629,0.217531,0.340887,0.899531,-0.007304,0.264340,0.314434,0.869931,0.041914,0.164177,0.206170,0.000000,-0.022160,0.200057,0.339589,0.755691,0.039227,0.233798,0.336946,0.880346,0.032692,0.194915,0.353041,0.865869,,,,0.009673,0.217434,0.340906,-0.007312,0.264275,0.314305,,,,-0.022291,0.200183,0.339665,0.039226,0.234078,0.337091,0.032787,0.194672,0.352931
24,0.400000,-0.350793,-0.026011,-0.852463,-0.386749,0.039951,0.164038,0.206070,0.000359,0.009071,0.217693,0.340998,0.972901,-0.007357,0.264754,0.314674,0.963821,0.039948,0.164038,0.206071,0.000000,-0.022960,0.200655,0.339845,0.950835,0.038867,0.233560,0.336922,0.921319,0.031884,0.194754,0.353015,0.929070,,,,0.009169,0.217190,0.340913,-0.007600,0.264519,0.314536,,,,-0.023084,0.201434,0.339805,0.038756,0.233873,0.337221,0.032264,0.194400,0.352978
25,0.416667,-0.348644,-0.026981,-0.853749,-0.385788,0.040104,0.163501,0.206329,0.000353,0.008531,0.217396,0.341000,0.870199,-0.007957,0.264333,0.314494,0.908587,0.040100,0.163501,0.206330,0.000000,-0.023436,0.200245,0.339771,0.802534,0.038289,0.233355,0.336996,0.888426,0.031378,0.194566,0.353162,0.869847,,,,0.008649,0.216996,0.340942,-0.008218,0.263898,0.314392,,,,-0.023560,0.201254,0.339694,0.038215,0.233631,0.337350,0.031707,0.194210,0.353039
26,0.433333,-0.344811,-0.024359,-0.858183,-0.379517,0.041726,0.164232,0.206261,0.000152,0.007962,0.216893,0.340889,0.894590,-0.008814,0.263784,0.314482,0.870588,0.041722,0.164232,0.206262,0.000000,-0.023772,0.199353,0.339193,0.745268,0.037560,0.233246,0.337320,0.886410,0.030954,0.194275,0.353171,0.874732,,,,0.007986,0.216791,0.340921,-0.008819,0.263705,0.314358,,,,-0.023910,0.199477,0.339262,0.037590,0.233537,0.337462,0.031044,0.194041,0.353053
27,0.450000,-0.345055,-0.024748,-0.855797,-0.384625,0.040069,0.163531,0.206400,0.000354,0.007138,0.217090,0.340879,0.894690,-0.009210,0.264043,0.314314,0.870493,0.040065,0.163531,0.206401,0.000000,-0.024779,0.199872,0.339322,0.753950,0.036896,0.233122,0.337181,0.877794,0.029922,0.194287,0.353207,0.868101,,,,0.007268,0.216697,0.340805,-0.009470,0.263610,0.314198,,,,-0.024929,0.200843,0.339266,0.036834,0.233446,0.337542,0.030251,0.193892,0.353088
28,0.466667,-0.340395,-0.022599,-0.860264,-0.378901,0.041655,0.164156,0.206366,0.000142,0.006418,0.216734,0.340649,0.972721,-0.010162,0.263603,0.314078,0.964352,0.041651,0.164156,0.206367,0.000000,-0.025269,0.199142,0.338622,0.950843,0.036024,0.233136,0.337389,0.923726,0.029319,0.194151,0.353163,0.932435,,,,0.006454,0.216634,0.340673,-0.010167,0.263532,0.313954,,,,-0.025403,0.199269,0.338689,0.036028,0.233404,0.337534,0.029418,0.193926,0.353051
29,0.483333,-0.340152,-0.023346,-0.858121,-0.383902,0.039991,0.163465,0.206448,0.000361,0.005455,0.217048,0.340515,0.885668,-0.010706,0.263944,0.313734,0.874985,0.039987,0.163465,0.206449,0.000000,-0.026404,0.199756,0.338619,0.748198,0.035214,0.233146,0.337133,0.880121,0.028153,0.194306,0.353111,0.871346,,,,0.005564,0.216609,0.340454,-0.010956,0.263528,0.313611,,,,-0.026550,0.200750,0.338559,0.035143,0.233454,0.337494,0.028498,0.193945,0.352989
30,0.500000,-0.334871,-0.021498,-0.862839,-0.378032,0.041602,0.164168,0.206382,0.000164,0.004594,0.216852,0.340146,0.973546,-0.011801,0.263630,0.313302,0.964568,0.041598,0.164168,0.206383,0.000000,-0.027014,0.199164,0.337765,0.947401,0.034189,0.233336,0.337216,0.916753,0.027409,0.194356,0.352971,0.930129,,,,0.004622,0.216752,0.340167,-0.011790,0.263557,0.313181,,,,-0.027182,0.199269,0.337834,0.034212,0.233639,0.337354,0.027516,0.194122,0.352863
31,0.516667,-0.334325,-0.023036,-0.860623,-0.383437,0.039764,0.163476,0.206421,0.000337,0.003483,0.217431,0.339877,0.973546,-0.012487,0.264187,0.312740,0.964568,0.039760,0.163477,0.206422,0.000000,-0.028302,0.200043,0.337662,0.947401,0.033236,0.233600,0.336793,0.916753,0.026092,0.194797,0.352822,0.930129,,,,0.003598,0.217020,0.339816,-0.012720,0.263733,0.312644,,,,-0.028478,0.201007,0.337583,0.033174,0.233904,0.337143,0.026436,0.194469,0.352702
32,0.533333,-0.328527,-0.022001,-0.865385,-0.377751,0.041283,0.164201,0.206380,0.000164,0.002479,0.217487,0.339394,0.892240,-0.013725,0.264070,0.312101,0.870047,0.041279,0.164201,0.206381,0.000000,-0.029044,0.199690,0.336722,0.754263,0.032059,0.234046,0.336739,0.883105,0.025202,0.195130,0.352620,0.877335,,,,0.002511,0.217382,0.339410,-0.013736,0.264024,0.311965,,,,-0.029187,0.199811,0.336790,0.032067,0.234335,0.336878,0.025317,0.194870,0.352532
33,0.550000,-0.327151,-0.023857,-0.863438,-0.383246,0.039556,0.163516,0.206453,0.000347,0.001284,0.218231,0.339041,0.972287,-0.014471,0.264751,0.311378,0.964047,0.039552,0.163516,0.206454,0.000000,-0.030411,0.200720,0.336511,0.950083,0.031023,0.234480,0.336253,0.919567,0.023790,0.195760,0.352443,0.925694,,,,0.001405,0.217818,0.338969,-0.014710,0.264324,0.311263,,,,-0.030558,0.201642,0.336449,0.030951,0.234825,0.336601,0.024119,0.195385,0.352341
