Format Version,1.23,Take Name,brenda_ear2ear_007,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.16.53.602 AM,Total Frames in Take,429,Total Exported Frames,429,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,0.056260,0.923176,0.253307,-0.283578,-0.004047,0.222143,0.126017,0.000396,-0.139603,0.273655,0.157780,0.692061,-0.147188,0.225823,0.186627,0.919873,-0.004047,0.222145,0.126020,0.000000,-0.125302,0.292936,0.185007,0.906791,-0.148924,0.252483,0.132859,0.938264,-0.136548,0.293087,0.129423,0.909973,-0.140094,0.274774,0.157938,-0.146978,0.225646,0.186791,,,,-0.125306,0.292564,0.184979,-0.148978,0.252368,0.132647,-0.136298,0.292833,0.129369
7,0.116667,0.055245,0.923216,0.253594,-0.283390,-0.003964,0.222348,0.126268,0.000401,-0.139633,0.273606,0.157962,0.701094,-0.147167,0.225731,0.186751,0.925887,-0.003965,0.222349,0.126272,0.000000,-0.125388,0.292881,0.185222,0.916634,-0.148897,0.252445,0.133010,0.929327,-0.136584,0.293072,0.129628,0.901915,-0.140076,0.274709,0.158085,-0.146954,0.225570,0.186881,,,,-0.125375,0.292557,0.185301,-0.148986,0.252313,0.132776,-0.136351,0.292767,0.129549
8,0.133333,0.055185,0.923059,0.253879,-0.283658,-0.003969,0.222342,0.126288,0.000399,-0.139624,0.273570,0.158087,0.701094,-0.147140,0.225676,0.186848,0.925887,-0.003969,0.222344,0.126292,0.000000,-0.125366,0.292828,0.185353,0.916634,-0.148900,0.252425,0.133126,0.929327,-0.136591,0.293056,0.129765,0.901915,-0.140068,0.274679,0.158208,-0.146932,0.225516,0.186970,,,,-0.125349,0.292507,0.185427,-0.148979,0.252301,0.132900,-0.136367,0.292736,0.129695
9,0.150000,0.055275,0.922920,0.253904,-0.284072,-0.003982,0.222348,0.126271,0.000397,-0.139610,0.273570,0.158196,0.699998,-0.147100,0.225673,0.186958,0.927864,-0.003983,0.222350,0.126275,0.000000,-0.125329,0.292825,0.185452,0.917590,-0.148908,0.252428,0.133241,0.932618,-0.136603,0.293060,0.129873,0.900929,-0.140049,0.274676,0.158307,-0.146884,0.225522,0.187081,,,,-0.125321,0.292495,0.185524,-0.148998,0.252300,0.133018,-0.136369,0.292745,0.129808
10,0.166667,0.054953,0.922834,0.254114,-0.284226,-0.003959,0.222430,0.126301,0.000399,-0.139611,0.273558,0.158278,0.701296,-0.147069,0.225638,0.187011,0.927578,-0.003960,0.222431,0.126305,0.000000,-0.125335,0.292804,0.185544,0.915366,-0.148900,0.252427,0.133311,0.932010,-0.136618,0.293067,0.129967,0.900699,-0.140046,0.274669,0.158379,-0.146846,0.225490,0.187138,,,,-0.125339,0.292459,0.185620,-0.148998,0.252304,0.133099,-0.136376,0.292755,0.129892
11,0.183333,0.054830,0.922750,0.254313,-0.284344,-0.003945,0.222431,0.126317,0.000405,-0.139599,0.273521,0.158344,0.700529,-0.147045,0.225585,0.187055,0.925989,-0.003946,0.222432,0.126321,0.000000,-0.125322,0.292755,0.185617,0.911681,-0.148890,0.252400,0.133368,0.934062,-0.136615,0.293044,0.130042,0.899693,-0.140020,0.274642,0.158436,-0.146832,0.225414,0.187196,,,,-0.125329,0.292408,0.185683,-0.148978,0.252289,0.133167,-0.136382,0.292739,0.129961
12,0.200000,0.054770,0.922638,0.254508,-0.284544,-0.003968,0.222390,0.126298,0.000397,-0.139614,0.273453,0.158401,0.699977,-0.147045,0.225504,0.187092,0.923305,-0.003968,0.222392,0.126302,0.000000,-0.125328,0.292676,0.185677,0.911363,-0.148912,0.252344,0.133418,0.936028,-0.136642,0.292990,0.130107,0.902395,-0.140057,0.274565,0.158493,-0.146823,0.225341,0.187229,,,,-0.125332,0.292329,0.185747,-0.149008,0.252217,0.133217,-0.136394,0.292700,0.130024
13,0.216667,0.054668,0.922592,0.254679,-0.284559,-0.003973,0.222369,0.126290,0.000397,-0.139625,0.273406,0.158411,0.700459,-0.147051,0.225444,0.187083,0.923625,-0.003974,0.222370,0.126294,0.000000,-0.125341,0.292619,0.185695,0.911107,-0.148921,0.252305,0.133420,0.936124,-0.136654,0.292954,0.130125,0.902777,-0.140064,0.274517,0.158501,-0.146831,0.225282,0.187219,,,,-0.125345,0.292271,0.185767,-0.149017,0.252177,0.133221,-0.136407,0.292666,0.130040
14,0.233333,0.054703,0.922637,0.254704,-0.284385,-0.003986,0.222335,0.126295,0.000398,-0.139640,0.273395,0.158370,0.698750,-0.147083,0.225435,0.187040,0.923043,-0.003986,0.222337,0.126299,0.000000,-0.125362,0.292607,0.185659,0.914222,-0.148931,0.252296,0.133376,0.937836,-0.136656,0.292943,0.130085,0.902992,-0.140077,0.274514,0.158461,-0.146871,0.225258,0.187175,,,,-0.125361,0.292271,0.185729,-0.149022,0.252170,0.133182,-0.136415,0.292651,0.129999
15,0.250000,0.054809,0.922731,0.254482,-0.284256,-0.003995,0.222343,0.126274,0.000396,-0.139649,0.273437,0.158293,0.698750,-0.147105,0.225493,0.186987,0.923043,-0.003995,0.222345,0.126278,0.000000,-0.125375,0.292661,0.185574,0.914222,-0.148937,0.252326,0.133308,0.937836,-0.136657,0.292969,0.129998,0.902992,-0.140083,0.274551,0.158392,-0.146892,0.225332,0.187111,,,,-0.125372,0.292324,0.185648,-0.149027,0.252197,0.133109,-0.136422,0.292668,0.129916
16,0.266667,0.054921,0.922894,0.254102,-0.284047,-0.003988,0.222362,0.126277,0.000403,-0.139650,0.273494,0.158200,0.700164,-0.147121,0.225576,0.186933,0.926220,-0.003988,0.222363,0.126281,0.000000,-0.125385,0.292741,0.185470,0.913715,-0.148931,0.252361,0.133231,0.936643,-0.136646,0.293001,0.129889,0.902206,-0.140080,0.274612,0.158308,-0.146907,0.225418,0.187059,,,,-0.125378,0.292412,0.185550,-0.149026,0.252225,0.133008,-0.136413,0.292693,0.129817
17,0.283333,0.055389,0.922984,0.253718,-0.284006,-0.004020,0.222310,0.126233,0.000400,-0.139643,0.273565,0.158124,0.699219,-0.147141,0.225681,0.186907,0.926582,-0.004020,0.222312,0.126236,0.000000,-0.125361,0.292830,0.185372,0.915488,-0.148942,0.252413,0.133178,0.930521,-0.136631,0.293041,0.129793,0.901683,-0.140080,0.274678,0.158236,-0.146931,0.225517,0.187030,,,,-0.125349,0.292511,0.185450,-0.149033,0.252279,0.132955,-0.136399,0.292730,0.129722
