Format Version,1.23,Take Name,charlie_nziz,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.10.33.114 AM,Total Frames in Take,370,Total Exported Frames,370,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,0.463659,0.649981,0.300616,-0.521703,0.037940,0.153642,0.212502,0.000151,0.029358,0.261888,0.313730,0.957250,0.016842,0.221368,0.350866,0.942747,0.037943,0.153643,0.212505,0.000000,0.065416,0.260367,0.317618,0.968588,-0.004060,0.258417,0.308497,0.936186,0.023298,0.283230,0.287294,0.948178,,,,,,,0.029319,0.261998,0.313855,0.016745,0.221163,0.350890,,,,0.065367,0.260464,0.317554,-0.003850,0.258537,0.308578,0.023275,0.283110,0.287127
7,0.116667,0.464362,0.649295,0.300418,-0.522047,0.037901,0.153657,0.212490,0.000144,0.029621,0.261939,0.313705,0.961301,0.017125,0.221443,0.350873,0.943991,0.037904,0.153658,0.212492,0.000000,0.065684,0.260378,0.317529,0.967120,-0.003810,0.258505,0.308531,0.939417,0.023539,0.283281,0.287274,0.952118,,,,,,,0.029592,0.262031,0.313826,0.017015,0.221250,0.350897,,,,0.065650,0.260483,0.317458,-0.003608,0.258615,0.308610,0.023512,0.283168,0.287122
8,0.133333,0.465035,0.648629,0.300550,-0.522199,0.037888,0.153678,0.212497,0.000131,0.029894,0.261971,0.313722,0.961301,0.017379,0.221494,0.350905,0.943991,0.037891,0.153678,0.212500,0.000000,0.065959,0.260355,0.317504,0.967120,-0.003549,0.258589,0.308588,0.939417,0.023813,0.283323,0.287299,0.952118,,,,,,,0.029863,0.262070,0.313851,0.017260,0.221304,0.350930,,,,0.065966,0.260456,0.317432,-0.003375,0.258682,0.308662,0.023782,0.283219,0.287144
9,0.150000,0.465706,0.647956,0.300386,-0.522532,0.037888,0.153704,0.212510,0.000134,0.030187,0.262026,0.313728,0.958713,0.017689,0.221571,0.350940,0.943580,0.037891,0.153704,0.212513,0.000000,0.066256,0.260370,0.317449,0.968778,-0.003268,0.258680,0.308651,0.947351,0.024085,0.283379,0.287310,0.952799,,,,,,,0.030160,0.262120,0.313848,0.017581,0.221386,0.350970,,,,0.066243,0.260456,0.317386,-0.003076,0.258775,0.308716,0.024041,0.283288,0.287157
10,0.166667,0.466598,0.647292,0.300349,-0.522580,0.037907,0.153657,0.212554,0.000142,0.030524,0.262046,0.313724,0.961094,0.018007,0.221633,0.350974,0.945952,0.037910,0.153657,0.212557,0.000000,0.066595,0.260331,0.317398,0.973126,-0.002943,0.258755,0.308693,0.943885,0.024424,0.283396,0.287303,0.953894,,,,,,,0.030504,0.262157,0.313841,0.017887,0.221435,0.350998,,,,0.066570,0.260436,0.317323,-0.002747,0.258856,0.308774,0.024394,0.283275,0.287154
11,0.183333,0.467423,0.646531,0.300245,-0.522845,0.037942,0.153657,0.212551,0.000143,0.030898,0.262087,0.313700,0.959295,0.018385,0.221703,0.350984,0.941775,0.037945,0.153658,0.212553,0.000000,0.066973,0.260318,0.317312,0.967075,-0.002582,0.258845,0.308728,0.941218,0.024785,0.283438,0.287284,0.951521,,,,,,,0.030878,0.262176,0.313824,0.018275,0.221503,0.350996,,,,0.066927,0.260446,0.317237,-0.002403,0.258967,0.308823,0.024782,0.283299,0.287130
12,0.200000,0.468239,0.645713,0.300213,-0.523143,0.037992,0.153680,0.212542,0.000143,0.031301,0.262134,0.313690,0.963517,0.018789,0.221775,0.351001,0.940324,0.037995,0.153681,0.212545,0.000000,0.067380,0.260307,0.317239,0.966578,-0.002193,0.258945,0.308778,0.939876,0.025176,0.283491,0.287282,0.946964,,,,,,,0.031284,0.262231,0.313798,0.018679,0.221564,0.351024,,,,0.067355,0.260425,0.317181,-0.002013,0.259077,0.308865,0.025147,0.283355,0.287122
13,0.216667,0.468869,0.644910,0.300063,-0.523656,0.038066,0.153750,0.212489,0.000141,0.031699,0.262199,0.313662,0.956482,0.019217,0.221850,0.350994,0.940817,0.038069,0.153750,0.212491,0.000000,0.067783,0.260332,0.317138,0.966570,-0.001809,0.259048,0.308817,0.945558,0.025544,0.283566,0.287269,0.951377,,,,,,,0.031686,0.262320,0.313787,0.019098,0.221647,0.351023,,,,0.067751,0.260436,0.317059,-0.001629,0.259137,0.308900,0.025527,0.283455,0.287110
14,0.233333,0.470119,0.643942,0.299754,-0.523904,0.037986,0.153742,0.212491,0.000140,0.032080,0.262294,0.313582,0.958853,0.019605,0.222004,0.350979,0.943188,0.037989,0.153742,0.212493,0.000000,0.068168,0.260357,0.316974,0.971253,-0.001445,0.259207,0.308819,0.941591,0.025906,0.283651,0.287184,0.950833,,,,,,,0.032057,0.262404,0.313703,0.019493,0.221808,0.351008,,,,0.068143,0.260449,0.316910,-0.001248,0.259305,0.308895,0.025868,0.283547,0.287021
15,0.250000,0.470863,0.643443,0.299443,-0.524026,0.038062,0.153800,0.212441,0.000148,0.032412,0.262436,0.313457,0.955705,0.019948,0.222187,0.350903,0.936853,0.038065,0.153801,0.212444,0.000000,0.068502,0.260464,0.316799,0.963819,-0.001124,0.259380,0.308744,0.938570,0.026222,0.283779,0.287051,0.945947,,,,,,,0.032390,0.262546,0.313594,0.019816,0.221973,0.350927,,,,0.068486,0.260584,0.316720,-0.000924,0.259489,0.308836,0.026193,0.283653,0.286878
