Format Version,1.23,Take Name,charlie_nziz,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.10.33.114 AM,Total Frames in Take,370,Total Exported Frames,370,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
39,0.650000,0.471163,0.650397,0.293103,-0.518729,0.038097,0.157836,0.210980,0.000133,0.030597,0.268171,0.310013,0.960258,0.018218,0.228468,0.348065,0.949965,0.038100,0.157836,0.210982,0.000000,0.066676,0.266608,0.313674,0.979193,-0.002869,0.264707,0.305091,0.953340,0.024415,0.288985,0.283187,0.957013,,,,,,,0.030581,0.268243,0.310133,0.018117,0.228284,0.348093,,,,0.066643,0.266709,0.313610,-0.002699,0.264810,0.305169,0.024394,0.288893,0.283024
40,0.666667,0.471835,0.651681,0.290341,-0.518060,0.038184,0.158017,0.210851,0.000155,0.030450,0.268892,0.309263,0.964800,0.018213,0.229370,0.347549,0.947070,0.038187,0.158018,0.210853,0.000000,0.066537,0.267451,0.312903,0.969191,-0.003010,0.265306,0.304388,0.946431,0.024189,0.289535,0.282324,0.952935,,,,,,,0.030380,0.268990,0.309370,0.018216,0.229148,0.347612,,,,0.066446,0.267509,0.312885,-0.002858,0.265482,0.304412,0.024196,0.289424,0.282148
41,0.683333,0.473054,0.652837,0.287824,-0.516895,0.038076,0.158221,0.210737,0.000151,0.030219,0.269703,0.308451,0.959585,0.018052,0.230407,0.346990,0.942241,0.038079,0.158222,0.210740,0.000000,0.066309,0.268337,0.312087,0.972698,-0.003237,0.266039,0.303611,0.941540,0.023919,0.290168,0.281384,0.947887,,,,,,,0.030165,0.269819,0.308551,0.018047,0.230180,0.347065,,,,0.066236,0.268391,0.312065,-0.003107,0.266203,0.303627,0.023921,0.290061,0.281214
42,0.700000,0.474074,0.654968,0.286186,-0.514168,0.038137,0.158486,0.210805,0.000137,0.029837,0.270643,0.307706,0.962484,0.017562,0.231607,0.346476,0.946816,0.038140,0.158486,0.210808,0.000000,0.065915,0.269332,0.311482,0.965553,-0.003599,0.266917,0.302770,0.940891,0.023619,0.290912,0.280475,0.951332,,,,,,,0.029814,0.270731,0.307825,0.017456,0.231423,0.346493,,,,0.065868,0.269439,0.311409,-0.003409,0.267029,0.302857,0.023604,0.290788,0.280325
43,0.716667,0.475011,0.656336,0.284513,-0.512484,0.038071,0.158746,0.210753,0.000148,0.029534,0.271430,0.307019,0.960505,0.017233,0.232599,0.345986,0.942260,0.038074,0.158746,0.210755,0.000000,0.065607,0.270170,0.310856,0.966579,-0.003891,0.267649,0.302054,0.941035,0.023340,0.291543,0.279666,0.951727,,,,,,,0.029500,0.271536,0.307132,0.017128,0.232397,0.346026,,,,0.065566,0.270272,0.310780,-0.003699,0.267763,0.302129,0.023326,0.291424,0.279515
44,0.733333,0.476256,0.657230,0.283275,-0.510867,0.037940,0.158882,0.210699,0.000134,0.029341,0.272045,0.306398,0.963796,0.016978,0.233413,0.345542,0.941866,0.037943,0.158882,0.210702,0.000000,0.065410,0.270788,0.310282,0.971088,-0.004080,0.268254,0.301413,0.945692,0.023188,0.292025,0.278939,0.950411,,,,,,,0.029317,0.272148,0.306497,0.016870,0.233211,0.345582,,,,0.065396,0.270886,0.310223,-0.003912,0.268361,0.301499,0.023166,0.291919,0.278773
45,0.750000,0.476899,0.658465,0.282514,-0.509095,0.037996,0.159060,0.210670,0.000128,0.029148,0.272609,0.305887,0.963640,0.016690,0.234134,0.345156,0.948507,0.037999,0.159061,0.210672,0.000000,0.065206,0.271372,0.309867,0.970215,-0.004261,0.268794,0.300834,0.942345,0.023060,0.292477,0.278333,0.954968,,,,,,,0.029112,0.272709,0.305987,0.016584,0.233959,0.345179,,,,0.065174,0.271464,0.309799,-0.004069,0.268887,0.300922,0.023043,0.292366,0.278192
46,0.766667,0.477699,0.659408,0.281739,-0.507551,0.037927,0.159272,0.210655,0.000134,0.028934,0.273187,0.305420,0.963640,0.016397,0.234866,0.344813,0.948507,0.037930,0.159272,0.210657,0.000000,0.064985,0.271957,0.309469,0.970215,-0.004466,0.269361,0.300321,0.942345,0.022901,0.292951,0.277778,0.954968,,,,,,,0.028885,0.273286,0.305516,0.016293,0.234676,0.344844,,,,0.064970,0.272053,0.309409,-0.004276,0.269472,0.300407,0.022880,0.292834,0.277626
47,0.783333,0.478037,0.660690,0.280753,-0.506110,0.037916,0.159546,0.210708,0.000130,0.028617,0.273806,0.305026,0.963464,0.016035,0.235620,0.344537,0.945369,0.037919,0.159546,0.210710,0.000000,0.064660,0.272626,0.309155,0.971280,-0.004769,0.269928,0.299873,0.941039,0.022622,0.293460,0.277298,0.951812,,,,,,,0.028576,0.273918,0.305140,0.015940,0.235437,0.344554,,,,0.064620,0.272718,0.309088,-0.004584,0.270039,0.299959,0.022612,0.293328,0.277150
48,0.800000,0.477584,0.662670,0.279880,-0.504430,0.038120,0.159883,0.210822,0.000114,0.028200,0.274441,0.304715,0.958780,0.015567,0.236360,0.344310,0.948220,0.038123,0.159883,0.210824,0.000000,0.064231,0.273363,0.308979,0.969656,-0.005157,0.270464,0.299454,0.942010,0.022259,0.293985,0.276898,0.950337,,,,,,,0.028174,0.274569,0.304835,0.015467,0.236195,0.344330,,,,0.064200,0.273438,0.308898,-0.005002,0.270530,0.299531,0.022260,0.293880,0.276762
49,0.816667,0.477487,0.664175,0.279121,-0.502960,0.038167,0.160305,0.210956,0.000114,0.027812,0.275143,0.304459,0.961922,0.015125,0.237168,0.344139,0.950121,0.038170,0.160306,0.210958,0.000000,0.063832,0.274133,0.308827,0.969436,-0.005525,0.271100,0.299117,0.951012,0.021919,0.294591,0.276564,0.954026,,,,,,,0.027794,0.275247,0.304569,0.015022,0.236998,0.344152,,,,0.063810,0.274229,0.308755,-0.005376,0.271194,0.299202,0.021913,0.294469,0.276427
50,0.833333,0.477094,0.665554,0.278289,-0.501970,0.038161,0.160907,0.211029,0.000123,0.027364,0.275949,0.304231,0.964851,0.014673,0.238043,0.343976,0.950390,0.038164,0.160907,0.211031,0.000000,0.063377,0.275026,0.308678,0.967505,-0.005953,0.271822,0.298828,0.949532,0.021489,0.295317,0.276276,0.959361,,,,,,,0.027323,0.276040,0.304330,0.014571,0.237876,0.344007,,,,0.063342,0.275120,0.308594,-0.005787,0.271901,0.298912,0.021501,0.295220,0.276146
51,0.850000,0.475726,0.667491,0.277715,-0.501014,0.038274,0.161788,0.211181,0.000121,0.026729,0.276917,0.304186,0.954273,0.014043,0.239019,0.343939,0.946485,0.038277,0.161788,0.211183,0.000000,0.062730,0.276134,0.308757,0.972407,-0.006553,0.272658,0.298674,0.953924,0.020879,0.296224,0.276184,0.952361,,,,,,,0.026685,0.277051,0.304301,0.013952,0.238828,0.343972,,,,0.062723,0.276217,0.308684,-0.006412,0.272755,0.298743,0.020880,0.296100,0.276039
52,0.866667,0.472847,0.670301,0.277432,-0.500143,0.038505,0.163032,0.211459,0.000109,0.025740,0.278074,0.304413,0.949907,0.013082,0.240091,0.344095,0.951915,0.038508,0.163033,0.211462,0.000000,0.061720,0.277518,0.309175,0.972792,-0.007485,0.273606,0.298725,0.955610,0.019916,0.297347,0.276383,0.951907,,,,,,,0.025702,0.278214,0.304551,0.013001,0.239917,0.344106,,,,0.061702,0.277593,0.309099,-0.007349,0.273703,0.298784,0.019917,0.297208,0.276250
53,0.883333,0.468653,0.672965,0.278011,-0.500192,0.038726,0.164805,0.211642,0.000122,0.024579,0.279415,0.304929,0.949907,0.011994,0.241196,0.344407,0.951915,0.038728,0.164806,0.211645,0.000000,0.060536,0.279115,0.309887,0.972792,-0.008579,0.274715,0.299043,0.955610,0.018763,0.298744,0.276936,0.951907,,,,,,,0.024539,0.279563,0.305042,0.011893,0.240997,0.344435,,,,0.060524,0.279202,0.309810,-0.008433,0.274808,0.299131,0.018770,0.298616,0.276783
54,0.900000,0.463782,0.675325,0.278758,-0.501136,0.038996,0.166888,0.211736,0.000111,0.023452,0.280861,0.305579,0.952380,0.011018,0.242321,0.344791,0.943660,0.038999,0.166888,0.211739,0.000000,0.059388,0.280840,0.310698,0.970844,-0.009638,0.275911,0.299517,0.951607,0.017596,0.300292,0.277665,0.950188,,,,,,,0.023411,0.281015,0.305705,0.010930,0.242120,0.344797,,,,0.059381,0.280932,0.310630,-0.009515,0.276022,0.299609,0.017609,0.300135,0.277509
55,0.916667,0.458103,0.677415,0.278495,-0.503678,0.039439,0.169334,0.211714,0.000118,0.022464,0.282508,0.306273,0.949045,0.010406,0.243574,0.345213,0.945155,0.039442,0.169334,0.211717,0.000000,0.058390,0.282859,0.311449,0.971440,-0.010559,0.277224,0.300125,0.952669,0.016432,0.302054,0.278477,0.944522,,,,,,,0.022378,0.282638,0.306381,0.010445,0.243386,0.345259,,,,0.058303,0.282885,0.311431,-0.010474,0.277375,0.300139,0.016480,0.301935,0.278327
56,0.933333,0.452759,0.678852,0.279413,-0.506061,0.039734,0.172001,0.211519,0.000085,0.021555,0.284257,0.306945,0.952578,0.009769,0.244906,0.345547,0.950583,0.039737,0.172002,0.211522,0.000000,0.057466,0.284889,0.312199,0.977003,-0.011406,0.278728,0.300687,0.956661,0.015404,0.303971,0.279294,0.950712,,,,,,,0.021461,0.284374,0.307063,0.009811,0.244776,0.345541,,,,0.057398,0.284890,0.312201,-0.011298,0.278861,0.300708,0.015415,0.303850,0.279160
57,0.950000,0.447655,0.678634,0.281636,-0.509650,0.040010,0.175009,0.210766,0.000075,0.021129,0.286035,0.307486,0.957217,0.009608,0.246165,0.345633,0.977826,0.040013,0.175010,0.210769,0.000000,0.057036,0.286839,0.312740,0.978361,-0.011798,0.280365,0.301171,0.969098,0.014842,0.306026,0.280065,0.970385,,,,,,,0.021042,0.286116,0.307609,0.009669,0.246105,0.345611,,,,0.056954,0.286815,0.312729,-0.011712,0.280453,0.301159,0.014865,0.305941,0.279987
58,0.966667,0.446703,0.677925,0.281613,-0.511437,0.040183,0.177416,0.210019,0.000069,0.021370,0.288125,0.307115,0.955565,0.010017,0.248124,0.345175,0.975887,0.040186,0.177416,0.210022,0.000000,0.057290,0.288974,0.312277,0.982109,-0.011564,0.282417,0.300870,0.970370,0.014977,0.308186,0.279770,0.965377,,,,,,,0.021275,0.288200,0.307245,0.010081,0.248072,0.345125,,,,0.057220,0.288957,0.312277,-0.011493,0.282512,0.300878,0.015007,0.308084,0.279680
59,0.983333,0.448155,0.676956,0.279222,-0.512760,0.040413,0.179569,0.209108,0.000064,0.022117,0.290562,0.305978,0.956722,0.010997,0.250672,0.344222,0.975257,0.040416,0.179570,0.209111,0.000000,0.058066,0.291439,0.310931,0.985490,-0.010850,0.284825,0.299939,0.968147,0.015560,0.310539,0.278610,0.964858,,,,,,,0.022039,0.290641,0.306111,0.011054,0.250594,0.344197,,,,0.058008,0.291435,0.310923,-0.010790,0.284937,0.299926,0.015580,0.310430,0.278523
60,1.000000,0.450418,0.675163,0.277173,-0.514251,0.040609,0.181784,0.207890,0.000076,0.023180,0.293075,0.304577,0.956854,0.012257,0.253309,0.343008,0.977283,0.040612,0.181785,0.207893,0.000000,0.059163,0.293903,0.309278,0.978093,-0.009838,0.287379,0.298784,0.966408,0.016467,0.312988,0.277201,0.966531,,,,,,,0.023098,0.293156,0.304706,0.012307,0.253239,0.342980,,,,0.059078,0.293897,0.309259,-0.009748,0.287478,0.298782,0.016495,0.312883,0.277122
61,1.016667,0.454057,0.673426,0.275788,-0.514074,0.040693,0.183924,0.206445,0.000134,0.024302,0.295766,0.302677,0.956854,0.013361,0.256242,0.341351,0.977283,0.040696,0.183925,0.206448,0.000000,0.060312,0.296431,0.307201,0.978093,-0.008772,0.290212,0.297070,0.966408,0.017560,0.315582,0.275237,0.966531,,,,,,,0.024251,0.295897,0.302800,0.013296,0.256015,0.341363,,,,0.060283,0.296530,0.307158,-0.008623,0.290382,0.297157,0.017555,0.315408,0.275059
62,1.033333,0.459402,0.673285,0.269126,-0.513038,0.041026,0.185392,0.205842,0.000098,0.025492,0.298714,0.300471,0.953328,0.014812,0.259799,0.339830,0.940946,0.041029,0.185393,0.205844,0.000000,0.061537,0.299408,0.304705,0.972002,-0.007630,0.293112,0.295206,0.939408,0.018557,0.318114,0.272784,0.937683,,,,,,,0.025409,0.298794,0.300566,0.014859,0.259638,0.339857,,,,0.061473,0.299448,0.304703,-0.007568,0.293278,0.295217,0.018596,0.317990,0.272653
63,1.050000,0.461596,0.673734,0.265917,-0.512152,0.041605,0.187450,0.204734,0.000117,0.026274,0.301486,0.298535,0.962617,0.015703,0.262870,0.338216,0.957335,0.041608,0.187450,0.204736,0.000000,0.062329,0.302221,0.302674,0.981134,-0.006859,0.295835,0.293394,0.955589,0.019265,0.320672,0.270717,0.953898,,,,,,,0.026232,0.301609,0.298634,0.015647,0.262658,0.338225,,,,0.062299,0.302324,0.302634,-0.006746,0.295999,0.293479,0.019279,0.320493,0.270564
64,1.066667,0.464508,0.674701,0.260696,-0.510929,0.042053,0.189209,0.204127,0.000133,0.026879,0.304306,0.296649,0.952312,0.016520,0.266138,0.336816,0.937765,0.042056,0.189209,0.204130,0.000000,0.062947,0.305149,0.300644,0.980133,-0.006264,0.298541,0.291698,0.940737,0.019734,0.323155,0.268636,0.934961,,,,,,,0.026784,0.304428,0.296760,0.016565,0.265898,0.336866,,,,0.062904,0.305216,0.300650,-0.006205,0.298769,0.291718,0.019769,0.322978,0.268449
65,1.083333,0.468735,0.676127,0.255921,-0.507587,0.042383,0.190583,0.203737,0.000116,0.027414,0.307039,0.294577,0.950564,0.017036,0.269475,0.335305,0.942261,0.042386,0.190584,0.203739,0.000000,0.063486,0.307896,0.298536,0.972527,-0.005739,0.301243,0.289733,0.948844,0.020274,0.325486,0.266296,0.937766,,,,,,,0.027377,0.307191,0.294698,0.016973,0.269253,0.335321,,,,0.063479,0.307994,0.298487,-0.005636,0.301404,0.289807,0.020279,0.325297,0.266135
66,1.100000,0.471619,0.677671,0.251360,-0.505129,0.042870,0.191981,0.203350,0.000111,0.027871,0.309521,0.292777,0.958155,0.017562,0.272447,0.333969,0.944888,0.042873,0.191982,0.203353,0.000000,0.063946,0.310459,0.296694,0.971153,-0.005281,0.303637,0.288033,0.953642,0.020689,0.327616,0.264280,0.940224,,,,,,,0.027844,0.309637,0.292895,0.017531,0.272231,0.333998,,,,0.063913,0.310560,0.296649,-0.005229,0.303803,0.288096,0.020729,0.327448,0.264113
67,1.116667,0.473688,0.678602,0.247931,-0.503636,0.043082,0.193460,0.202846,0.000112,0.028107,0.311755,0.291277,0.957460,0.017882,0.275029,0.332800,0.946035,0.043085,0.193461,0.202849,0.000000,0.064186,0.312754,0.295138,0.974962,-0.005047,0.305804,0.286628,0.951013,0.020874,0.329597,0.262635,0.941353,,,,,,,0.028060,0.311878,0.291385,0.017842,0.274818,0.332828,,,,0.064186,0.312848,0.295103,-0.004968,0.305975,0.286681,0.020882,0.329420,0.262481
68,1.133333,0.473603,0.681207,0.244021,-0.502106,0.043920,0.194975,0.202412,0.000124,0.028170,0.313882,0.289882,0.957460,0.018112,0.277429,0.331686,0.946035,0.043923,0.194976,0.202414,0.000000,0.064239,0.315120,0.293772,0.974962,-0.004944,0.307703,0.285247,0.951013,0.020865,0.331453,0.261091,0.941353,,,,,,,0.028093,0.314084,0.290004,0.018013,0.277286,0.331723,,,,0.064209,0.315128,0.293671,-0.004738,0.307699,0.285311,0.020866,0.331389,0.260968
69,1.150000,0.473581,0.682499,0.241684,-0.501503,0.043996,0.196778,0.201805,0.000126,0.027860,0.316013,0.288757,0.937839,0.017925,0.279710,0.330721,0.955604,0.043999,0.196779,0.201808,0.000000,0.063924,0.317387,0.292638,0.973619,-0.005234,0.309704,0.284152,0.946194,0.020494,0.333435,0.259891,0.965294,,,,,,,0.027789,0.316196,0.288871,0.017821,0.279538,0.330742,,,,0.063905,0.317438,0.292552,-0.005044,0.309756,0.284248,0.020498,0.333322,0.259745
70,1.166667,0.472157,0.683776,0.240122,-0.501856,0.044067,0.198807,0.201030,0.000112,0.027347,0.318047,0.287864,0.943284,0.017590,0.281737,0.329864,0.949355,0.044070,0.198808,0.201033,0.000000,0.063404,0.319602,0.291744,0.974559,-0.005715,0.311572,0.283265,0.945221,0.019896,0.335404,0.258980,0.954064,,,,,,,0.027268,0.318219,0.287982,0.017526,0.281563,0.329885,,,,0.063375,0.319647,0.291679,-0.005553,0.311659,0.283337,0.019906,0.335276,0.258835
71,1.183333,0.470884,0.685112,0.238456,-0.502024,0.044207,0.200812,0.200185,0.000130,0.026907,0.320099,0.286840,0.944442,0.017316,0.283806,0.328891,0.953114,0.044210,0.200813,0.200187,0.000000,0.062956,0.321831,0.290723,0.978893,-0.006123,0.313460,0.282245,0.950501,0.019378,0.337378,0.257929,0.951376,,,,,,,0.026822,0.320261,0.286967,0.017232,0.283634,0.328922,,,,0.062930,0.321874,0.290645,-0.005918,0.313537,0.282316,0.019368,0.337270,0.257778
72,1.200000,0.471259,0.685187,0.236740,-0.502382,0.043909,0.202720,0.199205,0.000117,0.026626,0.322193,0.285609,0.955903,0.017181,0.285988,0.327769,0.951098,0.043912,0.202721,0.199208,0.000000,0.062681,0.323986,0.289408,0.978187,-0.006404,0.315495,0.281103,0.946267,0.019009,0.339390,0.256673,0.952872,,,,,,,0.026577,0.322338,0.285695,0.017103,0.285811,0.327799,,,,0.062641,0.324041,0.289352,-0.006231,0.315587,0.281190,0.019002,0.339274,0.256524
73,1.216667,0.472320,0.686482,0.233567,-0.501102,0.043963,0.204287,0.198459,0.000117,0.026437,0.324340,0.284004,0.957265,0.017095,0.288419,0.326430,0.950907,0.043966,0.204288,0.198462,0.000000,0.062489,0.326246,0.287774,0.975521,-0.006580,0.317533,0.279562,0.947921,0.018766,0.341310,0.254948,0.954055,,,,,,,0.026384,0.324467,0.284105,0.017010,0.288246,0.326463,,,,0.062460,0.326310,0.287705,-0.006411,0.317620,0.279646,0.018764,0.341205,0.254797
74,1.233333,0.474561,0.687978,0.229812,-0.498663,0.044100,0.205555,0.197788,0.000124,0.026437,0.326475,0.282075,0.945598,0.017119,0.290988,0.324870,0.953167,0.044103,0.205556,0.197791,0.000000,0.062486,0.328454,0.285834,0.976145,-0.006572,0.319590,0.277696,0.944832,0.018758,0.343134,0.252842,0.961627,,,,,,,0.026381,0.326655,0.282183,0.017018,0.290835,0.324909,,,,0.062457,0.328478,0.285746,-0.006364,0.319628,0.277759,0.018736,0.343046,0.252719
75,1.250000,0.478003,0.689131,0.225722,-0.495642,0.044035,0.206585,0.197137,0.000124,0.026500,0.328562,0.279914,0.950134,0.017155,0.293620,0.323149,0.951635,0.044038,0.206585,0.197140,0.000000,0.062552,0.330554,0.283642,0.975250,-0.006516,0.321654,0.275626,0.943990,0.018832,0.344863,0.250477,0.952572,,,,,,,0.026445,0.328714,0.280030,0.017061,0.293453,0.323173,,,,0.062515,0.330604,0.283565,-0.006325,0.321725,0.275719,0.018827,0.344756,0.250320
76,1.266667,0.481791,0.690325,0.221703,-0.492114,0.043955,0.207432,0.196513,0.000127,0.026587,0.330521,0.277663,0.950134,0.017162,0.296169,0.321350,0.951635,0.043958,0.207433,0.196515,0.000000,0.062640,0.332501,0.281382,0.975250,-0.006439,0.323613,0.273449,0.943990,0.018961,0.346445,0.248009,0.952572,,,,,,,0.026515,0.330682,0.277741,0.017078,0.296004,0.321401,,,,0.062601,0.332535,0.281313,-0.006238,0.323678,0.273526,0.018955,0.346352,0.247872
77,1.283333,0.485324,0.691699,0.217198,-0.488711,0.043943,0.208297,0.195901,0.000111,0.026641,0.332488,0.275368,0.951888,0.017188,0.298739,0.319518,0.952019,0.043946,0.208298,0.195904,0.000000,0.062695,0.334496,0.279067,0.978505,-0.006389,0.325544,0.271245,0.943821,0.019029,0.348013,0.245500,0.958563,,,,,,,0.026607,0.332637,0.275460,0.017107,0.298580,0.319558,,,,0.062659,0.334540,0.278995,-0.006226,0.325622,0.271306,0.019017,0.347901,0.245378
78,1.300000,0.487943,0.693232,0.213010,-0.485765,0.043965,0.209240,0.195214,0.000117,0.026550,0.334355,0.273194,0.955474,0.017103,0.301125,0.317737,0.954412,0.043968,0.209241,0.195216,0.000000,0.062601,0.336431,0.276881,0.977279,-0.006474,0.327339,0.269141,0.952258,0.018938,0.349518,0.243141,0.958551,,,,,,,0.026491,0.334528,0.273300,0.017015,0.300965,0.317775,,,,0.062600,0.336463,0.276812,-0.006304,0.327403,0.269206,0.018915,0.349408,0.243000
79,1.316667,0.490303,0.695655,0.208370,-0.481922,0.044187,0.210054,0.194817,0.000111,0.026359,0.336176,0.271062,0.932472,0.016881,0.303532,0.316030,0.952562,0.044190,0.210055,0.194820,0.000000,0.062398,0.338373,0.274798,0.973689,-0.006642,0.329041,0.267034,0.950320,0.018783,0.350917,0.240791,0.947154,,,,,,,0.026299,0.336408,0.271187,0.016813,0.303356,0.316046,,,,0.062350,0.338405,0.274710,-0.006475,0.329135,0.267087,0.018794,0.350734,0.240684
80,1.333333,0.491989,0.697115,0.204590,-0.479708,0.044129,0.211131,0.194056,0.000116,0.026067,0.337951,0.269078,0.939766,0.016644,0.305727,0.314359,0.952701,0.044132,0.211132,0.194059,0.000000,0.062102,0.340250,0.272795,0.973682,-0.006921,0.330719,0.265116,0.951494,0.018467,0.352385,0.238665,0.954830,,,,,,,0.025989,0.338153,0.269184,0.016572,0.305557,0.314400,,,,0.062068,0.340284,0.272701,-0.006752,0.330802,0.265162,0.018482,0.352235,0.238565
81,1.350000,0.493745,0.698385,0.201209,-0.477482,0.043924,0.212182,0.193353,0.000100,0.025696,0.339660,0.267211,0.941754,0.016297,0.307839,0.312781,0.956481,0.043927,0.212184,0.193355,0.000000,0.061727,0.342033,0.270917,0.979866,-0.007282,0.332354,0.263307,0.947585,0.018089,0.353808,0.236666,0.946045,,,,,,,0.025635,0.339854,0.267325,0.016241,0.307674,0.312785,,,,0.061692,0.342072,0.270855,-0.007118,0.332476,0.263353,0.018077,0.353618,0.236563
82,1.366667,0.495133,0.700165,0.197554,-0.474958,0.043880,0.213288,0.192590,0.000110,0.025282,0.341430,0.265197,0.950908,0.015907,0.310028,0.311062,0.953536,0.043883,0.213290,0.192593,0.000000,0.061303,0.343921,0.268917,0.973500,-0.007675,0.334011,0.261329,0.948665,0.017674,0.355265,0.234509,0.949995,,,,,,,0.025221,0.341588,0.265297,0.015843,0.309856,0.311091,,,,0.061266,0.343982,0.268839,-0.007522,0.334139,0.261377,0.017683,0.355091,0.234410
83,1.383333,0.496211,0.701982,0.193907,-0.472648,0.043867,0.214426,0.191740,0.000107,0.024838,0.343172,0.263156,0.950908,0.015509,0.312164,0.309297,0.953536,0.043870,0.214428,0.191742,0.000000,0.060848,0.345800,0.266886,0.973500,-0.008095,0.335624,0.259325,0.948665,0.017220,0.356705,0.232335,0.949995,,,,,,,0.024730,0.343416,0.263260,0.015463,0.311983,0.309308,,,,0.060824,0.345824,0.266829,-0.007929,0.335741,0.259383,0.017230,0.356502,0.232219
84,1.400000,0.495550,0.703645,0.191870,-0.471698,0.044141,0.215940,0.190149,0.000245,0.024498,0.344878,0.261050,0.928521,0.015244,0.314008,0.307299,0.953095,0.044144,0.215942,0.190151,0.000000,0.060493,0.347669,0.264811,0.983467,-0.008399,0.337180,0.257211,0.947199,0.016859,0.358261,0.230170,0.941561,,,,,,,0.024371,0.345160,0.261185,0.015134,0.314066,0.307503,0.044266,0.215645,0.189847,0.060469,0.347640,0.264733,-0.008278,0.337408,0.257362,0.016876,0.358019,0.230065
85,1.416667,0.497618,0.704799,0.188025,-0.469341,0.043928,0.216983,0.189189,0.000251,0.024175,0.346615,0.258783,0.915850,0.014960,0.316207,0.305345,0.940375,0.043931,0.216985,0.189191,0.889554,0.060169,0.349478,0.262508,0.978186,-0.008715,0.338846,0.255029,0.925291,0.016518,0.359677,0.227770,0.933925,,,,,,,0.024052,0.346931,0.258945,0.014843,0.316295,0.305541,0.044053,0.216665,0.188863,0.060150,0.349448,0.262442,-0.008575,0.339066,0.255169,0.016516,0.359401,0.227666
86,1.433333,0.498668,0.706096,0.184748,-0.467575,0.043818,0.218238,0.187977,0.000249,0.023773,0.348367,0.256551,0.906043,0.014623,0.318305,0.303349,0.938668,0.043821,0.218239,0.187980,0.881567,0.059760,0.351340,0.260255,0.981259,-0.009099,0.340496,0.252857,0.925988,0.016089,0.361168,0.225436,0.926417,,,,,,,0.023664,0.348659,0.256689,0.014494,0.318457,0.303599,0.043937,0.217939,0.187619,0.059725,0.351316,0.260203,-0.008962,0.340690,0.253003,0.016108,0.360855,0.225314
87,1.450000,0.502052,0.706581,0.181283,-0.464568,0.043070,0.219104,0.187464,0.000108,0.023308,0.350039,0.254571,0.929336,0.014094,0.320525,0.301704,0.957889,0.043073,0.219105,0.187466,0.000000,0.059301,0.352975,0.258242,0.984962,-0.009581,0.342198,0.250965,0.948185,0.015651,0.362506,0.223314,0.946591,,,,,,,0.023193,0.350279,0.254665,0.014052,0.320362,0.301717,,,,0.059282,0.352985,0.258185,-0.009408,0.342305,0.251004,0.015653,0.362312,0.223225
88,1.466667,0.503791,0.708128,0.178360,-0.461451,0.042888,0.220101,0.186469,0.000114,0.022885,0.351650,0.252292,0.936786,0.013583,0.322575,0.299680,0.951266,0.042891,0.220103,0.186471,0.000000,0.058867,0.354645,0.256016,0.978562,-0.009991,0.343753,0.248685,0.943947,0.015290,0.363816,0.220901,0.941204,,,,,,,0.022796,0.351867,0.252387,0.013538,0.322388,0.299709,,,,0.058825,0.354683,0.255952,-0.009824,0.343896,0.248729,0.015301,0.363606,0.220797
89,1.483333,0.505779,0.710094,0.173934,-0.457931,0.042821,0.221003,0.185504,0.000110,0.022449,0.353314,0.249665,0.930724,0.013127,0.324808,0.297394,0.954429,0.042824,0.221004,0.185507,0.000000,0.058419,0.356427,0.253410,0.979576,-0.010406,0.345307,0.246103,0.949906,0.014882,0.365077,0.218114,0.945330,,,,,,,0.022345,0.353550,0.249767,0.013088,0.324633,0.297427,,,,0.058379,0.356444,0.253341,-0.010245,0.345422,0.246139,0.014903,0.364884,0.218013
90,1.500000,0.507974,0.711293,0.170396,-0.454961,0.042541,0.221943,0.184397,0.000111,0.022067,0.354911,0.247151,0.934673,0.012707,0.326903,0.295166,0.955079,0.042544,0.221944,0.184400,0.000000,0.058033,0.358075,0.250899,0.983412,-0.010781,0.346857,0.243641,0.945729,0.014527,0.366341,0.215472,0.945549,,,,,,,0.021955,0.355132,0.247236,0.012666,0.326731,0.295197,,,,0.058001,0.358094,0.250844,-0.010608,0.346979,0.243688,0.014538,0.366152,0.215364
